"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","458.35","461.00","448.50","455.00","450.55","450.45","453.63","535.90","330.85","4,17,909","18,95,74,715.90","17,315"
"23-Aug-2024","EQ","467.50","469.70","453.05","466.60","456.20","455.00","459.94","535.90","330.85","7,49,456","34,47,06,058.60","24,553"
"22-Aug-2024","EQ","441.00","470.00","437.10","437.10","465.00","466.60","460.36","535.90","330.85","37,38,385","1,72,10,12,516.50","85,644"
"21-Aug-2024","EQ","436.50","451.95","430.70","433.55","438.05","437.10","440.52","535.90","330.85","10,52,976","46,38,54,174.95","30,845"
"20-Aug-2024","EQ","403.90","452.00","403.30","401.15","433.50","433.55","439.08","535.90","330.85","39,57,174","1,73,75,24,220.25","93,923"
"19-Aug-2024","EQ","390.85","408.95","390.85","390.85","401.00","401.15","402.79","535.90","330.85","2,93,931","11,83,91,204.80","11,576"
"16-Aug-2024","EQ","390.00","393.40","384.75","386.10","393.40","390.85","388.94","535.90","330.85","1,21,795","4,73,71,311.35","7,767"
"14-Aug-2024","EQ","389.50","389.70","379.10","388.70","385.50","386.10","384.26","535.90","330.85","1,55,160","5,96,21,126.65","10,113"
"13-Aug-2024","EQ","405.80","409.90","385.00","405.10","385.50","388.70","395.82","535.90","330.85","2,23,837","8,86,00,259.80","10,282"
"12-Aug-2024","EQ","403.05","408.00","395.00","408.65","405.80","405.10","401.58","535.90","330.85","2,55,026","10,24,12,098.45","12,532"
"09-Aug-2024","EQ","416.60","417.10","406.20","411.60","408.00","408.65","410.15","535.90","330.85","1,60,866","6,59,79,578.50","7,623"
"08-Aug-2024","EQ","410.00","423.95","409.85","416.45","411.00","411.60","417.41","535.90","330.85","2,50,968","10,47,55,719.50","11,634"
"07-Aug-2024","EQ","409.50","420.00","406.70","405.45","420.00","416.45","413.26","535.90","330.85","1,82,192","7,52,92,419.10","10,016"
"06-Aug-2024","EQ","413.00","421.00","402.30","405.20","405.00","405.45","412.06","535.90","330.85","2,02,675","8,35,14,337.60","12,265"
"05-Aug-2024","EQ","415.00","420.80","402.00","427.25","405.15","405.20","410.94","535.90","330.85","2,84,219","11,67,97,341.65","17,813"
"02-Aug-2024","EQ","420.00","436.60","417.20","428.55","428.00","427.25","429.57","535.90","330.85","2,89,420","12,43,24,824.20","15,121"
"01-Aug-2024","EQ","434.95","444.90","425.40","432.70","429.00","428.55","435.87","535.90","330.85","3,79,189","16,52,78,729.30","18,906"
"31-Jul-2024","EQ","432.00","446.95","430.00","430.35","432.95","432.70","439.67","535.90","330.85","7,88,256","34,65,75,278.45","24,255"
"30-Jul-2024","EQ","426.65","439.95","424.10","426.75","429.80","430.35","432.22","535.90","330.85","3,94,451","17,04,90,728.45","16,203"
"29-Jul-2024","EQ","416.50","444.50","416.05","414.00","427.10","426.75","432.84","535.90","330.85","7,81,460","33,82,44,230.80","28,064"
