"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","805.10","813.00","803.45","809.45","807.00","808.25","809.55","882.90","607.85","2,89,881","23,46,72,998.95","15,182"
"23-Aug-2024","EQ","793.00","818.50","793.00","795.45","808.50","809.45","808.52","882.90","607.85","5,68,909","45,99,74,526.30","19,742"
"22-Aug-2024","EQ","785.00","802.00","777.10","785.95","791.00","795.45","786.29","882.90","607.85","13,59,170","1,06,87,04,836.55","36,382"
"21-Aug-2024","EQ","846.00","862.95","783.20","848.25","784.50","785.95","808.53","882.90","607.85","57,27,924","4,63,11,93,714.95","96,338"
"20-Aug-2024","EQ","800.00","882.90","799.00","795.65","840.00","848.25","840.54","882.90","607.85","30,30,887","2,54,75,68,660.10","99,115"
"19-Aug-2024","EQ","805.00","813.95","789.90","800.05","793.15","795.65","800.61","866.45","607.85","2,65,714","21,27,32,566.95","13,138"
"16-Aug-2024","EQ","805.95","826.95","796.55","805.65","803.00","800.05","805.06","866.45","607.85","4,49,962","36,22,45,671.20","21,634"
"14-Aug-2024","EQ","799.00","812.00","786.60","785.90","801.00","805.65","801.54","866.45","607.85","26,18,066","2,09,84,84,015.80","81,450"
"13-Aug-2024","EQ","755.00","794.00","752.30","757.45","790.00","785.90","780.72","866.45","607.85","14,17,647","1,10,67,92,436.00","38,459"
"12-Aug-2024","EQ","755.00","763.65","743.45","747.45","756.10","757.45","756.54","866.45","607.85","3,76,966","28,51,89,241.75","10,604"
"09-Aug-2024","EQ","746.35","753.30","746.00","742.60","746.40","747.45","748.97","866.45","607.85","1,41,370","10,58,82,327.45","8,313"
"08-Aug-2024","EQ","749.20","753.95","740.10","747.80","742.25","742.60","744.10","866.45","607.85","87,901","6,54,07,369.90","6,833"
"07-Aug-2024","EQ","759.00","759.00","742.25","742.35","749.25","747.80","746.17","866.45","607.85","1,27,763","9,53,32,820.40","6,433"
"06-Aug-2024","EQ","747.80","756.75","723.00","747.75","748.00","742.35","745.41","866.45","607.85","1,20,085","8,95,12,840.45","7,751"
"05-Aug-2024","EQ","742.15","760.10","742.15","762.10","747.70","747.75","747.91","866.45","607.85","1,95,792","14,64,33,917.20","12,863"
"02-Aug-2024","EQ","768.00","768.00","758.00","769.85","762.40","762.10","762.27","866.45","607.85","2,14,452","16,34,70,010.90","7,466"
"01-Aug-2024","EQ","779.80","780.00","768.10","773.10","770.00","769.85","772.96","866.45","607.85","2,05,449","15,88,04,683.80","8,121"
"31-Jul-2024","EQ","773.05","780.40","770.00","773.05","774.00","773.10","774.39","866.45","607.85","6,03,608","46,74,25,304.50","19,917"
"30-Jul-2024","EQ","780.00","786.00","769.50","775.75","772.00","773.05","776.83","866.45","607.85","2,26,528","17,59,72,967.60","12,724"
"29-Jul-2024","EQ","770.30","793.95","770.30","767.35","775.00","775.75","785.03","866.45","607.85","6,87,579","53,97,73,478.70","22,302"
