"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","298.00","300.45","296.05","299.95","297.00","297.10","297.55","384.30","115.80","2,77,576","8,25,92,204.00","6,766"
"23-Aug-2024","EQ","302.60","303.40","298.35","302.85","299.80","299.95","300.71","384.30","112.60","4,96,294","14,92,40,155.55","13,911"
"22-Aug-2024","EQ","298.20","314.95","296.40","297.60","301.85","302.85","307.22","384.30","112.60","31,14,234","95,67,47,136.60","55,049"
"21-Aug-2024","EQ","292.00","301.50","291.85","291.80","296.15","297.60","296.00","384.30","112.60","7,06,902","20,92,41,292.05","17,807"
"20-Aug-2024","EQ","286.40","294.35","285.10","286.40","292.40","291.80","289.56","384.30","112.60","6,14,975","17,80,74,124.55","16,965"
"19-Aug-2024","EQ","283.70","289.15","282.20","281.80","287.00","286.40","286.04","384.30","112.60","4,18,662","11,97,55,974.25","10,998"
"16-Aug-2024","EQ","283.00","286.60","280.55","280.15","281.75","281.80","283.53","384.30","112.25","3,81,517","10,81,70,600.45","13,661"
"14-Aug-2024","EQ","287.70","288.00","279.00","286.70","279.30","280.15","281.21","384.30","112.25","3,91,482","11,00,89,640.75","13,763"
"13-Aug-2024","EQ","288.65","297.20","283.15","288.50","285.00","286.70","289.69","384.30","112.25","6,85,977","19,87,20,607.70","19,633"
"12-Aug-2024","EQ","290.00","293.95","284.35","290.20","288.00","288.50","288.88","384.30","112.25","5,86,209","16,93,46,527.75","18,638"
"09-Aug-2024","EQ","292.00","294.15","288.40","290.15","291.10","290.20","290.89","384.30","110.95","4,80,671","13,98,21,442.50","12,034"
"08-Aug-2024","EQ","294.25","296.50","287.50","294.25","289.75","290.15","292.92","384.30","110.95","6,63,053","19,42,24,081.95","17,071"
"07-Aug-2024","EQ","284.75","296.45","281.50","279.85","295.65","294.25","289.93","384.30","110.95","9,39,187","27,22,97,107.10","24,083"
"06-Aug-2024","EQ","286.30","293.40","279.00","284.50","280.60","279.85","286.01","384.30","110.95","5,74,695","16,43,65,707.95","19,071"
"05-Aug-2024","EQ","295.00","297.00","282.10","300.85","283.50","284.50","289.21","384.30","110.95","9,82,302","28,40,91,844.85","30,964"
"02-Aug-2024","EQ","300.95","304.95","295.30","304.30","301.65","300.85","301.36","384.30","108.85","6,43,764","19,40,07,053.45","16,647"
"01-Aug-2024","EQ","309.80","310.90","302.05","309.15","304.00","304.30","306.81","384.30","108.85","8,17,713","25,08,84,429.85","18,600"
"31-Jul-2024","EQ","311.80","315.40","307.35","310.50","309.60","309.15","310.51","384.30","108.85","11,53,750","35,82,51,374.50","25,049"
"30-Jul-2024","EQ","308.00","321.50","306.80","308.10","310.30","310.50","315.08","384.30","108.85","24,81,259","78,17,83,867.90","48,771"
"29-Jul-2024","EQ","310.00","313.80","305.55","308.05","308.50","308.10","309.17","384.30","108.85","10,99,503","33,99,36,014.55","22,508"
