"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","169.67","170.49","165.33","168.39","166.20","165.94","166.83","197.50","135.00","8,59,332","14,33,61,783.15","17,690"
"23-Aug-2024","EQ","167.05","172.00","166.75","166.75","169.00","168.39","170.00","197.50","135.00","17,57,999","29,88,67,417.28","27,439"
"22-Aug-2024","EQ","167.30","171.74","166.10","166.63","167.40","166.75","169.07","197.50","135.00","15,79,594","26,70,67,015.05","24,788"
"21-Aug-2024","EQ","166.19","169.35","163.10","164.68","166.80","166.63","166.86","197.50","135.00","11,37,557","18,98,11,881.90","19,483"
"20-Aug-2024","EQ","158.03","166.60","156.37","157.03","165.35","164.68","161.70","197.50","135.00","21,55,348","34,85,23,189.13","41,951"
"19-Aug-2024","EQ","156.90","158.26","155.55","155.27","157.00","157.03","157.02","197.50","135.00","5,03,698","7,90,89,362.06","14,747"
"16-Aug-2024","EQ","154.35","156.50","151.60","153.62","155.70","155.27","153.99","197.50","135.00","6,22,707","9,58,88,724.45","15,619"
"14-Aug-2024","EQ","158.84","159.25","153.00","157.89","153.29","153.62","154.45","197.50","135.00","5,93,658","9,16,88,837.19","17,686"
"13-Aug-2024","EQ","161.10","163.68","156.82","160.58","158.00","157.89","160.20","197.50","135.00","6,27,709","10,05,55,845.00","16,476"
"12-Aug-2024","EQ","163.95","164.99","159.15","163.13","160.98","160.58","161.56","197.50","135.00","7,28,610","11,77,13,091.62","13,912"
"09-Aug-2024","EQ","168.30","168.69","162.63","166.12","163.40","163.13","164.83","197.50","135.00","7,00,103","11,53,97,896.30","13,410"
"08-Aug-2024","EQ","166.15","169.35","165.09","165.46","166.65","166.12","167.45","197.50","135.00","6,73,607","11,27,98,360.69","12,335"
"07-Aug-2024","EQ","167.20","168.89","162.92","163.81","165.90","165.46","164.99","197.50","135.00","6,52,264","10,76,14,764.98","12,472"
"06-Aug-2024","EQ","170.90","172.84","162.44","167.03","163.50","163.81","167.58","197.50","135.00","8,73,695","14,64,11,761.50","17,558"
"05-Aug-2024","EQ","161.96","172.00","161.65","176.66","167.49","167.03","168.06","197.50","135.00","17,47,360","29,36,66,463.51","32,953"
"02-Aug-2024","EQ","172.80","178.30","172.50","169.67","176.31","176.66","175.75","197.50","135.00","27,25,884","47,90,70,840.05","38,225"
"01-Aug-2024","EQ","174.45","175.09","169.23","173.66","170.00","169.67","171.82","197.50","135.00","10,67,832","18,34,76,703.23","17,960"
"31-Jul-2024","EQ","177.04","177.80","173.25","176.20","174.20","173.66","174.63","197.50","135.00","10,40,201","18,16,52,841.60","13,890"
"30-Jul-2024","EQ","181.00","182.85","175.65","181.05","176.10","176.20","178.26","197.50","135.00","15,89,937","28,34,28,881.46","21,017"
"29-Jul-2024","EQ","181.45","184.70","179.00","177.12","181.20","181.05","181.83","197.50","135.00","25,15,578","45,74,12,708.47","26,803"
