"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","111.39","111.39","109.10","110.39","109.60","109.43","109.82","152.50","84.80","23,91,070","26,25,98,289.44","19,420"
"23-Aug-2024","EQ","111.46","111.58","109.75","111.19","110.55","110.39","110.58","152.50","82.55","19,32,896","21,37,46,730.86","16,399"
"22-Aug-2024","EQ","111.76","112.38","111.01","111.18","111.29","111.19","111.54","152.50","82.55","18,55,244","20,69,31,809.62","24,985"
"21-Aug-2024","EQ","111.50","111.96","110.22","110.85","111.50","111.18","110.99","152.50","82.55","26,67,706","29,60,98,538.67","15,745"
"20-Aug-2024","EQ","111.79","112.25","110.41","111.01","110.96","110.85","111.21","152.50","82.55","25,43,614","28,28,76,222.31","18,852"
"19-Aug-2024","EQ","110.00","111.39","109.56","109.38","111.19","111.01","110.73","152.50","82.55","20,42,170","22,61,20,753.20","18,813"
"16-Aug-2024","EQ","110.18","110.18","108.50","108.02","110.00","109.38","109.27","152.50","74.20","20,95,284","22,89,61,566.90","23,891"
"14-Aug-2024","EQ","111.00","111.70","107.65","109.74","108.30","108.02","109.70","152.50","74.20","30,20,307","33,13,37,674.97","26,575"
"13-Aug-2024","EQ","111.70","113.55","109.10","110.93","110.00","109.74","111.53","152.50","74.20","30,20,066","33,68,38,776.45","30,758"
"12-Aug-2024","EQ","111.00","111.89","109.86","113.11","111.14","110.93","110.72","152.50","74.20","33,38,819","36,96,65,353.96","35,541"
"09-Aug-2024","EQ","114.50","114.84","112.44","114.48","113.00","113.11","113.55","152.50","66.70","37,90,997","43,04,65,302.97","29,665"
"08-Aug-2024","EQ","115.95","116.90","114.01","115.55","114.22","114.48","115.31","152.50","66.70","39,92,366","46,03,57,710.20","25,422"
"07-Aug-2024","EQ","113.75","116.45","112.61","112.58","115.80","115.55","114.92","152.50","66.70","57,54,604","66,13,44,072.41","31,335"
"06-Aug-2024","EQ","112.50","115.47","111.65","110.41","112.40","112.58","113.27","152.50","66.70","76,95,417","87,16,27,788.47","38,267"
"05-Aug-2024","EQ","113.50","114.40","110.00","116.96","110.27","110.41","111.93","152.50","66.70","95,88,993","1,07,33,26,098.25","58,351"
"02-Aug-2024","EQ","108.00","123.70","107.71","109.51","117.20","116.96","117.36","152.50","66.00","5,83,17,725","6,84,40,77,803.63","2,23,872"
"01-Aug-2024","EQ","110.80","111.30","108.23","109.56","109.51","109.51","109.11","152.50","66.00","46,18,028","50,38,77,359.27","18,859"
"31-Jul-2024","EQ","112.55","112.71","109.29","112.35","110.08","109.56","110.44","152.50","66.00","41,61,065","45,95,38,157.54","25,945"
"30-Jul-2024","EQ","113.50","113.88","112.10","112.69","112.50","112.35","112.69","152.50","66.00","33,49,625","37,74,73,421.61","17,929"
"29-Jul-2024","EQ","111.01","116.50","111.01","108.41","113.30","112.69","114.17","152.50","66.00","1,46,91,986","1,67,74,44,833.82","71,699"
