"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","383.00","414.00","370.00","380.90","385.00","391.25","397.09","429.00","171.35","8,54,050","33,91,36,218.45","16,917"
"23-Aug-2024","EQ","392.70","400.10","379.00","390.45","380.90","380.90","386.90","429.00","171.35","2,79,358","10,80,84,686.90","5,480"
"22-Aug-2024","EQ","404.00","407.80","386.50","405.35","390.90","390.45","397.36","429.00","171.35","3,89,357","15,47,16,791.50","8,568"
"21-Aug-2024","EQ","408.95","429.00","383.95","397.10","400.20","405.35","406.64","429.00","171.35","33,14,607","1,34,78,65,794.80","1,01,850"
"20-Aug-2024","EQ","333.70","397.10","331.75","330.95","397.10","397.10","369.58","397.10","171.35","27,10,103","1,00,15,99,920.95","82,127"
"19-Aug-2024","EQ","332.00","341.45","326.80","325.95","329.70","330.95","333.23","349.90","171.35","2,82,783","9,42,30,527.35","12,782"
"16-Aug-2024","EQ","325.20","331.80","315.40","318.75","328.90","325.95","321.95","349.90","171.35","2,98,344","9,60,51,464.85","16,781"
"14-Aug-2024","EQ","324.45","330.85","312.60","319.70","319.85","318.75","319.90","349.90","171.35","3,54,674","11,34,61,878.65","24,593"
"13-Aug-2024","EQ","339.95","341.35","316.10","338.65","321.05","319.70","328.30","349.90","171.35","3,68,618","12,10,16,098.50","23,416"
"12-Aug-2024","EQ","333.00","349.90","320.70","333.40","339.75","338.65","339.96","349.90","171.35","7,10,251","24,14,55,481.55","41,118"
"09-Aug-2024","EQ","347.95","347.95","312.00","296.80","332.00","333.40","332.66","347.95","171.35","17,12,217","56,95,81,107.90","53,429"
"08-Aug-2024","EQ","292.95","302.75","280.70","291.45","295.60","296.80","290.29","309.00","171.35","4,27,872","12,42,05,148.30","21,743"
"07-Aug-2024","EQ","286.85","295.70","282.50","281.75","292.50","291.45","289.89","309.00","171.35","2,18,647","6,33,82,969.80","11,854"
"06-Aug-2024","EQ","297.80","300.85","280.00","290.45","282.00","281.75","290.78","309.00","171.35","3,05,505","8,88,36,103.35","15,888"
"05-Aug-2024","EQ","285.00","301.20","280.95","300.00","289.00","290.45","290.78","309.00","171.35","6,82,780","19,85,36,625.65","39,713"
"02-Aug-2024","EQ","290.00","309.00","285.05","297.20","301.50","300.00","300.10","309.00","171.35","7,66,813","23,01,17,921.50","40,496"
"01-Aug-2024","EQ","298.30","303.90","284.00","294.52","297.00","297.20","294.72","304.15","171.35","11,91,467","35,11,51,549.85","55,889"
"31-Jul-2024","EQ","257.90","304.15","256.50","255.91","298.00","294.52","285.35","304.15","171.35","26,23,559","74,86,25,445.20","67,600"
"30-Jul-2024","EQ","258.99","262.33","255.00","257.29","256.02","255.91","257.47","275.80","171.35","1,28,525","3,30,91,316.91","6,136"
"29-Jul-2024","EQ","265.90","268.90","255.20","264.06","258.45","257.29","260.33","275.80","171.35","2,09,946","5,46,54,460.32","9,675"
