"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","674.00","685.00","658.00","673.40","662.65","660.90","667.07","915.00","459.15","35,231","2,35,01,495.90","3,039"
"23-Aug-2024","EQ","679.95","679.95","660.10","674.10","675.40","673.40","671.75","915.00","443.00","31,640","2,12,54,285.00","2,276"
"22-Aug-2024","EQ","681.55","684.85","670.00","670.95","670.00","674.10","675.49","915.00","443.00","39,283","2,65,35,087.40","2,517"
"21-Aug-2024","EQ","649.30","674.25","649.30","655.70","671.40","670.95","666.64","915.00","443.00","47,547","3,16,96,636.90","4,076"
"20-Aug-2024","EQ","650.00","663.50","642.05","651.05","653.75","655.70","655.90","915.00","443.00","52,001","3,41,07,254.50","4,072"
"19-Aug-2024","EQ","643.60","657.00","636.55","636.05","653.00","651.05","647.45","915.00","443.00","29,857","1,93,30,801.70","2,701"
"16-Aug-2024","EQ","630.05","640.90","630.05","641.60","637.00","636.05","635.12","915.00","426.00","25,926","1,64,66,099.60","2,775"
"14-Aug-2024","EQ","629.45","645.00","616.05","623.80","642.90","641.60","628.90","915.00","426.00","45,633","2,86,98,541.80","4,290"
"13-Aug-2024","EQ","635.90","637.45","620.00","626.50","620.00","623.80","627.83","915.00","426.00","22,814","1,43,23,397.45","2,522"
"12-Aug-2024","EQ","633.85","639.25","620.00","634.40","625.00","626.50","627.75","915.00","426.00","25,988","1,63,14,036.35","3,772"
"09-Aug-2024","EQ","630.00","650.40","627.05","625.05","632.45","634.40","639.06","915.00","380.20","37,196","2,37,70,385.05","6,052"
"08-Aug-2024","EQ","627.00","634.95","622.00","625.80","626.50","625.05","628.54","915.00","380.20","26,846","1,68,73,881.30","5,158"
"07-Aug-2024","EQ","632.00","639.90","620.45","620.40","627.00","625.80","627.70","915.00","380.20","34,650","2,17,49,918.30","6,002"
"06-Aug-2024","EQ","640.50","656.65","617.00","630.95","639.00","620.40","638.10","915.00","380.20","67,585","4,31,25,782.05","8,101"
"05-Aug-2024","EQ","632.00","658.00","627.40","665.60","632.05","630.95","639.20","915.00","380.20","65,579","4,19,18,091.85","8,296"
"02-Aug-2024","EQ","664.95","678.30","660.10","671.00","667.00","665.60","669.16","915.00","376.40","89,563","5,99,31,555.45","8,482"
"01-Aug-2024","EQ","688.00","702.75","665.10","687.50","666.70","671.00","687.46","915.00","376.40","1,58,734","10,91,22,505.70","12,543"
"31-Jul-2024","EQ","688.80","694.00","671.10","676.15","690.00","687.50","684.12","915.00","376.40","2,70,938","18,53,55,141.25","16,119"
"30-Jul-2024","EQ","642.65","706.80","631.60","600.80","684.00","676.15","679.75","915.00","376.40","19,39,460","1,31,83,46,017.45","75,495"
"29-Jul-2024","EQ","614.90","619.20","599.00","606.50","599.05","600.80","605.49","915.00","376.40","43,184","2,61,47,677.95","5,267"
