"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","775.00","790.95","768.10","769.65","787.00","787.45","786.06","999.90","627.95","4,35,714","34,24,95,575.80","11,036"
"23-Aug-2024","EQ","784.90","787.90","769.00","779.70","770.00","769.65","773.27","999.90","627.95","1,67,665","12,96,50,505.60","10,397"
"22-Aug-2024","EQ","794.00","794.00","778.10","792.15","780.00","779.70","783.10","999.90","627.95","2,22,957","17,45,98,079.65","8,356"
"21-Aug-2024","EQ","778.95","794.70","778.95","778.90","793.00","792.15","788.32","999.90","627.95","88,051","6,94,12,043.00","9,235"
"20-Aug-2024","EQ","785.45","794.80","776.95","784.50","778.00","778.90","783.97","999.90","627.95","1,08,358","8,49,49,546.50","8,167"
"19-Aug-2024","EQ","794.30","799.80","782.50","790.20","785.00","784.50","788.99","999.90","627.95","1,02,090","8,05,48,451.90","7,407"
"16-Aug-2024","EQ","801.45","804.95","788.00","799.90","790.85","790.20","793.73","999.90","626.30","1,90,618","15,12,99,824.50","15,132"
"14-Aug-2024","EQ","820.00","820.00","796.45","817.60","800.00","799.90","801.30","999.90","626.30","98,972","7,93,06,117.30","6,716"
"13-Aug-2024","EQ","811.60","821.25","804.10","811.35","820.30","817.60","812.42","999.90","626.30","64,113","5,20,86,508.45","5,804"
"12-Aug-2024","EQ","822.00","822.40","808.00","821.40","810.00","811.35","816.38","999.90","626.30","86,783","7,08,48,152.05","6,151"
"09-Aug-2024","EQ","826.00","838.00","820.00","826.10","820.00","821.40","823.43","999.90","626.30","65,135","5,36,33,829.95","6,082"
"08-Aug-2024","EQ","830.80","834.70","824.00","830.75","826.00","826.10","826.96","999.90","626.30","60,525","5,00,51,503.35","7,026"
"07-Aug-2024","EQ","832.00","836.70","822.00","820.10","831.25","830.75","830.04","999.90","626.30","91,252","7,57,42,956.55","8,828"
"06-Aug-2024","EQ","809.10","829.80","809.10","809.65","822.00","820.10","821.67","999.90","626.30","68,517","5,62,98,076.95","8,523"
"05-Aug-2024","EQ","839.70","840.00","805.90","848.25","808.00","809.65","816.34","999.90","626.30","1,59,679","13,03,51,980.85","14,589"
"02-Aug-2024","EQ","861.00","861.40","833.95","861.40","848.90","848.25","845.51","999.90","607.20","2,81,117","23,76,88,429.95","15,647"
"01-Aug-2024","EQ","885.00","885.00","851.60","887.00","862.40","861.40","867.47","999.90","607.20","6,30,446","54,68,94,848.70","29,867"
"31-Jul-2024","EQ","900.35","902.95","881.55","900.35","885.80","887.00","893.34","999.90","607.20","2,07,643","18,54,96,599.55","19,558"
"30-Jul-2024","EQ","881.00","903.20","880.00","880.55","900.00","900.35","893.45","999.90","607.20","2,57,160","22,97,59,985.15","14,484"
"29-Jul-2024","EQ","866.50","886.95","859.00","857.50","880.80","880.55","873.66","999.90","607.20","2,60,723","22,77,83,767.20","14,248"
