"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","727.85","745.00","727.10","730.80","742.00","742.85","737.03","848.00","412.40","4,52,324","33,33,74,737.55","25,814"
"23-Aug-2024","EQ","732.00","741.00","726.50","729.75","728.70","730.80","734.36","848.00","406.05","4,39,875","32,30,26,872.60","31,531"
"22-Aug-2024","EQ","743.85","747.05","727.05","743.85","729.90","729.75","734.14","848.00","406.05","3,98,881","29,28,33,011.10","17,657"
"21-Aug-2024","EQ","740.00","749.00","733.00","740.45","741.00","743.85","743.01","848.00","406.05","5,46,483","40,60,43,823.70","37,298"
"20-Aug-2024","EQ","725.00","743.00","723.35","723.15","740.00","740.45","735.13","848.00","406.05","5,93,449","43,62,59,903.15","31,216"
"19-Aug-2024","EQ","708.20","724.75","704.50","701.35","723.35","723.15","714.05","848.00","406.05","5,80,295","41,43,60,542.00","33,733"
"16-Aug-2024","EQ","699.10","706.95","683.35","695.90","701.45","701.35","688.98","848.00","398.05","20,86,559","1,43,76,07,380.20","27,171"
"14-Aug-2024","EQ","698.00","698.00","681.45","694.25","696.00","695.90","690.90","848.00","398.05","12,11,212","83,68,23,852.85","39,947"
"13-Aug-2024","EQ","691.40","699.00","674.75","681.30","696.50","694.25","689.58","848.00","398.05","23,84,873","1,64,45,50,971.70","52,451"
"12-Aug-2024","EQ","656.00","688.30","631.00","664.75","680.00","681.30","659.56","848.00","398.05","25,22,806","1,66,39,30,983.50","80,848"
"09-Aug-2024","EQ","670.50","678.80","658.80","663.70","662.85","664.75","669.65","848.00","388.00","5,58,564","37,40,44,807.05","29,746"
"08-Aug-2024","EQ","685.00","685.25","661.00","678.25","666.70","663.70","670.60","848.00","388.00","5,38,760","36,12,93,948.60","39,943"
"07-Aug-2024","EQ","669.95","688.00","665.70","659.85","677.85","678.25","677.72","848.00","388.00","10,46,461","70,92,08,461.50","54,303"
"06-Aug-2024","EQ","691.00","713.60","656.90","677.15","664.00","659.85","675.19","848.00","388.00","15,15,893","1,02,35,13,414.75","63,691"
"05-Aug-2024","EQ","705.05","723.65","669.15","729.75","680.00","677.15","692.83","848.00","388.00","14,80,507","1,02,57,37,664.80","69,222"
"02-Aug-2024","EQ","728.50","738.50","722.00","736.35","730.25","729.75","730.74","848.00","383.35","5,12,580","37,45,62,987.20","40,437"
"01-Aug-2024","EQ","742.40","754.90","726.60","740.50","733.85","736.35","734.96","848.00","383.35","14,04,681","1,03,23,87,231.70","55,442"
"31-Jul-2024","EQ","740.00","774.90","734.50","744.60","739.65","740.50","749.87","848.00","383.35","18,36,301","1,37,69,85,730.90","75,581"
"30-Jul-2024","EQ","742.00","754.00","735.35","739.45","742.95","744.60","741.80","848.00","383.35","17,35,997","1,28,77,65,720.15","41,930"
"29-Jul-2024","EQ","765.65","766.00","737.45","764.50","737.50","739.45","742.46","848.00","383.35","12,45,427","92,46,83,551.40","60,813"
