"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","210.00","212.78","209.17","212.15","210.10","210.14","210.79","372.00","186.70","53,787","1,13,37,753.04","2,231"
"23-Aug-2024","EQ","210.00","213.14","208.22","207.21","213.01","212.15","211.18","372.00","186.70","88,128","1,86,10,755.41","3,761"
"22-Aug-2024","EQ","200.49","208.90","200.49","200.49","207.50","207.21","205.94","372.00","186.70","86,661","1,78,46,656.10","4,665"
"21-Aug-2024","EQ","204.85","205.17","198.00","201.51","200.90","200.49","200.80","372.00","186.70","77,115","1,54,84,888.04","3,972"
"20-Aug-2024","EQ","204.44","208.80","189.10","203.05","204.50","201.51","200.93","372.00","186.70","1,71,436","3,44,47,040.14","7,523"
"19-Aug-2024","EQ","194.00","204.99","194.00","193.53","203.00","203.05","200.70","372.00","186.70","86,624","1,73,85,186.10","4,583"
"16-Aug-2024","EQ","202.75","203.76","189.01","199.82","194.90","193.53","193.81","372.00","186.70","2,33,977","4,53,47,079.88","11,188"
"14-Aug-2024","EQ","214.89","216.00","198.00","212.01","201.30","199.82","202.50","372.00","186.70","2,91,033","5,89,34,556.54","13,632"
"13-Aug-2024","EQ","223.20","223.21","209.25","231.01","213.20","212.01","215.60","372.00","186.70","1,49,574","3,22,48,258.01","9,233"
"12-Aug-2024","EQ","230.80","240.00","222.85","233.67","224.80","231.01","233.72","372.00","186.70","1,11,272","2,60,06,891.95","4,990"
"09-Aug-2024","EQ","232.00","240.91","232.00","230.19","233.94","233.67","236.02","372.00","186.70","72,252","1,70,52,899.24","4,635"
"08-Aug-2024","EQ","229.90","244.50","226.01","226.79","232.00","230.19","237.58","372.00","186.70","2,77,586","6,59,49,579.89","12,427"
"07-Aug-2024","EQ","233.40","235.10","224.43","226.62","226.90","226.79","228.36","372.00","186.70","1,22,884","2,80,61,227.55","6,148"
"06-Aug-2024","EQ","230.00","233.56","223.12","222.44","229.90","226.62","230.40","372.00","186.70","1,46,544","3,37,63,860.62","2,291"
"05-Aug-2024","EQ","220.00","235.57","215.20","224.36","222.00","222.44","226.40","372.00","186.70","1,22,097","2,76,43,136.83","2,595"
"02-Aug-2024","EQ","220.00","227.50","218.00","223.53","223.10","224.36","222.12","372.00","186.70","48,423","1,07,55,916.21","1,403"
"01-Aug-2024","EQ","227.00","229.79","222.05","224.53","225.50","223.53","225.72","372.00","186.70","32,149","72,56,634.14","1,049"
"31-Jul-2024","EQ","225.80","228.15","221.98","221.43","225.05","224.53","224.26","372.00","186.70","50,125","1,12,40,961.70","1,236"
"30-Jul-2024","EQ","231.00","231.00","220.01","228.54","223.80","221.43","223.88","372.00","186.70","54,088","1,21,09,427.95","1,537"
"29-Jul-2024","EQ","234.00","237.90","225.77","229.11","228.10","228.54","229.43","372.00","186.70","54,510","1,25,06,380.92","1,595"
