"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","129.89","129.89","121.10","126.78","121.30","121.56","123.08","149.50","87.90","35,783","44,04,113.34","1,669"
"23-Aug-2024","EQ","123.55","129.00","122.45","122.39","127.02","126.78","126.45","149.50","87.90","41,368","52,31,179.63","1,432"
"22-Aug-2024","EQ","121.25","135.00","121.00","117.00","122.90","122.39","128.19","149.50","87.90","2,03,570","2,60,96,304.05","3,227"
"21-Aug-2024","EQ","114.73","118.73","111.70","113.63","118.00","117.00","114.81","149.50","87.90","23,755","27,27,308.77","602"
"20-Aug-2024","EQ","114.96","114.99","112.02","112.66","113.30","113.63","113.46","149.50","87.90","4,476","5,07,861.00","206"
"19-Aug-2024","EQ","112.00","113.00","110.38","110.24","113.00","112.66","112.26","149.50","87.90","4,107","4,61,047.04","135"
"16-Aug-2024","EQ","109.25","114.78","109.25","111.49","109.40","110.24","111.16","149.50","87.90","25,794","28,67,202.32","600"
"14-Aug-2024","EQ","117.00","117.00","110.10","113.37","112.02","111.49","112.80","149.50","87.90","23,926","26,98,753.08","386"
"13-Aug-2024","EQ","114.11","119.66","112.43","112.95","114.00","113.37","115.39","149.50","87.90","37,043","42,74,507.80","641"
"12-Aug-2024","EQ","120.00","120.00","110.41","123.77","113.99","112.95","114.00","149.50","87.90","54,011","61,57,061.89","2,038"
"09-Aug-2024","EQ","122.11","124.50","122.10","123.04","123.08","123.77","123.67","149.50","87.90","6,567","8,12,129.12","242"
"08-Aug-2024","EQ","126.40","126.40","121.21","123.04","122.30","123.04","124.17","149.50","87.90","20,425","25,36,214.11","568"
"07-Aug-2024","EQ","120.90","124.20","119.70","119.84","123.90","123.04","121.89","149.50","87.90","21,257","25,91,107.41","362"
"06-Aug-2024","EQ","121.50","122.06","119.25","120.52","119.25","119.84","120.45","149.50","87.90","22,296","26,85,479.56","485"
"05-Aug-2024","EQ","123.00","124.00","119.11","125.01","119.85","120.52","121.48","149.50","87.90","49,139","59,69,574.81","1,173"
"02-Aug-2024","EQ","123.00","125.50","121.10","123.52","124.80","125.01","123.45","149.50","87.90","35,990","44,43,067.68","782"
"01-Aug-2024","EQ","120.60","124.00","120.01","119.33","124.00","123.52","122.93","149.50","87.90","71,754","88,20,930.39","2,121"
"31-Jul-2024","EQ","119.65","123.39","118.50","118.48","118.67","119.33","119.58","149.50","87.90","1,06,831","1,27,75,248.29","1,007"
"30-Jul-2024","EQ","118.80","121.00","115.30","118.17","118.82","118.48","117.97","149.50","87.90","33,594","39,63,217.12","411"
"29-Jul-2024","EQ","115.80","119.65","115.79","116.13","118.45","118.17","118.07","149.50","87.90","80,661","95,23,647.37","673"
