"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","92.50","93.90","88.00","90.99","89.55","89.81","90.91","105.10","40.65","15,044","13,67,587.08","294"
"23-Aug-2024","BE","87.20","90.99","87.20","86.66","90.99","90.99","90.39","105.10","40.60","36,773","33,24,089.15","458"
"22-Aug-2024","BE","84.50","86.66","83.00","82.54","86.66","86.66","85.75","105.10","40.60","19,216","16,47,749.33","307"
"21-Aug-2024","BE","82.65","82.85","79.05","81.03","82.30","82.54","81.60","105.10","40.60","5,943","4,84,939.43","127"
"20-Aug-2024","BE","83.49","84.97","80.17","83.38","83.29","81.03","82.44","105.10","40.60","7,948","6,55,198.74","112"
"19-Aug-2024","BE","83.25","84.30","81.01","80.40","83.00","83.38","83.23","105.10","40.60","9,380","7,80,697.79","179"
"16-Aug-2024","BE","79.05","82.49","79.02","80.61","80.90","80.40","80.42","105.10","40.60","7,997","6,43,091.66","132"
"14-Aug-2024","BE","79.04","82.98","78.02","81.80","80.10","80.61","79.96","105.10","40.60","7,272","5,81,462.72","132"
"13-Aug-2024","BE","86.90","86.90","80.00","83.05","81.00","81.80","84.75","105.10","40.60","11,305","9,58,105.17","192"
"12-Aug-2024","BE","81.40","83.99","81.02","81.40","83.00","83.05","82.56","105.10","40.60","17,073","14,09,622.55","167"
"09-Aug-2024","BE","83.60","86.25","81.00","83.60","83.50","81.40","82.66","105.10","40.60","11,851","9,79,586.07","158"
"08-Aug-2024","BE","86.70","86.70","83.00","83.72","83.00","83.60","84.56","105.10","40.60","8,163","6,90,254.98","147"
"07-Aug-2024","BE","85.38","86.52","82.10","85.38","84.60","83.72","83.78","105.10","40.60","19,451","16,29,628.53","205"
"06-Aug-2024","BE","86.50","87.98","82.80","84.64","85.45","85.38","84.93","105.10","40.60","8,800","7,47,343.67","151"
"05-Aug-2024","BE","85.50","89.89","82.60","86.32","82.80","84.64","85.27","105.10","40.60","11,298","9,63,436.67","201"
"02-Aug-2024","BE","90.70","90.75","85.25","89.02","85.50","86.32","87.40","105.10","40.60","14,166","12,38,172.27","218"
"01-Aug-2024","BE","93.11","93.11","87.12","91.28","87.50","89.02","89.43","105.10","40.60","10,719","9,58,618.99","234"
"31-Jul-2024","BE","93.98","95.00","91.25","92.91","91.26","91.28","92.16","105.10","40.60","15,257","14,06,042.80","274"
"30-Jul-2024","BE","93.90","96.00","88.50","92.42","93.20","92.91","93.29","105.10","40.60","16,904","15,76,962.68","316"
"29-Jul-2024","BE","95.00","99.00","90.20","94.94","92.00","92.42","93.12","105.10","40.60","21,057","19,60,925.25","337"
