"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","542.95","542.95","514.05","538.75","522.00","518.25","522.99","699.45","267.15","6,512","34,05,720.80","230"
"23-Aug-2024","BE","540.00","558.95","531.00","536.10","535.25","538.75","547.32","699.45","267.15","14,620","80,01,762.65","379"
"22-Aug-2024","BE","509.35","536.10","509.30","510.60","536.10","536.10","526.66","699.45","267.15","10,266","54,06,694.10","272"
"21-Aug-2024","BE","510.85","524.90","505.00","505.55","507.00","510.60","511.98","699.45","267.15","8,920","45,66,820.25","290"
"20-Aug-2024","BE","498.40","507.95","483.15","491.30","506.75","505.55","500.34","699.45","267.15","7,947","39,76,184.55","215"
"19-Aug-2024","BE","484.05","498.75","484.00","492.35","490.00","491.30","494.89","699.45","267.15","15,908","78,72,707.70","289"
"16-Aug-2024","BE","498.80","499.00","476.00","499.40","490.00","492.35","488.53","699.45","267.15","18,920","92,43,000.65","473"
"14-Aug-2024","BE","515.00","515.00","493.35","518.30","499.00","499.40","499.87","699.45","267.15","20,366","1,01,80,436.10","377"
"13-Aug-2024","BE","537.85","537.85","511.90","538.85","523.95","518.30","515.07","699.45","267.15","25,353","1,30,58,634.10","341"
"12-Aug-2024","BE","523.15","550.00","516.35","538.35","538.00","538.85","531.98","699.45","267.15","8,289","44,09,619.85","261"
"09-Aug-2024","BE","540.00","550.00","531.55","537.90","536.10","538.35","540.65","699.45","267.15","3,946","21,33,388.05","171"
"08-Aug-2024","BE","550.00","550.00","536.25","557.40","540.00","537.90","542.28","699.45","267.15","5,167","28,01,967.30","231"
"07-Aug-2024","BE","563.70","564.00","540.00","544.15","559.90","557.40","554.92","699.45","267.15","10,307","57,19,605.10","303"
"06-Aug-2024","BE","525.00","553.00","520.05","535.65","544.95","544.15","540.68","699.45","267.15","17,160","92,78,036.70","335"
"05-Aug-2024","BE","536.80","550.00","535.65","563.80","535.65","535.65","537.96","699.45","267.15","28,789","1,54,87,258.65","334"
"02-Aug-2024","BE","576.95","578.00","555.05","581.80","564.00","563.80","565.96","699.45","267.15","14,718","83,29,821.00","302"
"01-Aug-2024","BE","587.15","590.00","570.00","587.15","590.00","581.80","576.07","699.45","267.15","16,812","96,84,940.75","352"
"31-Jul-2024","BE","609.90","609.90","578.00","599.75","582.55","587.15","587.34","699.45","267.15","9,075","53,30,073.55","227"
"30-Jul-2024","BE","600.95","614.90","590.00","601.50","600.00","599.75","600.15","699.45","267.15","14,349","86,11,541.10","296"
"29-Jul-2024","BE","612.90","622.00","595.00","596.15","608.00","601.50","604.00","699.45","267.15","23,664","1,42,92,943.00","412"
