"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","32.99","33.20","32.05","32.53","32.59","32.42","32.72","36.78","22.45","39,257","12,84,398.95","1,027"
"23-Aug-2024","EQ","32.81","33.00","31.20","32.51","31.31","32.53","32.62","36.78","22.35","35,655","11,63,095.31","582"
"22-Aug-2024","EQ","31.69","33.09","31.19","30.98","32.58","32.51","32.29","36.78","22.35","59,931","19,35,215.82","1,466"
"21-Aug-2024","EQ","32.60","32.89","30.75","31.90","31.50","30.98","31.35","36.78","22.35","63,361","19,86,287.88","684"
"20-Aug-2024","EQ","33.90","33.90","31.71","32.75","32.20","31.90","32.24","36.78","22.35","29,657","9,56,270.98","615"
"19-Aug-2024","EQ","33.88","33.88","31.66","31.45","32.35","32.75","32.51","36.78","22.35","60,973","19,82,186.12","855"
"16-Aug-2024","EQ","32.49","33.88","31.32","31.39","32.20","31.45","32.43","36.78","22.35","63,416","20,56,409.40","894"
"14-Aug-2024","EQ","33.20","33.33","31.02","32.56","32.49","31.39","32.14","36.78","22.35","73,303","23,55,887.30","1,226"
"13-Aug-2024","EQ","34.25","34.95","32.01","34.21","32.70","32.56","33.71","36.78","22.35","1,42,406","48,01,033.14","943"
"12-Aug-2024","EQ","32.20","35.70","29.70","32.22","34.39","34.21","33.45","36.78","22.35","7,62,554","2,55,04,157.71","3,748"
"09-Aug-2024","EQ","29.50","34.35","29.48","28.63","32.02","32.22","33.20","36.78","22.35","5,06,389","1,68,13,482.54","2,208"
"08-Aug-2024","EQ","30.00","30.59","28.51","29.79","28.52","28.63","29.35","36.78","22.35","17,557","5,15,242.67","562"
"07-Aug-2024","EQ","28.98","30.18","28.71","28.13","30.00","29.79","29.18","36.78","22.35","15,730","4,59,079.14","356"
"06-Aug-2024","EQ","29.51","31.80","28.01","29.33","28.30","28.13","29.66","36.78","22.35","28,945","8,58,403.55","847"
"05-Aug-2024","EQ","30.67","30.79","29.00","30.81","29.16","29.33","29.92","36.78","22.35","41,425","12,39,401.63","895"
"02-Aug-2024","EQ","30.38","32.00","30.38","30.67","30.67","30.81","31.09","36.78","22.35","52,416","16,29,653.49","1,347"
"01-Aug-2024","EQ","31.60","32.19","30.27","31.60","30.45","30.67","31.26","36.78","22.35","84,284","26,34,968.56","1,256"
"31-Jul-2024","EQ","33.49","34.80","30.70","33.68","31.30","31.60","32.95","36.78","22.35","92,164","30,36,998.91","976"
"30-Jul-2024","EQ","35.45","35.45","33.10","35.47","33.60","33.68","34.06","36.78","22.35","1,14,454","38,98,846.83","1,510"
"29-Jul-2024","EQ","33.10","36.78","30.72","31.85","35.20","35.47","34.72","36.78","22.35","5,98,569","2,07,81,189.96","4,531"
