"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","417.85","420.00","412.50","417.85","413.50","414.15","415.59","577.35","215.00","44,412","1,84,57,293.75","3,501"
"23-Aug-2024","EQ","422.05","425.60","416.20","420.50","417.60","417.85","420.27","577.35","215.00","74,322","3,12,35,609.90","5,137"
"22-Aug-2024","EQ","418.00","438.00","415.90","414.75","420.35","420.50","425.33","577.35","215.00","2,01,650","8,57,67,989.70","11,930"
"21-Aug-2024","EQ","414.95","419.00","412.05","411.40","415.90","414.75","415.40","577.35","215.00","46,975","1,95,13,501.60","4,390"
"20-Aug-2024","EQ","418.90","420.00","409.00","414.20","414.80","411.40","413.36","577.35","215.00","62,714","2,59,23,650.65","4,167"
"19-Aug-2024","EQ","407.70","418.00","407.70","407.45","416.00","414.20","413.78","577.35","215.00","48,276","1,99,75,663.40","3,702"
"16-Aug-2024","EQ","415.90","423.40","404.10","415.40","406.50","407.45","410.69","577.35","209.25","1,67,059","6,86,09,209.45","11,218"
"14-Aug-2024","EQ","424.90","426.00","410.05","420.00","415.90","415.40","416.42","577.35","209.25","58,155","2,42,16,834.40","6,165"
"13-Aug-2024","EQ","425.90","428.50","417.05","424.30","420.10","420.00","423.42","577.35","209.25","59,947","2,53,82,838.15","4,924"
"12-Aug-2024","EQ","421.00","427.50","413.95","418.60","426.00","424.30","421.95","577.35","209.25","97,943","4,13,27,043.45","6,151"
"09-Aug-2024","EQ","412.80","428.45","412.80","411.25","420.60","418.60","421.31","577.35","209.25","1,68,542","7,10,07,725.40","12,261"
"08-Aug-2024","EQ","424.45","426.25","408.00","424.70","409.15","411.25","416.80","577.35","209.25","1,06,045","4,41,99,187.65","7,444"
"07-Aug-2024","EQ","418.00","427.90","410.60","410.45","427.90","424.70","419.87","577.35","209.25","84,104","3,53,13,047.80","6,924"
"06-Aug-2024","EQ","423.00","428.80","403.15","413.80","411.00","410.45","417.87","577.35","209.25","79,479","3,32,12,012.15","6,091"
"05-Aug-2024","EQ","430.00","430.00","410.75","437.25","414.00","413.80","418.18","577.35","209.25","1,57,693","6,59,44,483.05","14,675"
"02-Aug-2024","EQ","440.60","443.70","433.95","445.35","439.90","437.25","438.88","577.35","192.30","1,00,871","4,42,69,904.15","6,789"
"01-Aug-2024","EQ","460.40","462.40","442.95","457.80","444.50","445.35","450.82","577.35","192.30","1,13,694","5,12,55,680.15","6,185"
"31-Jul-2024","EQ","457.00","463.90","456.10","456.05","458.70","457.80","458.73","577.35","192.30","74,549","3,41,98,050.60","4,868"
"30-Jul-2024","EQ","460.10","465.45","453.60","461.50","456.20","456.05","459.92","577.35","192.30","1,31,110","6,02,99,493.45","8,412"
"29-Jul-2024","EQ","460.35","463.70","456.05","457.60","462.20","461.50","459.97","577.35","192.30","1,18,871","5,46,76,557.10","6,145"
