"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","5,874.30","5,886.50","5,777.05","5,874.30","5,799.00","5,798.55","5,829.54","6,698.90","2,857.60","3,017","1,75,87,714.15","1,159"
"23-Aug-2024","EQ","5,954.00","6,029.95","5,845.55","5,966.95","5,850.50","5,874.30","5,945.24","6,698.90","2,857.60","2,405","1,42,98,295.30","1,151"
"22-Aug-2024","EQ","6,040.00","6,069.75","5,959.45","6,066.80","5,960.00","5,966.95","5,998.24","6,698.90","2,857.60","2,701","1,62,01,250.40","988"
"21-Aug-2024","EQ","5,950.00","6,115.35","5,790.20","5,946.45","6,015.55","6,066.80","5,976.15","6,698.90","2,857.60","7,100","4,24,30,677.80","2,028"
"20-Aug-2024","EQ","5,838.00","5,974.00","5,745.00","5,868.15","5,974.00","5,946.45","5,881.03","6,698.90","2,857.60","8,784","5,16,58,996.40","1,887"
"19-Aug-2024","EQ","5,820.00","5,960.00","5,632.75","5,831.55","5,828.15","5,868.15","5,871.23","6,698.90","2,857.60","9,785","5,74,49,942.30","3,831"
"16-Aug-2024","EQ","5,660.00","5,893.80","5,469.95","5,690.75","5,860.00","5,831.55","5,714.81","6,698.90","2,857.60","18,754","10,71,75,612.25","7,401"
"14-Aug-2024","EQ","5,285.00","6,274.00","5,135.00","5,270.00","5,640.00","5,690.75","5,645.04","6,698.90","2,857.60","60,257","34,01,53,177.90","15,467"
"13-Aug-2024","EQ","5,500.00","5,500.00","5,211.00","5,507.95","5,283.85","5,270.00","5,347.04","6,698.90","2,857.60","5,155","2,75,63,971.40","1,916"
"12-Aug-2024","EQ","5,382.80","5,561.00","5,382.80","5,445.35","5,501.50","5,507.95","5,483.34","6,698.90","2,857.60","2,495","1,36,80,939.90","1,192"
"09-Aug-2024","EQ","5,379.95","5,492.30","5,379.95","5,375.15","5,435.00","5,445.35","5,432.57","6,698.90","2,857.60","1,798","97,67,767.55","871"
"08-Aug-2024","EQ","5,502.55","5,520.95","5,365.00","5,502.55","5,420.00","5,375.15","5,425.70","6,698.90","2,857.60","4,096","2,22,23,663.65","2,216"
"07-Aug-2024","EQ","5,435.00","5,549.25","5,379.60","5,430.50","5,507.05","5,502.55","5,446.59","6,698.90","2,857.60","3,212","1,74,94,445.85","1,563"
"06-Aug-2024","EQ","5,490.00","5,642.95","5,400.00","5,473.65","5,462.00","5,430.50","5,516.37","6,698.90","2,857.60","4,377","2,41,45,168.70","2,339"
"05-Aug-2024","EQ","5,550.65","5,646.00","5,406.00","5,773.60","5,485.90","5,473.65","5,499.88","6,698.90","2,857.60","6,132","3,37,25,272.75","2,574"
"02-Aug-2024","EQ","5,851.00","5,908.05","5,751.00","5,938.05","5,760.00","5,773.60","5,823.46","6,698.90","2,857.60","2,779","1,61,83,391.50","1,072"
"01-Aug-2024","EQ","6,117.05","6,199.00","5,920.00","6,071.45","5,988.15","5,938.05","5,998.35","6,698.90","2,857.60","4,706","2,82,28,213.60","1,770"
"31-Jul-2024","EQ","5,828.40","6,374.85","5,799.95","5,850.75","6,080.00","6,071.45","6,131.79","6,698.90","2,857.60","29,965","18,37,39,145.00","8,548"
"30-Jul-2024","EQ","5,845.40","5,935.00","5,809.90","5,815.45","5,854.95","5,850.75","5,863.23","6,698.90","2,857.60","2,040","1,19,60,980.90","982"
"29-Jul-2024","EQ","5,982.95","5,982.95","5,760.05","5,924.00","5,820.00","5,815.45","5,856.85","6,698.90","2,857.60","2,360","1,38,22,165.60","871"
