"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","310.35","322.00","305.20","309.40","307.00","307.60","314.45","326.70","185.45","10,15,437","31,93,02,163.05","30,405"
"23-Aug-2024","EQ","317.35","326.70","307.20","316.05","310.35","309.40","319.62","326.70","164.15","19,97,985","63,85,96,677.50","41,056"
"22-Aug-2024","EQ","312.00","321.25","309.00","311.95","316.75","316.05","315.83","321.25","164.15","16,37,200","51,70,79,908.20","41,226"
"21-Aug-2024","EQ","309.50","315.90","306.70","309.55","311.00","311.95","311.32","315.90","164.15","13,12,229","40,85,17,540.85","30,022"
"20-Aug-2024","EQ","307.85","313.95","297.15","305.70","308.90","309.55","306.29","313.95","164.15","34,18,903","1,04,71,64,164.85","66,232"
"19-Aug-2024","EQ","276.10","308.00","276.10","274.85","306.50","305.70","298.98","308.00","164.15","48,25,757","1,44,28,11,344.95","92,066"
"16-Aug-2024","EQ","273.00","277.00","269.05","270.35","274.00","274.85","273.12","292.30","162.00","3,30,101","9,01,55,866.30","14,343"
"14-Aug-2024","EQ","279.45","279.50","267.55","278.50","272.50","270.35","272.26","292.30","162.00","5,51,566","15,01,67,888.30","20,666"
"13-Aug-2024","EQ","274.35","288.45","271.65","273.15","277.20","278.50","280.94","292.30","162.00","20,45,703","57,47,12,787.45","58,894"
"12-Aug-2024","EQ","265.00","282.50","264.25","264.10","273.95","273.15","276.05","292.30","162.00","30,40,494","83,93,41,242.75","76,849"
"09-Aug-2024","EQ","247.70","266.70","244.10","244.80","263.15","264.10","258.45","292.30","159.70","10,66,937","27,57,47,847.75","25,551"
"08-Aug-2024","EQ","252.40","266.20","244.00","249.10","245.55","244.80","256.90","292.30","159.70","12,46,583","32,02,49,001.90","40,306"
"07-Aug-2024","EQ","243.55","251.25","242.65","241.95","250.00","249.10","247.33","292.30","159.70","1,50,583","3,72,44,192.85","7,569"
"06-Aug-2024","EQ","246.75","251.00","240.85","243.90","242.00","241.95","246.79","292.30","159.70","1,66,194","4,10,15,828.95","9,472"
"05-Aug-2024","EQ","239.00","255.05","239.00","255.60","243.00","243.90","248.06","292.30","159.70","4,36,848","10,83,64,016.45","23,295"
"02-Aug-2024","EQ","252.00","258.40","251.95","259.40","256.00","255.60","255.76","292.30","159.70","1,68,466","4,30,87,488.65","8,091"
"01-Aug-2024","EQ","265.60","268.60","257.75","264.95","259.00","259.40","262.33","292.30","159.70","2,40,859","6,31,84,807.10","10,700"
"31-Jul-2024","EQ","262.95","271.00","260.30","262.20","266.00","264.95","266.63","292.30","159.70","8,58,582","22,89,22,121.50","25,825"
"30-Jul-2024","EQ","260.35","265.00","258.55","259.90","262.00","262.20","262.28","292.30","159.70","2,31,051","6,06,01,005.70","8,502"
"29-Jul-2024","EQ","261.00","266.10","255.50","259.75","260.25","259.90","261.44","292.30","159.70","3,85,083","10,06,76,910.45","16,230"
