"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","4.20","4.20","4.20","4.12","4.20","4.20","4.20","7.55","2.00","49,642","2,08,496.40","44"
"23-Aug-2024","BE","4.16","4.16","4.11","4.16","4.12","4.12","4.14","7.55","2.00","38,712","1,60,457.94","31"
"22-Aug-2024","BE","4.25","4.25","4.16","4.25","4.16","4.16","4.20","7.55","2.00","47,361","1,99,110.81","64"
"21-Aug-2024","BE","4.29","4.29","4.25","4.34","4.25","4.25","4.28","7.55","2.00","10,174","43,570.55","34"
"20-Aug-2024","BE","4.41","4.41","4.34","4.43","4.34","4.34","4.36","7.55","2.00","13,416","58,521.10","33"
"19-Aug-2024","BE","4.46","4.46","4.43","4.48","4.43","4.43","4.43","7.55","2.00","35,793","1,58,595.99","38"
"16-Aug-2024","BE","4.50","4.50","4.48","4.58","4.48","4.48","4.50","7.55","2.00","3,459","15,554.12","17"
"14-Aug-2024","BE","4.58","4.58","4.58","4.58","4.58","4.58","4.58","7.55","2.00","56,607","2,59,260.06","28"
"13-Aug-2024","BE","4.62","4.62","4.58","4.68","4.58","4.58","4.62","7.55","2.00","79,049","3,65,109.87","33"
"12-Aug-2024","BE","4.62","4.68","4.62","4.63","4.68","4.68","4.65","7.55","2.00","55,099","2,56,219.75","44"
"09-Aug-2024","BE","4.56","4.63","4.56","4.54","4.63","4.63","4.60","7.55","2.00","50,559","2,32,758.46","30"
"08-Aug-2024","BE","4.50","4.54","4.50","4.50","4.54","4.54","4.51","7.55","2.00","31,679","1,42,838.84","36"
"07-Aug-2024","BE","4.50","4.50","4.41","4.51","4.50","4.50","4.45","7.55","2.00","12,505","55,648.55","33"
"06-Aug-2024","BE","4.55","4.55","4.50","4.60","4.51","4.51","4.51","7.55","2.00","45,659","2,05,880.23","29"
"05-Aug-2024","BE","4.55","4.60","4.55","4.65","4.60","4.60","4.56","7.55","2.00","33,766","1,53,898.95","36"
"02-Aug-2024","BE","4.65","4.65","4.65","4.75","4.65","4.65","4.65","7.55","2.00","14,657","68,155.05","34"
"01-Aug-2024","BE","4.85","4.85","4.75","4.85","4.75","4.75","4.75","7.55","2.00","4,469","21,240.75","19"
"31-Jul-2024","BE","4.90","4.90","4.85","4.90","4.85","4.85","4.90","7.55","2.00","29,692","1,45,417.84","51"
"30-Jul-2024","BE","4.90","4.96","4.90","4.96","4.90","4.90","4.92","7.55","2.00","82,265","4,04,426.70","70"
"29-Jul-2024","BE","4.96","4.96","4.96","4.87","4.96","4.96","4.96","7.55","2.00","2,45,180","12,16,092.80","117"
