"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","155.00","155.00","149.75","148.79","154.50","153.36","153.12","166.70","69.15","86,752","1,32,83,179.25","1,006"
"23-Aug-2024","BE","139.99","148.79","137.70","141.71","148.79","148.79","146.69","166.70","69.15","1,11,948","1,64,21,772.78","724"
"22-Aug-2024","BE","149.17","149.17","141.71","149.17","141.71","141.71","142.60","166.70","69.15","57,257","81,65,049.37","896"
"21-Aug-2024","BE","156.00","158.00","149.17","157.03","149.17","149.17","151.46","166.70","69.15","83,541","1,26,52,722.28","1,137"
"20-Aug-2024","EQ","154.57","164.90","151.38","154.57","155.32","157.03","157.78","166.70","69.15","3,63,305","5,73,23,681.24","12,009"
"19-Aug-2024","EQ","160.00","164.87","152.00","158.78","153.20","154.57","159.69","166.70","69.15","9,13,173","14,58,26,757.67","29,652"
"16-Aug-2024","EQ","146.31","166.70","138.50","142.77","156.50","158.78","155.56","166.70","69.15","23,25,658","36,17,68,808.30","53,435"
"14-Aug-2024","EQ","124.01","145.96","121.08","123.48","144.98","142.77","138.12","145.96","69.15","8,75,727","12,09,54,235.99","18,456"
"13-Aug-2024","EQ","128.00","129.35","122.32","127.62","123.40","123.48","124.53","137.70","69.15","1,02,339","1,27,43,790.54","5,775"
"12-Aug-2024","EQ","128.00","130.15","126.90","128.82","127.00","127.62","128.68","137.70","69.15","1,10,564","1,42,26,892.90","4,224"
"09-Aug-2024","EQ","133.90","133.90","127.09","129.81","129.55","128.82","129.46","137.70","69.15","1,07,028","1,38,55,692.65","4,765"
"08-Aug-2024","EQ","135.33","136.89","129.00","135.50","131.20","129.81","132.32","137.70","69.15","1,72,926","2,28,80,753.95","6,636"
"07-Aug-2024","EQ","127.89","136.00","127.89","127.28","135.30","135.50","133.71","137.70","69.15","3,55,199","4,74,93,666.48","12,647"
"06-Aug-2024","EQ","130.00","137.70","125.10","126.30","127.88","127.28","132.44","137.70","69.15","9,72,766","12,88,32,114.54","24,447"
"05-Aug-2024","EQ","119.88","132.05","114.88","119.57","126.90","126.30","124.39","136.99","69.15","4,10,125","5,10,13,832.28","15,328"
"02-Aug-2024","EQ","118.11","121.40","117.81","121.88","120.00","119.57","119.64","136.99","69.15","93,838","1,12,26,649.80","3,855"
"01-Aug-2024","EQ","123.35","125.90","120.85","121.16","122.03","121.88","123.59","136.99","69.15","1,26,792","1,56,69,647.89","4,801"
"31-Jul-2024","EQ","123.61","126.08","120.61","123.61","121.63","121.16","122.84","136.99","69.15","84,911","1,04,30,506.31","3,839"
"30-Jul-2024","EQ","125.70","126.40","122.77","124.32","123.80","123.61","124.68","136.99","69.15","1,22,069","1,52,19,236.96","4,273"
"29-Jul-2024","EQ","114.00","125.78","114.00","114.75","124.00","124.32","122.33","136.99","69.15","3,34,743","4,09,50,773.89","10,087"
