"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","197.89","198.24","189.00","195.53","193.00","189.92","191.88","228.00","128.15","51,134","98,11,646.03","1,646"
"23-Aug-2024","EQ","204.00","206.20","194.50","200.49","196.45","195.53","199.70","228.00","128.15","1,31,002","2,61,60,908.23","3,947"
"22-Aug-2024","EQ","180.50","205.00","180.50","181.63","204.90","200.49","196.45","228.00","128.15","1,66,221","3,26,54,602.72","3,338"
"21-Aug-2024","EQ","183.60","184.99","180.11","182.68","181.11","181.63","182.41","228.00","128.15","35,712","65,14,365.40","1,178"
"20-Aug-2024","EQ","182.99","187.99","181.10","182.99","181.75","182.68","184.78","228.00","128.15","42,832","79,14,283.66","1,253"
"19-Aug-2024","EQ","185.40","185.79","180.00","182.43","182.44","182.99","182.70","228.00","128.15","56,836","1,03,84,053.82","1,537"
"16-Aug-2024","EQ","186.39","192.06","180.66","188.74","184.50","182.43","185.97","228.00","128.15","81,380","1,51,34,314.38","2,315"
"14-Aug-2024","EQ","179.00","204.19","179.00","174.90","188.55","188.74","192.75","228.00","128.15","6,76,936","13,04,79,560.46","17,365"
"13-Aug-2024","EQ","184.00","185.00","172.11","184.31","174.95","174.90","178.90","228.00","128.15","68,516","1,22,57,525.84","1,917"
"12-Aug-2024","EQ","186.00","192.74","180.03","185.16","181.40","184.31","185.77","228.00","128.15","96,250","1,78,80,148.31","2,533"
"09-Aug-2024","EQ","189.00","194.80","183.50","185.32","188.85","185.16","190.88","228.00","128.15","1,56,066","2,97,89,596.12","2,829"
"08-Aug-2024","EQ","205.95","207.15","183.96","205.55","186.70","185.32","192.35","228.00","128.15","2,58,767","4,97,73,422.06","6,015"
"07-Aug-2024","EQ","217.24","223.79","199.00","209.65","202.70","205.55","208.92","228.00","128.15","2,96,178","6,18,78,717.90","5,342"
"06-Aug-2024","EQ","215.00","228.00","207.29","205.37","210.90","209.65","217.83","228.00","128.15","13,25,874","28,88,14,227.57","20,097"
"05-Aug-2024","EQ","196.00","209.40","190.00","196.05","206.50","205.37","202.21","209.85","128.15","7,35,274","14,86,80,567.48","12,498"
"02-Aug-2024","EQ","187.15","199.58","182.20","189.88","196.50","196.05","195.57","209.85","128.15","2,35,366","4,60,31,162.32","4,284"
"01-Aug-2024","EQ","195.76","201.70","188.90","195.75","190.60","189.88","195.02","209.85","128.15","2,46,372","4,80,48,121.38","4,872"
"31-Jul-2024","EQ","175.89","204.30","175.00","175.89","194.50","195.75","195.86","209.85","128.15","18,01,968","35,29,31,862.24","22,494"
"30-Jul-2024","EQ","175.00","178.50","171.00","173.77","176.20","175.89","173.53","209.85","128.15","82,010","1,42,31,532.94","1,485"
"29-Jul-2024","EQ","185.99","185.99","172.00","185.73","172.21","173.77","176.27","209.85","128.15","3,10,388","5,47,13,473.56","6,294"
