"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,312.50","1,321.10","1,290.00","1,286.85","1,305.00","1,304.95","1,306.13","1,526.60","963.90","50,710","6,62,33,993.20","4,202"
"23-Aug-2024","EQ","1,318.00","1,331.35","1,285.10","1,326.00","1,287.00","1,286.85","1,295.70","1,526.60","963.90","78,231","10,13,64,088.70","8,449"
"22-Aug-2024","EQ","1,328.00","1,348.65","1,320.90","1,346.00","1,322.00","1,326.00","1,332.13","1,526.60","963.90","39,958","5,32,29,385.70","7,065"
"21-Aug-2024","EQ","1,314.00","1,359.25","1,305.15","1,301.10","1,349.00","1,346.00","1,344.40","1,526.60","963.90","1,68,439","22,64,49,766.40","13,176"
"20-Aug-2024","EQ","1,315.30","1,315.30","1,292.00","1,298.15","1,308.00","1,301.10","1,302.34","1,526.60","963.90","24,757","3,22,41,939.30","4,123"
"19-Aug-2024","EQ","1,282.10","1,306.10","1,282.00","1,278.20","1,303.10","1,298.15","1,294.19","1,526.60","963.90","29,302","3,79,22,330.30","3,369"
"16-Aug-2024","EQ","1,293.50","1,302.25","1,271.35","1,287.05","1,279.30","1,278.20","1,279.03","1,526.60","963.90","34,716","4,44,02,758.65","5,574"
"14-Aug-2024","EQ","1,298.80","1,300.00","1,281.00","1,292.30","1,281.25","1,287.05","1,288.13","1,526.60","963.90","19,271","2,48,23,493.25","2,486"
"13-Aug-2024","EQ","1,334.15","1,334.15","1,286.15","1,327.80","1,299.45","1,292.30","1,304.52","1,526.60","963.90","28,160","3,67,35,379.30","4,297"
"12-Aug-2024","EQ","1,342.60","1,348.40","1,312.50","1,342.60","1,326.15","1,327.80","1,324.93","1,526.60","963.90","21,681","2,87,25,893.90","3,824"
"09-Aug-2024","EQ","1,345.00","1,356.55","1,332.60","1,314.50","1,342.00","1,342.60","1,343.39","1,526.60","963.90","28,967","3,89,14,115.80","4,257"
"08-Aug-2024","EQ","1,297.20","1,342.10","1,275.00","1,289.85","1,312.55","1,314.50","1,315.39","1,526.60","963.90","37,869","4,98,12,611.65","7,739"
"07-Aug-2024","EQ","1,295.75","1,302.40","1,273.95","1,290.55","1,287.45","1,289.85","1,289.44","1,526.60","963.90","1,02,024","13,15,54,284.10","8,467"
"06-Aug-2024","EQ","1,311.00","1,335.15","1,276.00","1,307.50","1,289.25","1,290.55","1,299.12","1,526.60","963.90","50,319","6,53,70,506.10","6,952"
"05-Aug-2024","EQ","1,336.10","1,340.00","1,292.15","1,361.45","1,308.00","1,307.50","1,308.50","1,526.60","963.90","36,377","4,75,99,436.80","5,898"
"02-Aug-2024","EQ","1,392.00","1,398.95","1,357.00","1,392.00","1,363.00","1,361.45","1,368.64","1,526.60","963.90","47,201","6,46,01,092.70","8,364"
"01-Aug-2024","EQ","1,420.00","1,440.55","1,386.40","1,429.10","1,390.50","1,392.00","1,411.45","1,526.60","963.90","46,555","6,57,09,998.90","7,572"
"31-Jul-2024","EQ","1,485.00","1,490.55","1,423.00","1,471.40","1,428.00","1,429.10","1,450.04","1,526.60","963.90","28,140","4,08,04,074.65","4,346"
"30-Jul-2024","EQ","1,448.60","1,490.00","1,441.05","1,438.80","1,467.00","1,471.40","1,467.76","1,526.60","963.90","41,787","6,13,33,200.05","6,481"
"29-Jul-2024","EQ","1,434.10","1,456.85","1,422.05","1,426.95","1,435.00","1,438.80","1,439.21","1,526.60","963.90","21,286","3,06,35,052.00","4,438"
