"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","493.00","501.90","470.10","493.15","477.60","471.45","478.23","555.00","242.80","52,277","2,50,00,181.40","765"
"23-Aug-2024","BE","490.10","503.70","490.10","499.95","499.25","493.15","495.00","555.00","234.25","22,622","1,11,97,865.20","455"
"22-Aug-2024","BE","500.00","504.70","493.20","497.10","499.00","499.95","498.66","555.00","234.25","31,678","1,57,96,623.95","674"
"21-Aug-2024","BE","495.50","509.90","492.00","495.50","499.90","497.10","500.71","555.00","234.25","19,469","97,48,321.40","388"
"20-Aug-2024","BE","504.95","515.00","492.00","505.05","499.00","495.50","501.96","555.00","234.25","10,988","55,15,498.90","251"
"19-Aug-2024","BE","506.00","516.00","495.60","505.05","505.05","505.05","506.86","555.00","234.25","17,126","86,80,432.40","326"
"16-Aug-2024","BE","510.00","510.00","490.20","501.40","505.10","505.05","501.70","555.00","224.95","30,886","1,54,95,655.15","377"
"14-Aug-2024","BE","527.00","535.00","500.30","526.60","500.30","501.40","503.98","555.00","224.95","22,421","1,12,99,838.75","493"
"13-Aug-2024","EQ","512.35","529.90","505.10","512.05","529.00","526.60","515.45","555.00","224.95","85,088","4,38,58,452.10","2,396"
"12-Aug-2024","EQ","517.00","518.40","496.00","495.55","514.00","512.05","511.55","555.00","224.95","77,425","3,96,06,707.30","2,567"
"09-Aug-2024","EQ","505.00","510.85","490.00","501.85","500.25","495.55","499.11","555.00","224.95","47,325","2,36,20,448.00","3,008"
"08-Aug-2024","EQ","500.00","512.00","497.10","500.55","500.20","501.85","503.73","555.00","224.95","38,396","1,93,41,229.25","1,489"
"07-Aug-2024","EQ","505.00","517.95","489.30","496.70","502.55","500.55","500.79","555.00","224.95","53,620","2,68,52,384.50","3,096"
"06-Aug-2024","EQ","516.00","525.95","492.50","511.65","496.95","496.70","506.87","555.00","224.95","69,691","3,53,24,235.55","2,965"
"05-Aug-2024","EQ","555.00","555.00","511.65","538.55","511.65","511.65","521.62","555.00","224.95","1,11,294","5,80,52,823.20","2,603"
"02-Aug-2024","EQ","510.00","538.55","504.40","512.95","538.55","538.55","528.76","539.70","224.95","81,474","4,30,80,466.15","2,283"
"01-Aug-2024","EQ","523.20","530.00","500.10","518.50","521.95","512.95","514.92","539.70","224.95","85,336","4,39,41,022.75","2,465"
"31-Jul-2024","EQ","530.00","530.00","516.75","520.35","518.00","518.50","523.73","539.70","224.95","59,114","3,09,59,690.40","1,859"
"30-Jul-2024","EQ","516.95","539.70","496.25","514.00","522.00","520.35","520.91","539.70","224.95","2,55,069","13,28,67,878.40","9,228"
"29-Jul-2024","EQ","479.85","515.90","467.25","469.00","515.90","514.00","508.66","515.90","224.95","4,82,634","24,54,95,161.25","9,158"
