"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","284.65","284.65","278.55","276.17","279.82","279.93","280.04","290.00","200.75","1,151","3,22,329.06","110"
"23-Aug-2024","EQ","279.07","281.84","273.70","276.31","274.31","276.17","277.75","290.00","200.75","1,336","3,71,072.15","123"
"22-Aug-2024","EQ","278.55","278.56","275.80","275.17","275.80","276.31","276.54","290.00","200.75","1,934","5,34,824.76","82"
"21-Aug-2024","EQ","279.95","279.95","271.82","274.77","275.92","275.17","275.18","290.00","200.75","840","2,31,152.12","69"
"20-Aug-2024","EQ","279.49","279.49","270.87","272.86","275.00","274.77","275.32","290.00","200.75","609","1,67,669.52","79"
"19-Aug-2024","EQ","276.01","279.50","269.10","273.44","275.00","272.86","272.63","290.00","200.75","4,718","12,86,275.76","159"
"16-Aug-2024","EQ","268.86","274.30","266.24","268.86","272.05","273.44","273.04","290.00","200.75","570","1,55,633.15","88"
"14-Aug-2024","EQ","274.54","274.54","267.67","269.16","267.67","268.86","270.96","290.00","200.75","409","1,10,820.93","42"
"13-Aug-2024","EQ","279.40","279.40","267.60","273.17","271.99","269.16","272.82","290.00","200.75","558","1,52,234.33","65"
"12-Aug-2024","EQ","275.00","279.50","261.05","274.27","270.97","273.17","269.97","290.00","200.75","2,796","7,54,837.57","164"
"09-Aug-2024","EQ","273.87","274.50","271.46","274.32","273.00","274.27","273.58","290.00","200.75","404","1,10,525.87","38"
"08-Aug-2024","EQ","272.21","275.10","269.74","273.00","269.74","274.32","272.69","290.00","200.75","763","2,08,062.83","32"
"07-Aug-2024","EQ","267.33","273.15","266.98","268.35","269.74","273.00","270.65","290.00","200.75","991","2,68,214.83","65"
"06-Aug-2024","EQ","273.01","275.84","265.96","277.61","265.96","268.35","270.93","290.00","200.75","3,874","10,49,599.94","184"
"05-Aug-2024","EQ","279.49","279.94","271.00","281.86","274.01","277.61","275.34","290.00","200.75","2,457","6,76,503.14","196"
"02-Aug-2024","EQ","284.00","284.00","275.26","278.79","276.01","281.86","277.81","290.00","200.75","891","2,47,531.97","68"
"01-Aug-2024","EQ","274.57","280.80","274.56","277.19","278.65","278.79","279.04","290.00","200.75","572","1,59,608.92","63"
"31-Jul-2024","EQ","277.00","282.00","273.60","276.57","279.95","277.19","277.09","290.00","200.75","1,379","3,82,112.67","48"
"30-Jul-2024","EQ","277.25","278.78","275.78","277.25","278.00","276.57","277.30","290.00","200.75","654","1,81,352.81","45"
"29-Jul-2024","EQ","283.55","284.70","275.45","274.68","277.25","277.25","279.08","290.00","200.75","4,073","11,36,693.70","96"
