"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,000.00","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","15,47,089","1,54,70,88,475.57","485"
"23-Aug-2024","EQ","1,000.00","1,000.01","999.99","999.87","1,000.00","999.99","1,000.00","1,030.00","970.00","7,09,896","70,98,95,857.05","348"
"22-Aug-2024","EQ","1,000.01","1,000.01","997.10","999.99","1,000.00","999.87","999.97","1,030.00","970.00","8,97,694","89,76,69,576.35","393"
"21-Aug-2024","EQ","1,000.00","1,000.01","996.05","999.99","999.99","999.99","1,000.00","1,030.00","970.00","5,06,054","50,60,51,742.10","427"
"20-Aug-2024","EQ","999.00","1,000.01","999.00","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","5,58,218","55,82,17,428.15","319"
"19-Aug-2024","EQ","1,000.01","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","5,68,962","56,89,61,808.61","1,138"
"16-Aug-2024","EQ","1,000.02","1,000.02","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","4,84,290","48,42,89,395.43","1,560"
"14-Aug-2024","EQ","1,000.00","1,000.01","999.98","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","15,72,056","1,57,20,55,284.80","1,087"
"13-Aug-2024","EQ","1,000.00","1,000.01","997.15","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","4,91,001","49,09,98,812.38","360"
"12-Aug-2024","EQ","1,000.01","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","6,37,531","63,75,30,785.95","424"
"09-Aug-2024","EQ","1,000.00","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","17,23,642","1,72,36,41,660.63","1,416"
"08-Aug-2024","EQ","1,000.00","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","7,26,218","72,62,17,790.01","411"
"07-Aug-2024","EQ","1,000.00","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","11,07,057","1,10,70,56,856.57","1,623"
"06-Aug-2024","EQ","999.99","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","17,74,387","1,77,43,86,881.82","932"
"05-Aug-2024","EQ","999.00","1,015.00","998.99","999.99","1,000.01","999.99","1,000.00","1,030.00","970.00","10,45,433","1,04,54,30,968.57","1,300"
"02-Aug-2024","EQ","999.99","1,000.01","999.99","999.99","999.99","999.99","1,000.00","1,030.00","970.00","8,21,310","82,13,09,846.88","497"
"01-Aug-2024","EQ","999.99","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","10,42,399","1,04,23,98,806.53","1,172"
"31-Jul-2024","EQ","1,000.00","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","8,29,462","82,94,61,806.57","836"
"30-Jul-2024","EQ","1,000.00","1,000.01","999.99","999.99","999.99","999.99","1,000.00","1,030.00","970.00","9,26,694","92,66,93,390.09","335"
"29-Jul-2024","EQ","1,000.00","1,000.01","999.99","999.99","1,000.00","999.99","1,000.00","1,030.00","970.00","8,24,039","82,40,38,643.56","375"
