"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,009.24","1,009.25","1,009.24","1,008.75","1,009.25","1,009.25","1,009.25","1,009.25","1,000.00","2,362","23,83,847.26","16"
"23-Aug-2024","EQ","1,008.74","1,008.76","1,008.74","1,008.60","1,008.76","1,008.75","1,008.76","1,008.76","1,000.00","4,678","47,18,973.48","19"
"22-Aug-2024","EQ","1,008.58","1,008.60","1,008.58","1,008.42","1,008.60","1,008.60","1,008.58","1,008.60","1,000.00","3,653","36,84,354.82","16"
"21-Aug-2024","EQ","1,008.41","1,008.43","1,008.41","1,008.25","1,008.42","1,008.42","1,008.42","1,008.43","1,000.00","463","4,66,899.30","29"
"20-Aug-2024","EQ","1,008.26","1,008.26","1,008.24","1,008.08","1,008.25","1,008.25","1,008.25","1,008.26","1,000.00","6","6,049.49","5"
"19-Aug-2024","EQ","1,008.08","1,008.10","1,008.08","1,007.60","1,008.08","1,008.08","1,008.08","1,008.10","1,000.00","10,988","1,10,76,823.79","25"
"16-Aug-2024","EQ","1,007.00","1,007.60","1,007.00","1,007.27","1,007.60","1,007.60","1,007.60","1,007.60","1,000.00","4,225","42,57,103.32","15"
"14-Aug-2024","EQ","1,007.26","1,007.27","1,007.25","1,007.08","1,007.27","1,007.27","1,007.26","1,007.27","1,000.00","15,458","1,55,70,163.16","28"
"13-Aug-2024","EQ","1,007.00","1,007.10","1,007.00","1,006.92","1,007.08","1,007.08","1,007.08","1,007.10","1,000.00","603","6,07,270.94","12"
"12-Aug-2024","EQ","1,006.92","1,006.92","1,006.92","1,006.44","1,006.92","1,006.92","1,006.92","1,006.92","1,000.00","19","19,131.48","3"
"09-Aug-2024","EQ","1,006.44","1,006.45","1,000.00","1,006.26","1,006.44","1,006.44","1,006.14","1,006.45","1,000.00","240","2,41,473.97","14"
"08-Aug-2024","EQ","1,006.26","1,006.28","1,006.26","1,006.09","1,006.28","1,006.26","1,006.28","1,006.28","1,000.00","4,817","48,47,248.44","11"
"07-Aug-2024","EQ","1,006.09","1,006.11","1,006.09","1,005.93","1,006.09","1,006.09","1,006.09","1,006.11","1,000.00","41","41,249.85","8"
"06-Aug-2024","EQ","1,005.92","1,005.94","1,005.92","1,005.75","1,005.93","1,005.93","1,005.92","1,005.94","1,000.00","1,155","11,61,839.04","12"
"05-Aug-2024","EQ","1,005.75","1,005.77","1,005.75","1,005.27","1,005.75","1,005.75","1,005.75","1,005.77","1,000.00","1,192","11,98,859.04","22"
"02-Aug-2024","EQ","1,005.27","1,005.29","1,005.27","1,005.10","1,005.27","1,005.27","1,005.28","1,005.29","1,000.00","217","2,18,145.35","13"
"01-Aug-2024","EQ","1,005.10","1,005.12","1,005.10","1,004.93","1,005.10","1,005.10","1,005.10","1,005.12","1,000.00","2,468","24,80,586.88","14"
"31-Jul-2024","EQ","1,004.93","1,004.95","1,004.93","1,004.77","1,004.93","1,004.93","1,004.94","1,004.95","1,000.00","11,093","1,11,47,800.10","17"
"30-Jul-2024","EQ","1,004.77","1,004.78","1,004.76","1,004.60","1,004.78","1,004.77","1,004.78","1,004.78","1,000.00","1,143","11,48,461.43","19"
"29-Jul-2024","EQ","1,004.60","1,004.61","1,004.60","1,004.10","1,004.60","1,004.60","1,004.60","1,004.61","1,000.00","196","1,96,902.49","17"
