"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","79.76","81.77","79.00","80.11","79.88","79.80","80.36","93.40","39.60","38,35,499","30,82,21,878.14","26,887"
"23-Aug-2024","EQ","81.50","82.15","79.85","81.54","80.36","80.11","80.75","93.40","39.60","29,51,644","23,83,59,256.31","23,732"
"22-Aug-2024","EQ","81.48","82.86","81.04","81.13","81.45","81.54","81.94","93.40","39.60","33,82,441","27,71,65,522.59","21,980"
"21-Aug-2024","EQ","82.45","82.85","80.82","82.33","81.25","81.13","81.66","93.40","39.60","22,30,663","18,21,53,261.40","15,796"
"20-Aug-2024","EQ","81.90","82.99","80.55","81.06","82.25","82.33","81.76","93.40","39.60","50,85,887","41,58,19,533.70","33,230"
"19-Aug-2024","EQ","77.19","81.54","77.19","76.63","81.38","81.06","79.69","93.40","39.60","50,09,176","39,91,95,055.91","35,690"
"16-Aug-2024","EQ","77.10","77.88","75.86","75.70","76.65","76.63","76.79","93.40","39.60","34,56,090","26,53,98,757.79","25,680"
"14-Aug-2024","EQ","78.47","78.81","74.59","78.47","76.00","75.70","76.28","93.40","39.60","72,84,914","55,57,06,331.92","38,442"
"13-Aug-2024","EQ","78.30","81.85","78.07","78.21","78.20","78.47","79.98","93.40","39.60","60,31,277","48,23,80,346.33","31,163"
"12-Aug-2024","EQ","77.74","79.35","77.10","78.79","78.30","78.21","78.30","93.40","39.60","31,59,462","24,73,82,290.68","25,010"
"09-Aug-2024","EQ","79.54","80.19","78.50","78.84","78.87","78.79","79.26","93.40","39.60","28,28,621","22,42,05,488.70","22,189"
"08-Aug-2024","EQ","79.00","80.80","78.15","79.11","79.40","78.84","79.76","93.40","39.60","42,97,666","34,27,74,804.24","27,708"
"07-Aug-2024","EQ","79.49","79.85","77.56","77.30","79.20","79.11","78.87","93.40","39.60","44,09,661","34,78,08,594.09","24,729"
"06-Aug-2024","EQ","81.89","81.94","76.10","79.09","77.49","77.30","79.45","93.40","39.60","67,19,349","53,38,42,573.79","42,085"
"05-Aug-2024","EQ","83.07","83.75","78.50","85.63","78.98","79.09","80.62","93.40","39.60","1,12,79,930","90,93,90,588.80","63,388"
"02-Aug-2024","EQ","84.02","86.73","83.25","84.71","85.41","85.63","85.38","93.40","39.60","66,57,654","56,84,14,761.90","32,964"
"01-Aug-2024","EQ","86.20","87.75","83.80","86.15","84.89","84.71","85.71","93.40","39.60","84,91,576","72,77,83,107.99","38,355"
"31-Jul-2024","EQ","92.00","92.67","85.25","91.83","85.79","86.15","87.59","93.40","39.60","1,58,91,261","1,39,19,73,470.34","61,216"
"30-Jul-2024","EQ","92.20","93.20","90.75","91.75","92.25","91.83","91.85","93.40","39.60","55,23,152","50,73,28,211.91","28,689"
"29-Jul-2024","EQ","89.99","93.40","89.89","89.30","91.99","91.75","92.07","93.40","39.60","91,66,765","84,40,11,605.38","47,467"
