"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","767.00","786.95","765.05","768.40","780.00","778.65","777.39","799.00","492.00","3,61,768","28,12,36,474.35","18,806"
"23-Aug-2024","EQ","778.40","785.05","755.55","776.55","768.35","768.40","772.75","799.00","492.00","2,46,241","19,02,82,905.35","15,647"
"22-Aug-2024","EQ","762.00","791.00","761.60","755.40","777.00","776.55","779.02","799.00","492.00","6,55,482","51,06,31,822.60","25,426"
"21-Aug-2024","EQ","747.40","759.95","741.30","747.60","753.80","755.40","753.13","799.00","492.00","3,20,502","24,13,80,874.60","18,500"
"20-Aug-2024","EQ","752.00","760.90","742.55","751.10","743.00","747.60","750.27","799.00","492.00","2,09,393","15,71,01,719.60","14,029"
"19-Aug-2024","EQ","752.15","754.00","732.70","740.00","752.65","751.10","743.36","799.00","492.00","2,77,229","20,60,80,289.50","16,023"
"16-Aug-2024","EQ","744.70","744.90","728.50","734.15","739.00","740.00","738.92","799.00","492.00","9,13,932","67,53,20,798.00","11,699"
"14-Aug-2024","EQ","750.70","753.50","726.20","746.80","737.00","734.15","734.46","799.00","492.00","2,79,668","20,54,04,691.30","17,827"
"13-Aug-2024","EQ","769.00","774.00","741.00","759.45","745.80","746.80","756.03","799.00","492.00","1,62,328","12,27,25,331.80","10,649"
"12-Aug-2024","EQ","758.00","773.70","747.75","761.90","762.00","759.45","762.35","799.00","492.00","2,84,282","21,67,23,242.80","20,162"
"09-Aug-2024","EQ","743.80","775.00","739.50","738.40","764.40","761.90","760.39","799.00","492.00","5,19,113","39,47,27,542.75","20,707"
"08-Aug-2024","EQ","739.45","746.35","726.85","739.45","736.00","738.40","737.65","799.00","492.00","2,98,834","22,04,33,892.65","13,352"
"07-Aug-2024","EQ","723.05","744.10","720.30","716.25","744.10","739.45","733.63","799.00","492.00","3,63,577","26,67,31,882.90","15,414"
"06-Aug-2024","EQ","733.20","749.00","705.00","726.10","714.90","716.25","723.86","799.00","492.00","7,68,947","55,66,13,504.65","24,545"
"05-Aug-2024","EQ","768.85","768.85","722.05","781.55","727.40","726.10","737.65","799.00","492.00","10,80,459","79,70,02,852.05","37,466"
"02-Aug-2024","EQ","770.00","797.00","762.00","777.95","783.00","781.55","780.86","799.00","492.00","12,97,150","1,01,28,91,375.00","41,799"
"01-Aug-2024","EQ","736.05","799.00","736.05","731.45","782.00","777.95","781.05","799.00","492.00","38,21,092","2,98,44,53,065.15","1,15,998"
"31-Jul-2024","EQ","750.00","756.00","726.00","739.70","729.00","731.45","741.34","786.00","492.00","4,45,683","33,04,01,599.70","15,983"
"30-Jul-2024","EQ","735.00","754.35","727.40","735.00","740.00","739.70","742.39","786.00","492.00","12,26,565","91,05,85,227.55","45,326"
"29-Jul-2024","EQ","753.00","753.70","732.10","748.95","738.30","735.00","743.87","786.00","492.00","4,48,112","33,33,37,777.70","17,899"
