"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","10.09","10.09","9.89","10.10","9.91","9.91","9.94","16.76","6.00","42,778","4,25,401.05","112"
"23-Aug-2024","BE","10.29","10.29","10.08","10.29","10.10","10.10","10.13","16.76","5.85","31,447","3,18,655.32","90"
"22-Aug-2024","BE","10.59","10.59","10.29","10.47","10.29","10.29","10.50","16.76","5.85","39,374","4,13,436.50","101"
"21-Aug-2024","BE","10.47","10.47","10.47","10.27","10.47","10.47","10.47","16.76","5.85","23,662","2,47,741.14","55"
"20-Aug-2024","BE","10.17","10.27","10.16","10.37","10.27","10.27","10.20","16.76","5.85","26,714","2,72,567.25","112"
"19-Aug-2024","BE","10.59","10.59","10.37","10.59","10.37","10.37","10.43","16.76","5.85","27,801","2,90,021.83","113"
"16-Aug-2024","BE","10.80","10.80","10.59","10.81","10.59","10.59","10.62","16.76","5.10","42,491","4,51,289.46","133"
"14-Aug-2024","BE","11.00","11.00","10.81","11.04","10.81","10.81","10.85","16.76","5.10","19,809","2,15,024.87","66"
"13-Aug-2024","BE","11.04","11.04","11.04","11.27","11.04","11.04","11.04","16.76","5.10","15,534","1,71,495.36","83"
"12-Aug-2024","BE","11.27","11.27","11.27","11.51","11.27","11.27","11.27","16.76","5.10","10,086","1,13,669.22","60"
"09-Aug-2024","BE","11.51","11.51","11.51","11.75","11.51","11.51","11.51","16.76","5.10","10,180","1,17,171.80","52"
"08-Aug-2024","BE","11.75","11.75","11.75","11.99","11.75","11.75","11.75","16.76","5.10","8,296","97,478.00","40"
"07-Aug-2024","BE","11.99","11.99","11.99","12.24","11.99","11.99","11.99","16.76","5.10","10,383","1,24,492.17","35"
"06-Aug-2024","BE","12.24","12.24","12.24","12.49","12.24","12.24","12.24","16.76","5.10","21,391","2,61,825.84","48"
"05-Aug-2024","BE","13.00","13.00","12.49","13.15","12.49","12.49","12.54","16.76","5.10","1,81,981","22,82,319.40","457"
"02-Aug-2024","BE","13.20","13.40","12.68","12.81","13.26","13.15","13.02","16.76","5.10","2,38,243","31,00,819.06","765"
"01-Aug-2024","BE","12.50","12.81","12.00","12.20","12.81","12.81","12.74","16.76","5.10","1,54,045","19,61,929.59","465"
"31-Jul-2024","BE","11.69","12.21","11.20","11.63","12.21","12.20","11.90","16.76","5.10","1,93,564","23,02,578.41","566"
"30-Jul-2024","BE","11.34","11.83","11.05","11.52","11.80","11.63","11.62","16.76","5.10","1,33,221","15,48,404.86","416"
"29-Jul-2024","BE","11.13","11.65","10.70","11.13","11.45","11.52","11.30","16.76","5.10","1,71,127","19,33,306.77","558"
