"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","5,520.00","5,574.65","5,472.00","5,462.20","5,497.70","5,513.05","5,515.23","5,873.35","4,111.00","1,39,061","76,69,53,527.85","16,133"
"23-Aug-2024","EQ","5,475.00","5,507.75","5,417.80","5,488.30","5,453.70","5,462.20","5,469.68","5,873.35","4,111.00","98,101","53,65,81,369.00","12,786"
"22-Aug-2024","EQ","5,455.00","5,513.75","5,440.00","5,424.45","5,489.30","5,488.30","5,490.04","5,873.35","4,111.00","1,17,273","64,38,33,984.50","21,424"
"21-Aug-2024","EQ","5,380.00","5,443.00","5,359.50","5,376.20","5,429.50","5,424.45","5,413.71","5,873.35","4,111.00","96,278","52,12,21,411.65","15,497"
"20-Aug-2024","EQ","5,284.05","5,395.00","5,277.00","5,284.05","5,380.00","5,376.20","5,364.66","5,873.35","4,111.00","1,59,873","85,76,64,919.95","22,368"
"19-Aug-2024","EQ","5,237.00","5,332.45","5,210.15","5,207.55","5,292.15","5,284.05","5,280.72","5,873.35","4,111.00","1,87,873","99,21,04,455.25","27,324"
"16-Aug-2024","EQ","4,985.00","5,224.50","4,980.35","4,916.85","5,190.20","5,207.55","5,165.97","5,873.35","4,111.00","5,29,747","2,73,66,56,678.80","52,645"
"14-Aug-2024","EQ","4,859.00","4,937.40","4,806.55","4,823.45","4,911.65","4,916.85","4,896.37","5,873.35","4,111.00","81,995","40,14,77,912.80","14,072"
"13-Aug-2024","EQ","4,879.00","4,879.00","4,803.00","4,849.10","4,828.50","4,823.45","4,838.48","5,873.35","4,111.00","49,821","24,10,57,969.95","8,806"
"12-Aug-2024","EQ","4,875.00","4,893.60","4,814.00","4,896.90","4,860.00","4,849.10","4,856.51","5,873.35","4,111.00","60,658","29,45,86,299.95","9,030"
"09-Aug-2024","EQ","4,950.00","5,062.80","4,887.75","4,896.35","4,909.00","4,896.90","4,979.99","5,873.35","4,111.00","85,703","42,68,00,379.45","14,893"
"08-Aug-2024","EQ","4,960.00","4,961.00","4,864.85","4,962.00","4,886.05","4,896.35","4,904.26","5,873.35","4,111.00","1,05,542","51,76,05,488.80","14,766"
"07-Aug-2024","EQ","4,984.00","4,990.00","4,888.00","4,927.75","4,972.60","4,962.00","4,945.93","5,873.35","4,111.00","90,135","44,58,01,329.30","14,677"
"06-Aug-2024","EQ","4,875.00","4,970.00","4,875.00","4,873.50","4,928.00","4,927.75","4,925.50","5,873.35","4,111.00","1,66,715","82,11,54,286.00","27,425"
"05-Aug-2024","EQ","4,930.00","5,026.00","4,763.00","5,100.60","4,872.00","4,873.50","4,872.67","5,873.35","4,111.00","2,13,284","1,03,92,61,749.75","34,290"
"02-Aug-2024","EQ","5,100.00","5,212.45","5,019.85","5,122.50","5,109.40","5,100.60","5,119.17","5,873.35","4,023.20","1,29,670","66,38,03,090.55","21,819"
"01-Aug-2024","EQ","5,260.65","5,267.85","5,105.40","5,215.95","5,140.10","5,122.50","5,182.54","5,873.35","4,023.20","95,576","49,53,26,220.70","12,747"
"31-Jul-2024","EQ","5,199.25","5,234.50","5,162.65","5,199.25","5,219.00","5,215.95","5,209.36","5,873.35","4,023.20","1,65,111","86,01,22,607.80","18,921"
"30-Jul-2024","EQ","5,224.00","5,224.00","5,150.05","5,200.50","5,208.00","5,199.25","5,188.16","5,873.35","4,023.20","65,654","34,06,23,409.35","9,882"
"29-Jul-2024","EQ","5,230.00","5,259.45","5,148.00","5,214.05","5,205.60","5,200.50","5,200.66","5,873.35","4,023.20","80,552","41,89,23,321.55","15,296"
