"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","535.00","535.60","498.80","523.25","505.70","508.30","513.11","535.60","270.00","29,708","1,52,43,547.50","1,683"
"23-Aug-2024","EQ","525.00","530.00","504.10","508.50","526.00","523.25","524.42","530.00","270.00","61,515","3,22,59,417.60","1,502"
"22-Aug-2024","EQ","501.70","510.05","498.00","501.65","505.00","508.50","504.67","523.00","270.00","40,264","2,03,19,917.70","1,236"
"21-Aug-2024","EQ","523.00","523.00","493.00","505.55","504.00","501.65","503.03","523.00","270.00","15,480","77,86,938.50","1,159"
"20-Aug-2024","EQ","496.50","516.90","491.10","494.55","509.00","505.55","505.48","516.90","270.00","41,619","2,10,37,724.60","1,927"
"19-Aug-2024","EQ","490.00","496.95","481.90","473.30","495.50","494.55","495.59","496.95","270.00","57,814","2,86,52,225.65","1,377"
"16-Aug-2024","EQ","450.00","473.30","446.70","450.80","473.30","473.30","465.75","495.40","270.00","13,477","62,76,962.75","441"
"14-Aug-2024","EQ","460.60","471.60","448.15","458.15","450.70","450.80","457.68","495.40","270.00","4,103","18,77,862.75","267"
"13-Aug-2024","EQ","475.90","485.00","455.10","473.45","458.05","458.15","467.09","495.40","270.00","22,153","1,03,47,444.45","812"
"12-Aug-2024","EQ","489.80","489.80","471.50","480.45","472.00","473.45","479.79","495.40","270.00","23,519","1,12,84,251.25","819"
"09-Aug-2024","EQ","489.00","494.90","474.00","471.35","475.00","480.45","489.29","495.40","270.00","78,824","3,85,68,111.95","1,226"
"08-Aug-2024","EQ","458.95","471.35","452.00","448.95","471.35","471.35","468.31","495.40","270.00","13,949","65,32,396.65","418"
"07-Aug-2024","EQ","448.00","459.00","441.15","438.70","452.00","448.95","450.54","495.40","270.00","18,331","82,58,930.50","669"
"06-Aug-2024","EQ","436.85","445.00","436.85","439.05","438.20","438.70","440.99","495.40","270.00","12,223","53,90,176.85","487"
"05-Aug-2024","EQ","463.95","463.95","439.05","462.15","439.05","439.05","444.00","495.40","270.00","21,915","97,30,322.95","857"
"02-Aug-2024","EQ","482.00","495.40","458.05","478.35","463.95","462.15","476.01","495.40","270.00","43,515","2,07,13,625.95","1,888"
"01-Aug-2024","EQ","461.30","479.55","453.00","456.75","479.55","478.35","472.10","479.55","270.00","53,510","2,52,62,144.80","2,405"
"31-Jul-2024","EQ","435.50","457.95","435.50","436.15","457.95","456.75","452.11","475.00","270.00","42,072","1,90,21,101.80","1,609"
"30-Jul-2024","EQ","435.00","442.95","426.75","430.65","436.00","436.15","434.14","475.00","270.00","13,184","57,23,732.10","582"
"29-Jul-2024","EQ","425.00","440.00","409.10","429.10","432.00","430.65","426.31","475.00","270.00","14,402","61,39,718.20","751"
