"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","2,152.00","2,168.80","2,069.00","2,140.75","2,089.00","2,088.50","2,093.62","2,747.85","1,600.00","1,90,152","39,81,05,902.80","24,218"
"23-Aug-2024","EQ","2,171.65","2,175.00","2,123.85","2,171.25","2,133.00","2,140.75","2,148.25","2,747.85","1,600.00","78,374","16,83,66,601.05","10,124"
"22-Aug-2024","EQ","2,176.65","2,198.35","2,164.05","2,165.45","2,169.00","2,171.25","2,179.98","2,747.85","1,600.00","59,087","12,88,08,479.40","9,957"
"21-Aug-2024","EQ","2,200.00","2,238.00","2,163.00","2,194.90","2,164.00","2,165.45","2,182.27","2,747.85","1,600.00","1,08,053","23,58,00,333.70","17,421"
"20-Aug-2024","EQ","2,285.00","2,285.00","2,185.00","2,262.40","2,196.00","2,194.90","2,210.67","2,747.85","1,600.00","1,03,197","22,81,34,686.20","18,169"
"19-Aug-2024","EQ","2,245.00","2,290.00","2,222.00","2,246.55","2,263.00","2,262.40","2,256.57","2,747.85","1,600.00","91,467","20,64,01,603.65","15,121"
"16-Aug-2024","EQ","2,131.00","2,279.00","2,131.00","2,112.95","2,249.00","2,246.55","2,220.89","2,747.85","1,600.00","4,79,505","1,06,49,30,204.30","53,643"
"14-Aug-2024","EQ","2,196.70","2,215.25","2,091.25","2,195.90","2,115.00","2,112.95","2,127.67","2,747.85","1,600.00","2,01,211","42,81,10,024.40","27,345"
"13-Aug-2024","EQ","2,318.65","2,318.65","2,183.95","2,317.90","2,196.70","2,195.90","2,247.35","2,747.85","1,600.00","1,45,282","32,64,99,449.20","21,502"
"12-Aug-2024","EQ","2,210.00","2,390.00","2,182.55","2,225.55","2,309.00","2,317.90","2,324.96","2,747.85","1,600.00","5,41,065","1,25,79,56,207.65","66,220"
"09-Aug-2024","EQ","2,229.70","2,262.00","2,177.00","2,181.70","2,228.00","2,225.55","2,212.87","2,747.85","1,564.05","87,153","19,28,57,855.65","11,203"
"08-Aug-2024","EQ","2,211.00","2,222.45","2,175.00","2,209.55","2,176.10","2,181.70","2,194.09","2,747.85","1,564.05","54,096","11,86,91,605.65","10,356"
"07-Aug-2024","EQ","2,213.70","2,256.10","2,154.10","2,138.00","2,213.00","2,209.55","2,210.61","2,747.85","1,564.05","95,247","21,05,53,927.50","16,214"
"06-Aug-2024","EQ","2,208.70","2,238.40","2,126.15","2,154.85","2,149.65","2,138.00","2,192.12","2,747.85","1,564.05","92,184","20,20,78,137.90","15,371"
"05-Aug-2024","EQ","2,210.00","2,244.10","2,146.00","2,276.35","2,159.95","2,154.85","2,182.31","2,747.85","1,564.05","1,43,556","31,32,83,561.10","21,157"
"02-Aug-2024","EQ","2,275.00","2,304.90","2,270.00","2,304.85","2,272.50","2,276.35","2,282.49","2,747.85","1,475.15","73,770","16,83,79,005.20","14,301"
"01-Aug-2024","EQ","2,406.20","2,406.20","2,295.30","2,379.70","2,306.00","2,304.85","2,327.08","2,747.85","1,475.15","1,85,251","43,10,93,880.45","24,468"
"31-Jul-2024","EQ","2,396.30","2,430.00","2,372.00","2,395.15","2,379.00","2,379.70","2,395.67","2,747.85","1,475.15","78,504","18,80,69,856.25","11,046"
"30-Jul-2024","EQ","2,362.05","2,502.00","2,362.05","2,358.10","2,386.00","2,395.15","2,424.97","2,747.85","1,475.15","2,47,933","60,12,30,835.35","35,723"
"29-Jul-2024","EQ","2,413.45","2,431.15","2,350.00","2,399.45","2,359.00","2,358.10","2,375.64","2,747.85","1,475.15","82,080","19,49,92,783.55","11,509"
