"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","229.90","240.00","229.01","226.74","234.70","234.65","236.08","240.00","97.45","54,40,241","1,28,43,08,227.70","82,844"
"23-Aug-2024","EQ","230.08","230.60","225.68","230.08","227.00","226.74","227.61","235.00","97.45","29,15,296","66,35,64,412.85","33,299"
"22-Aug-2024","EQ","221.20","235.00","219.79","219.79","229.50","230.08","229.41","235.00","97.45","78,97,053","1,81,16,59,151.47","79,083"
"21-Aug-2024","EQ","220.57","224.90","218.36","220.57","219.79","219.79","221.73","224.90","97.45","28,67,599","63,58,46,134.02","38,578"
"20-Aug-2024","EQ","222.39","224.00","215.45","220.14","220.00","220.57","220.27","224.50","97.45","45,20,588","99,57,39,807.81","54,015"
"19-Aug-2024","EQ","210.40","224.50","209.61","209.01","221.45","220.14","218.62","224.50","97.45","83,24,996","1,82,00,23,113.76","1,02,422"
"16-Aug-2024","EQ","215.10","219.50","207.33","214.33","209.40","209.01","212.02","219.50","97.45","56,86,433","1,20,56,44,201.64","79,342"
"14-Aug-2024","EQ","200.00","217.47","196.51","188.05","212.80","214.33","209.96","217.47","97.45","1,95,70,927","4,10,90,29,436.33","1,76,789"
"13-Aug-2024","EQ","197.50","198.45","186.60","196.29","189.00","188.05","192.26","216.48","97.45","13,25,591","25,48,54,091.93","27,439"
"12-Aug-2024","EQ","194.90","198.29","191.46","195.02","196.00","196.29","195.62","216.48","97.45","8,81,434","17,24,22,594.35","20,348"
"09-Aug-2024","EQ","199.30","202.14","193.73","197.35","195.00","195.02","197.46","216.48","97.45","9,40,673","18,57,49,899.28","19,417"
"08-Aug-2024","EQ","198.00","203.00","196.41","198.55","197.50","197.35","199.98","216.48","97.45","12,41,922","24,83,56,691.17","25,786"
"07-Aug-2024","EQ","193.90","199.45","191.60","189.30","198.50","198.55","195.66","216.48","97.45","10,42,950","20,40,64,400.58","24,740"
"06-Aug-2024","EQ","190.00","200.54","187.33","192.71","191.44","189.30","194.19","216.48","97.45","20,04,609","38,92,75,304.63","36,389"
"05-Aug-2024","EQ","200.40","202.60","191.30","205.47","192.56","192.71","196.76","216.48","97.45","22,97,787","45,21,02,474.30","44,322"
"02-Aug-2024","EQ","203.75","211.00","198.51","205.62","205.16","205.47","206.21","216.48","97.45","20,56,993","42,41,74,538.55","39,519"
"01-Aug-2024","EQ","212.49","216.48","204.28","210.98","206.00","205.62","211.03","216.48","97.45","19,09,163","40,28,89,914.47","33,307"
"31-Jul-2024","EQ","206.55","212.98","203.05","204.86","212.00","210.98","209.07","212.98","97.45","24,38,324","50,97,83,562.01","36,210"
"30-Jul-2024","EQ","202.05","211.99","201.54","201.85","204.20","204.86","206.93","211.99","97.45","27,12,726","56,13,32,790.88","45,838"
"29-Jul-2024","EQ","203.00","206.51","200.00","200.32","201.50","201.85","202.67","211.70","97.45","17,59,348","35,65,58,653.69","29,635"
