"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","661.25","690.50","661.00","644.95","687.00","684.35","678.27","690.50","242.75","3,10,790","21,07,98,549.95","16,417"
"23-Aug-2024","EQ","639.95","653.00","627.00","636.50","645.00","644.95","641.87","653.00","242.75","2,17,827","13,98,16,065.40","12,022"
"22-Aug-2024","EQ","624.80","648.20","624.80","624.05","639.00","636.50","638.85","648.20","242.75","1,75,364","11,20,30,780.25","12,947"
"21-Aug-2024","EQ","595.80","627.60","591.45","594.55","623.10","624.05","615.81","634.50","242.75","1,70,214","10,48,18,799.70","12,400"
"20-Aug-2024","EQ","620.40","634.50","590.00","613.00","597.50","594.55","609.19","634.50","242.75","2,44,401","14,88,85,601.90","15,170"
"19-Aug-2024","EQ","575.10","619.00","575.10","570.05","619.00","613.00","602.70","619.00","242.75","3,52,926","21,27,07,510.90","18,277"
"16-Aug-2024","EQ","578.80","584.00","558.60","561.95","574.95","570.05","571.00","599.80","242.75","1,48,792","8,49,60,087.75","12,089"
"14-Aug-2024","EQ","583.80","586.80","556.00","589.85","569.00","561.95","570.76","599.80","242.75","2,38,790","13,62,92,484.25","14,900"
"13-Aug-2024","EQ","537.20","599.80","537.00","536.80","583.80","589.85","577.91","599.80","242.75","6,89,042","39,82,07,112.35","28,891"
"12-Aug-2024","EQ","523.00","549.25","516.00","530.75","536.00","536.80","536.00","588.00","242.75","1,89,495","10,15,68,735.05","15,127"
"09-Aug-2024","EQ","524.90","535.70","517.30","523.15","531.95","530.75","526.07","588.00","242.75","1,85,907","9,78,00,169.30","11,171"
"08-Aug-2024","EQ","531.30","551.25","520.00","527.60","522.55","523.15","537.46","588.00","242.75","2,70,563","14,54,17,695.20","18,434"
"07-Aug-2024","EQ","533.00","562.50","525.00","525.55","526.00","527.60","540.38","588.00","242.75","1,78,480","9,64,46,210.35","14,770"
"06-Aug-2024","EQ","515.00","540.00","515.00","508.35","526.15","525.55","530.19","588.00","242.75","1,53,513","8,13,91,573.05","8,810"
"05-Aug-2024","EQ","521.05","535.00","494.55","549.45","508.75","508.35","516.48","588.00","242.75","3,05,615","15,78,42,622.50","21,206"
"02-Aug-2024","EQ","553.80","588.00","541.40","554.35","548.00","549.45","559.72","588.00","242.75","92,338","5,16,83,173.80","7,862"
"01-Aug-2024","EQ","546.80","562.40","540.90","546.90","552.10","554.35","551.46","580.80","242.75","52,255","2,88,16,635.70","4,807"
"31-Jul-2024","EQ","574.00","574.05","540.00","564.80","544.10","546.90","555.85","580.80","242.75","64,699","3,59,62,969.30","5,112"
"30-Jul-2024","EQ","565.35","568.00","560.05","565.05","563.00","564.80","564.68","580.80","242.75","63,755","3,60,01,479.50","4,596"
"29-Jul-2024","EQ","551.00","573.20","550.20","547.15","566.90","565.05","562.81","580.80","242.75","1,00,033","5,62,99,124.90","5,758"
