"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","128.60","130.34","126.75","129.77","126.97","127.22","128.04","166.40","108.10","60,534","77,51,013.63","2,291"
"23-Aug-2024","EQ","130.95","131.60","129.11","130.92","129.88","129.77","130.32","166.40","108.10","35,131","45,78,347.86","1,287"
"22-Aug-2024","EQ","128.85","131.95","128.37","128.80","131.45","130.92","130.79","166.40","108.10","55,168","72,15,250.69","2,042"
"21-Aug-2024","EQ","125.90","130.09","125.90","127.05","128.55","128.80","129.05","166.40","108.10","51,220","66,10,196.01","2,004"
"20-Aug-2024","EQ","126.62","128.44","126.50","126.62","127.00","127.05","127.26","166.40","108.10","22,035","28,04,265.47","901"
"19-Aug-2024","EQ","126.00","127.00","125.07","126.39","127.00","126.62","126.20","166.40","108.10","65,755","82,98,026.89","1,693"
"16-Aug-2024","EQ","123.75","128.00","123.31","123.70","126.50","126.39","125.53","166.40","108.10","73,904","92,77,449.71","1,973"
"14-Aug-2024","EQ","128.80","129.10","122.85","128.16","124.95","123.70","124.39","166.40","108.10","80,663","1,00,33,913.94","2,764"
"13-Aug-2024","EQ","128.75","129.99","127.70","128.69","129.18","128.16","128.55","166.40","108.10","21,202","27,25,466.50","948"
"12-Aug-2024","EQ","128.37","130.00","127.30","128.51","128.80","128.69","128.76","166.40","108.10","27,034","34,80,783.55","1,548"
"09-Aug-2024","EQ","131.10","132.13","128.12","131.08","128.20","128.51","129.31","166.40","108.10","35,742","46,21,855.35","1,620"
"08-Aug-2024","EQ","129.72","133.60","129.42","129.73","133.20","131.08","131.73","166.40","108.10","56,903","74,95,795.26","4,498"
"07-Aug-2024","EQ","126.90","130.00","126.10","125.38","130.00","129.73","128.19","166.40","108.10","46,812","60,00,904.22","2,406"
"06-Aug-2024","EQ","125.30","129.29","125.00","126.68","125.00","125.38","127.09","166.40","108.10","48,996","62,26,891.56","2,682"
"05-Aug-2024","EQ","132.55","132.92","125.00","133.28","126.01","126.68","128.56","166.40","108.10","98,998","1,27,26,900.17","3,864"
"02-Aug-2024","EQ","132.00","135.64","130.92","133.24","131.24","133.28","133.08","166.40","108.10","1,28,053","1,70,41,896.49","5,053"
"01-Aug-2024","EQ","137.03","137.89","132.01","137.03","133.00","133.24","134.70","166.40","108.10","73,443","98,92,740.10","3,543"
"31-Jul-2024","EQ","138.95","141.27","135.80","137.56","136.90","137.03","137.70","166.40","108.10","1,22,975","1,69,34,009.83","4,734"
"30-Jul-2024","EQ","135.55","143.83","135.11","134.99","138.25","137.56","139.31","166.40","108.10","2,17,667","3,03,24,080.81","7,218"
"29-Jul-2024","EQ","131.00","138.30","130.25","129.43","137.00","134.99","133.42","166.40","108.10","1,47,629","1,96,96,923.83","4,279"
