"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","2,082.00","2,110.95","2,065.05","2,065.25","2,100.00","2,102.25","2,096.73","2,169.70","1,316.20","84,876","17,79,62,164.55","10,595"
"23-Aug-2024","EQ","2,110.00","2,115.60","2,056.00","2,099.75","2,061.00","2,065.25","2,075.68","2,169.70","1,296.00","1,29,333","26,84,53,288.15","13,800"
"22-Aug-2024","EQ","2,095.85","2,111.45","2,083.30","2,095.85","2,097.05","2,099.75","2,099.15","2,169.70","1,296.00","85,545","17,95,71,467.55","10,254"
"21-Aug-2024","EQ","2,085.00","2,123.95","2,075.00","2,091.80","2,096.80","2,095.85","2,101.12","2,169.70","1,296.00","94,127","19,77,71,955.75","11,784"
"20-Aug-2024","EQ","2,120.50","2,133.45","2,064.65","2,119.95","2,089.05","2,091.80","2,092.49","2,169.70","1,296.00","1,26,479","26,46,55,983.55","13,875"
"19-Aug-2024","EQ","2,076.00","2,169.70","2,076.00","2,071.90","2,125.65","2,119.95","2,135.88","2,169.70","1,296.00","3,84,198","82,06,02,702.35","31,157"
"16-Aug-2024","EQ","2,007.15","2,077.95","1,984.20","1,981.35","2,074.00","2,071.90","2,054.99","2,150.25","1,296.00","2,27,808","46,81,43,014.50","17,176"
"14-Aug-2024","EQ","2,008.00","2,056.95","1,976.10","2,010.55","1,985.85","1,981.35","2,008.56","2,150.25","1,296.00","97,659","19,61,54,278.75","11,617"
"13-Aug-2024","EQ","2,040.35","2,067.35","2,004.05","2,038.65","2,008.30","2,010.55","2,034.04","2,150.25","1,296.00","1,56,132","31,75,77,986.80","23,948"
"12-Aug-2024","EQ","2,069.05","2,137.80","2,004.65","2,058.00","2,036.00","2,038.65","2,063.12","2,150.25","1,296.00","2,36,762","48,84,68,584.85","22,591"
"09-Aug-2024","EQ","2,075.00","2,098.00","2,050.05","2,065.70","2,055.00","2,058.00","2,073.46","2,150.25","1,296.00","75,562","15,66,75,065.90","9,014"
"08-Aug-2024","EQ","2,104.35","2,126.95","2,053.35","2,104.30","2,058.00","2,065.70","2,088.99","2,150.25","1,296.00","1,58,730","33,15,85,028.90","13,604"
"07-Aug-2024","EQ","2,050.10","2,121.25","2,050.10","2,040.00","2,107.90","2,104.30","2,099.98","2,150.25","1,296.00","2,30,158","48,33,26,373.10","15,824"
"06-Aug-2024","EQ","2,057.30","2,106.00","2,033.65","2,053.75","2,048.15","2,040.00","2,074.13","2,150.25","1,296.00","61,157","12,68,47,588.90","6,503"
"05-Aug-2024","EQ","2,026.00","2,139.90","1,965.10","2,083.85","2,058.95","2,053.75","2,053.05","2,150.25","1,296.00","1,30,037","26,69,72,870.60","12,207"
"02-Aug-2024","EQ","2,078.00","2,110.00","2,054.00","2,085.05","2,076.00","2,083.85","2,086.12","2,150.25","1,296.00","73,745","15,38,40,793.85","8,570"
"01-Aug-2024","EQ","2,118.90","2,127.15","2,071.05","2,118.90","2,085.00","2,085.05","2,089.01","2,150.25","1,296.00","76,576","15,99,67,745.05","7,382"
"31-Jul-2024","EQ","2,101.00","2,139.70","2,101.00","2,100.10","2,110.00","2,118.90","2,124.93","2,150.25","1,296.00","1,33,923","28,45,77,525.25","11,905"
"30-Jul-2024","EQ","2,109.55","2,129.70","2,091.70","2,109.55","2,100.05","2,100.10","2,107.77","2,150.25","1,296.00","53,281","11,23,03,925.50","6,074"
"29-Jul-2024","EQ","2,139.00","2,150.25","2,094.25","2,121.40","2,106.75","2,109.55","2,115.52","2,150.25","1,296.00","66,373","14,04,13,143.20","7,229"
