"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","76.10","78.99","76.10","77.19","77.47","77.74","77.93","99.94","31.95","5,38,508","4,19,66,664.05","4,094"
"23-Aug-2024","BE","75.82","78.90","75.75","75.82","76.10","77.19","77.47","99.94","31.95","3,79,285","2,93,84,792.18","3,140"
"22-Aug-2024","BE","78.20","78.95","75.60","76.96","75.75","75.82","76.67","99.94","31.95","3,61,205","2,76,94,515.91","4,834"
"21-Aug-2024","BE","78.00","78.00","76.00","76.76","76.95","76.96","77.08","99.94","31.95","2,56,300","1,97,56,143.09","2,903"
"20-Aug-2024","BE","78.00","79.00","75.90","77.99","76.60","76.76","76.92","99.94","31.95","4,27,860","3,29,11,625.69","4,957"
"19-Aug-2024","BE","81.00","81.00","76.98","80.33","78.47","77.99","78.50","99.94","31.95","4,87,840","3,82,95,330.58","5,640"
"16-Aug-2024","BE","81.40","82.90","78.91","80.91","80.20","80.33","80.96","99.94","31.95","6,00,385","4,86,06,993.25","5,684"
"14-Aug-2024","BE","79.00","80.95","77.50","77.10","80.95","80.91","80.56","99.94","31.95","6,62,757","5,33,93,562.04","4,475"
"13-Aug-2024","BE","75.10","77.10","75.00","73.43","77.10","77.10","77.03","99.94","31.95","5,92,988","4,56,75,282.85","3,009"
"12-Aug-2024","BE","75.00","75.00","72.01","75.41","74.00","73.43","73.85","99.94","31.95","4,06,354","3,00,08,941.59","4,653"
"09-Aug-2024","BE","78.67","78.67","75.00","76.09","75.50","75.41","76.39","99.94","31.95","3,48,390","2,66,14,782.51","3,705"
"08-Aug-2024","BE","76.88","78.80","75.50","76.87","76.85","76.09","77.35","99.94","31.95","3,25,591","2,51,84,170.23","3,379"
"07-Aug-2024","BE","75.50","79.90","75.50","76.97","77.00","76.87","76.99","99.94","31.95","5,56,589","4,28,50,962.22","5,006"
"06-Aug-2024","BE","78.35","82.50","76.55","80.46","77.60","76.97","78.87","99.94","31.95","5,41,687","4,27,23,688.19","6,548"
"05-Aug-2024","BE","78.00","84.50","77.02","81.08","79.20","80.46","79.55","99.94","31.95","7,03,487","5,59,61,234.58","7,396"
"02-Aug-2024","BE","80.10","83.80","80.00","82.59","81.90","81.08","80.87","99.94","31.95","4,65,297","3,76,27,874.74","5,238"
"01-Aug-2024","BE","85.15","86.70","80.88","85.13","82.79","82.59","83.09","99.94","31.95","7,08,163","5,88,42,354.02","6,982"
"31-Jul-2024","BE","81.50","85.15","81.30","81.10","85.15","85.13","84.57","99.94","31.95","10,73,823","9,08,11,275.75","6,105"
"30-Jul-2024","BE","82.59","84.95","80.80","83.78","81.65","81.10","82.57","99.94","31.95","9,00,000","7,43,17,294.24","6,053"
"29-Jul-2024","BE","86.00","86.40","82.00","82.93","84.00","83.78","84.09","99.94","31.95","5,03,891","4,23,72,476.85","4,283"
