"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","10.87","10.88","10.65","10.69","10.79","10.74","10.74","11.98","9.11","1,59,206","17,10,375.49","1,837"
"23-Aug-2024","EQ","10.74","10.88","10.68","10.74","10.72","10.69","10.74","11.98","9.11","2,05,466","22,06,055.00","1,716"
"22-Aug-2024","EQ","10.83","10.83","10.69","10.71","10.75","10.74","10.74","11.98","9.11","4,34,762","46,69,926.24","1,991"
"21-Aug-2024","EQ","10.66","10.86","10.55","10.65","10.75","10.71","10.67","11.98","9.11","2,81,721","30,06,273.37","1,809"
"20-Aug-2024","EQ","10.80","11.17","10.50","10.56","10.67","10.65","10.62","11.98","9.11","2,59,943","27,60,808.45","2,519"
"19-Aug-2024","EQ","10.73","10.76","10.49","10.49","10.59","10.56","10.57","11.98","9.11","3,33,151","35,19,759.20","2,230"
"16-Aug-2024","EQ","10.76","10.76","10.35","10.33","10.54","10.49","10.45","11.98","9.11","1,59,725","16,68,401.55","1,912"
"14-Aug-2024","EQ","10.75","10.75","10.26","10.35","10.40","10.33","10.35","11.98","9.11","1,61,720","16,73,296.35","1,940"
"13-Aug-2024","EQ","10.91","10.91","10.30","10.46","10.53","10.35","10.43","11.98","9.11","1,04,797","10,93,417.59","568"
"12-Aug-2024","EQ","10.87","10.87","10.18","10.47","10.55","10.46","10.42","11.98","9.11","1,44,763","15,08,123.17","743"
"09-Aug-2024","EQ","10.59","10.60","10.35","10.38","10.55","10.47","10.46","11.98","9.11","80,788","8,45,126.93","396"
"08-Aug-2024","EQ","10.60","10.60","10.13","10.39","10.35","10.38","10.35","11.98","9.11","48,950","5,06,488.82","488"
"07-Aug-2024","EQ","10.38","10.57","10.25","10.15","10.44","10.39","10.37","11.98","9.11","2,80,979","29,13,874.71","442"
"06-Aug-2024","EQ","10.84","10.84","10.10","10.37","10.38","10.15","10.25","11.98","9.11","3,52,453","36,10,949.75","1,244"
"05-Aug-2024","EQ","10.90","10.90","9.11","10.60","10.45","10.37","10.31","11.98","9.11","5,03,896","51,96,458.39","2,573"
"02-Aug-2024","EQ","10.87","10.88","10.43","10.71","10.69","10.60","10.61","11.98","10.00","2,13,728","22,68,472.08","759"
"01-Aug-2024","EQ","10.90","10.91","10.65","10.81","10.80","10.71","10.75","11.98","10.00","1,58,002","16,97,944.10","828"
"31-Jul-2024","EQ","10.75","10.85","10.71","10.75","10.85","10.81","10.83","11.98","10.00","1,32,356","14,32,950.70","370"
"30-Jul-2024","EQ","10.82","10.82","10.68","10.68","10.76","10.75","10.75","11.98","10.00","1,42,508","15,31,921.75","509"
"29-Jul-2024","EQ","10.85","10.85","10.48","10.53","10.72","10.68","10.64","11.98","10.00","1,72,560","18,35,312.09","672"
