"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","628.00","652.00","611.50","631.15","632.00","632.30","632.91","652.00","309.00","54,36,179","3,44,05,93,688.95","1,36,648"
"23-Aug-2024","EQ","538.70","645.65","538.05","538.05","645.65","631.15","600.36","645.65","306.45","1,61,06,676","9,66,98,04,270.85","2,26,528"
"22-Aug-2024","EQ","532.95","549.40","525.40","529.20","537.15","538.05","539.94","549.40","306.45","5,08,234","27,44,17,811.15","23,006"
"21-Aug-2024","EQ","526.00","534.00","520.75","524.15","529.80","529.20","528.31","536.00","306.45","3,47,688","18,36,88,757.60","13,412"
"20-Aug-2024","EQ","523.45","527.00","517.10","519.80","521.25","524.15","523.47","536.00","306.45","2,02,415","10,59,58,431.00","13,985"
"19-Aug-2024","EQ","517.95","527.95","516.65","517.45","520.00","519.80","522.36","536.00","306.45","1,84,079","9,61,54,657.35","12,512"
"16-Aug-2024","EQ","514.40","527.00","513.15","510.85","515.10","517.45","519.02","536.00","292.00","9,50,206","49,31,73,649.85","20,689"
"14-Aug-2024","EQ","515.00","515.05","509.75","512.95","514.00","510.85","511.32","536.00","292.00","71,202","3,64,06,674.55","6,268"
"13-Aug-2024","EQ","521.10","529.45","510.00","521.45","518.90","512.95","519.78","536.00","292.00","1,54,949","8,05,39,363.05","8,948"
"12-Aug-2024","EQ","511.00","524.10","508.05","510.60","522.95","521.45","519.63","536.00","292.00","1,95,425","10,15,47,881.80","13,158"
"09-Aug-2024","EQ","525.00","527.00","508.55","520.15","512.70","510.60","513.94","536.00","280.00","3,83,261","19,69,73,102.85","17,244"
"08-Aug-2024","EQ","522.40","536.00","516.00","516.90","522.45","520.15","526.08","536.00","280.00","9,80,967","51,60,68,558.50","41,560"
"07-Aug-2024","EQ","518.45","533.00","512.25","512.60","516.30","516.90","518.59","533.00","280.00","11,02,830","57,19,16,247.40","29,451"
"06-Aug-2024","EQ","515.00","521.95","501.80","510.20","515.55","512.60","511.02","526.70","280.00","2,35,879","12,05,39,915.05","13,834"
"05-Aug-2024","EQ","513.00","522.00","501.10","522.95","514.70","510.20","514.25","526.70","280.00","4,10,719","21,12,13,305.75","22,775"
"02-Aug-2024","EQ","513.05","526.70","506.45","514.95","523.00","522.95","517.39","526.70","280.00","9,86,136","51,02,17,079.35","30,535"
"01-Aug-2024","EQ","491.00","522.00","488.45","493.30","514.00","514.95","506.82","522.00","280.00","13,75,958","69,73,68,756.80","46,343"
"31-Jul-2024","EQ","490.85","501.00","488.00","487.90","494.50","493.30","494.47","512.40","280.00","11,09,515","54,86,26,395.95","29,826"
"30-Jul-2024","EQ","483.05","490.90","480.05","482.95","490.25","487.90","487.68","512.40","280.00","2,16,408","10,55,38,914.00","9,771"
"29-Jul-2024","EQ","487.50","496.90","481.60","484.60","483.75","482.95","488.49","512.40","280.00","2,78,303","13,59,46,949.65","14,980"
