"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","367.70","368.90","350.10","365.25","364.35","362.10","359.36","460.00","160.00","39,647","1,42,47,586.80","1,087"
"23-Aug-2024","BE","370.80","370.80","360.00","371.10","365.00","365.25","365.39","460.00","160.00","31,717","1,15,88,953.90","893"
"22-Aug-2024","BE","384.50","389.00","365.30","384.50","373.90","371.10","369.80","460.00","160.00","81,544","3,01,55,226.65","1,754"
"21-Aug-2024","BE","380.50","388.90","374.40","381.00","382.45","384.50","380.76","460.00","160.00","21,900","83,38,719.45","730"
"20-Aug-2024","BE","385.00","392.00","367.05","383.60","380.70","381.00","380.64","460.00","160.00","32,921","1,25,31,034.45","858"
"19-Aug-2024","BE","399.50","399.50","380.00","389.50","387.85","383.60","388.35","460.00","160.00","23,240","90,25,312.00","782"
"16-Aug-2024","BE","401.00","405.80","382.00","392.10","394.00","389.50","390.79","460.00","160.00","26,051","1,01,80,523.10","772"
"14-Aug-2024","BE","399.00","408.90","380.05","389.85","397.05","392.10","396.45","460.00","160.00","41,026","1,62,64,898.65","774"
"13-Aug-2024","EQ","416.00","429.50","385.90","412.75","395.00","389.85","402.45","460.00","160.00","1,43,811","5,78,76,378.35","5,538"
"12-Aug-2024","EQ","385.00","417.00","378.25","393.85","415.00","412.75","401.12","460.00","160.00","3,15,196","12,64,32,282.45","10,542"
"09-Aug-2024","EQ","405.20","433.35","386.15","420.35","388.00","393.85","409.20","460.00","159.10","2,49,356","10,20,36,948.95","8,848"
"08-Aug-2024","EQ","435.00","435.00","417.00","431.35","419.80","420.35","424.91","460.00","159.10","1,03,316","4,39,00,194.40","3,817"
"07-Aug-2024","EQ","428.00","435.10","408.80","414.00","433.00","431.35","423.67","460.00","159.10","1,56,480","6,62,95,330.40","5,644"
"06-Aug-2024","EQ","423.95","438.95","410.35","409.55","415.10","414.00","425.79","460.00","159.10","2,06,883","8,80,88,090.25","7,402"
"05-Aug-2024","EQ","420.90","434.35","405.00","438.55","412.80","409.55","417.81","460.00","159.10","3,08,838","12,90,35,765.55","9,353"
"02-Aug-2024","EQ","432.00","450.00","423.00","442.75","439.85","438.55","438.14","460.00","158.00","1,00,204","4,39,03,415.55","3,845"
"01-Aug-2024","EQ","455.00","458.00","438.00","446.45","443.00","442.75","447.44","460.00","158.00","1,25,431","5,61,22,288.85","4,233"
"31-Jul-2024","EQ","425.00","460.00","421.55","422.85","448.85","446.45","445.09","460.00","158.00","3,71,348","16,52,84,629.50","10,053"
"30-Jul-2024","EQ","437.10","439.90","418.10","430.70","421.00","422.85","426.12","441.90","158.00","1,63,232","6,95,56,857.35","5,174"
"29-Jul-2024","EQ","438.40","441.90","416.15","421.10","430.00","430.70","430.93","441.90","158.00","3,73,712","16,10,43,906.80","9,821"
