"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","32.80","32.99","30.42","32.03","30.42","30.42","31.34","32.99","15.50","48,02,634","15,05,17,439.81","7,801"
"23-Aug-2024","EQ","31.02","32.03","29.06","30.51","32.03","32.03","31.07","32.03","15.50","1,23,70,854","38,43,99,567.35","17,122"
"22-Aug-2024","EQ","29.85","30.51","28.36","29.06","30.51","30.51","29.76","30.51","15.50","80,74,370","24,02,54,777.18","12,571"
"21-Aug-2024","EQ","28.05","29.06","26.50","26.42","29.06","29.06","28.45","30.45","15.50","1,58,56,954","45,11,61,392.10","21,697"
"20-Aug-2024","EQ","23.95","26.42","23.28","24.02","26.42","26.42","25.37","30.45","15.50","57,06,543","14,47,65,234.46","11,717"
"19-Aug-2024","EQ","23.29","24.50","22.05","22.98","23.80","24.02","23.60","30.45","15.50","24,55,833","5,79,63,927.07","7,008"
"16-Aug-2024","EQ","20.96","23.00","20.92","20.91","23.00","22.98","22.75","30.45","15.50","33,65,207","7,65,60,236.22","4,882"
"14-Aug-2024","EQ","22.28","23.24","20.71","21.90","20.81","20.91","21.43","30.45","15.50","8,38,132","1,79,63,232.21","3,141"
"13-Aug-2024","EQ","21.31","23.30","20.71","21.27","22.07","21.90","22.28","30.45","15.50","19,62,596","4,37,18,871.86","6,703"
"12-Aug-2024","EQ","20.69","21.40","20.25","20.91","21.30","21.27","20.88","30.45","15.50","4,05,600","84,69,373.13","1,766"
"09-Aug-2024","EQ","21.48","21.48","20.81","21.20","20.95","20.91","21.01","30.45","15.50","2,56,782","53,94,641.05","1,556"
"08-Aug-2024","EQ","22.00","22.10","21.10","21.59","21.10","21.20","21.51","30.45","15.50","4,62,477","99,49,818.70","1,677"
"07-Aug-2024","EQ","20.90","21.80","19.96","20.10","21.70","21.59","20.89","30.45","15.50","9,91,628","2,07,16,194.21","2,777"
"06-Aug-2024","EQ","20.98","21.35","19.97","20.53","20.31","20.10","20.65","30.45","15.50","5,70,467","1,17,82,781.29","1,692"
"05-Aug-2024","EQ","21.00","21.49","20.48","21.56","20.48","20.53","20.72","30.45","15.50","7,36,367","1,52,60,320.46","1,919"
"02-Aug-2024","EQ","21.94","22.73","21.44","22.11","21.70","21.56","21.91","30.45","15.50","5,86,894","1,28,61,444.48","2,014"
"01-Aug-2024","EQ","22.84","23.14","22.05","22.84","22.18","22.11","22.47","30.45","15.50","3,98,976","89,63,447.47","1,596"
"31-Jul-2024","EQ","24.00","24.30","22.75","23.88","22.83","22.84","23.20","30.45","15.50","16,63,878","3,85,97,449.96","3,441"
"30-Jul-2024","EQ","23.80","24.16","23.21","23.64","23.78","23.88","23.77","30.45","15.50","8,14,862","1,93,69,378.38","2,577"
"29-Jul-2024","EQ","23.78","24.43","23.40","23.66","23.80","23.64","23.90","30.45","15.50","12,43,437","2,97,23,515.47","3,688"
