"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","37.68","37.68","37.18","37.15","37.44","37.46","37.45","38.99","22.06","84,92,669","31,80,30,345.09","4,353"
"23-Aug-2024","EQ","37.15","37.29","36.85","37.04","37.19","37.15","37.18","38.99","21.70","11,97,663","4,45,25,590.17","3,740"
"22-Aug-2024","EQ","37.07","37.24","36.96","37.00","37.05","37.04","37.05","38.99","21.70","7,76,649","2,87,74,503.58","2,901"
"21-Aug-2024","EQ","36.90","37.07","36.88","36.87","37.02","37.00","37.01","38.99","21.70","16,10,984","5,96,24,061.27","3,004"
"20-Aug-2024","EQ","36.90","36.90","36.58","36.67","36.87","36.87","36.85","38.99","21.70","21,78,035","8,02,49,967.45","3,963"
"19-Aug-2024","EQ","37.37","37.37","36.56","36.55","36.69","36.67","36.75","38.99","21.70","10,72,299","3,94,04,058.38","4,310"
"16-Aug-2024","EQ","36.39","36.60","35.91","35.85","36.59","36.55","36.36","38.99","21.70","8,65,871","3,14,83,593.89","3,925"
"14-Aug-2024","EQ","36.19","36.40","35.58","35.94","35.90","35.85","35.84","38.99","21.70","8,04,348","2,88,28,288.12","3,949"
"13-Aug-2024","EQ","36.56","36.59","35.90","36.34","36.00","35.94","36.16","38.99","21.70","8,79,742","3,18,07,328.44","5,816"
"12-Aug-2024","EQ","36.50","36.62","36.12","36.49","36.37","36.34","36.34","38.99","21.70","8,38,188","3,04,56,419.31","4,491"
"09-Aug-2024","EQ","36.14","36.88","35.87","35.91","36.53","36.49","36.40","38.99","21.70","16,45,824","5,99,12,118.03","4,440"
"08-Aug-2024","EQ","36.04","36.30","35.74","36.04","36.10","35.91","36.00","38.99","21.70","8,72,430","3,14,09,335.16","3,401"
"07-Aug-2024","EQ","35.39","36.15","35.27","34.91","36.15","36.04","35.72","38.99","21.70","10,85,239","3,87,66,689.10","3,232"
"06-Aug-2024","EQ","35.92","36.18","34.80","35.50","34.97","34.91","35.39","38.99","21.70","21,00,565","7,43,32,274.76","6,581"
"05-Aug-2024","EQ","37.65","37.65","34.82","36.65","35.70","35.50","35.43","38.99","21.70","38,24,847","13,55,01,806.49","16,405"
"02-Aug-2024","EQ","38.55","38.55","36.51","37.45","36.98","36.65","36.81","38.99","21.70","16,72,844","6,15,71,131.98","9,822"
"01-Aug-2024","EQ","37.64","37.73","37.25","37.51","37.50","37.45","37.42","38.99","21.70","21,35,609","7,99,21,056.63","5,749"
"31-Jul-2024","EQ","37.30","37.63","37.26","37.29","37.49","37.51","37.51","38.99","21.70","9,85,414","3,69,62,877.09","3,752"
"30-Jul-2024","EQ","37.31","37.49","37.13","37.24","37.27","37.29","37.35","38.99","21.70","11,36,891","4,24,64,300.21","3,674"
"29-Jul-2024","EQ","36.74","38.00","36.21","36.70","37.25","37.24","37.35","38.99","21.70","27,96,831","10,44,57,183.12","6,611"
