"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","80.87","86.00","80.55","80.11","81.90","81.35","83.55","86.00","31.30","4,90,42,096","4,09,72,22,844.64","1,19,379"
"23-Aug-2024","EQ","79.10","82.70","79.10","78.64","80.45","80.11","80.79","82.70","31.30","8,10,72,287","6,54,98,23,045.70","1,85,615"
"22-Aug-2024","EQ","70.50","80.20","69.33","69.73","78.30","78.64","76.60","80.20","31.30","11,37,66,513","8,71,39,99,182.84","2,56,890"
"21-Aug-2024","EQ","68.70","74.95","68.38","68.07","69.75","69.73","71.97","74.95","31.30","7,00,05,843","5,03,83,88,545.60","1,84,561"
"20-Aug-2024","EQ","70.70","71.60","67.61","70.06","68.60","68.07","69.25","71.84","31.30","3,28,96,387","2,27,82,27,498.15","94,940"
"19-Aug-2024","EQ","61.50","71.84","61.26","60.85","70.20","70.06","67.92","71.84","31.30","10,29,82,045","6,99,50,35,441.17","2,50,811"
"16-Aug-2024","EQ","60.00","61.77","59.36","58.61","60.90","60.85","60.86","63.00","31.30","2,22,25,453","1,35,26,63,448.46","63,805"
"14-Aug-2024","EQ","59.00","59.40","55.50","58.42","58.66","58.61","57.38","63.00","31.30","1,73,62,563","99,62,15,547.11","67,004"
"13-Aug-2024","EQ","60.25","61.10","58.05","59.08","58.20","58.42","59.89","63.00","31.30","1,68,71,276","1,01,03,84,379.13","54,246"
"12-Aug-2024","EQ","58.50","61.89","57.07","58.16","58.99","59.08","60.04","63.00","31.30","3,33,41,907","2,00,18,39,547.80","96,987"
"09-Aug-2024","EQ","58.50","58.90","57.73","57.73","58.20","58.16","58.29","63.00","31.30","50,02,148","29,15,66,156.78","21,629"
"08-Aug-2024","EQ","60.90","61.20","57.50","60.73","57.82","57.73","58.68","63.00","31.30","1,31,75,249","77,31,33,195.02","53,163"
"07-Aug-2024","EQ","58.60","61.00","57.22","57.18","60.45","60.73","59.38","63.00","31.30","98,42,662","58,44,25,828.18","32,561"
"06-Aug-2024","EQ","60.50","61.38","56.65","59.08","57.32","57.18","59.41","63.00","31.30","91,34,533","54,26,39,637.25","35,109"
"05-Aug-2024","EQ","61.10","61.22","58.29","62.69","59.19","59.08","59.89","63.00","31.30","1,56,59,318","93,77,97,218.28","58,038"
"02-Aug-2024","EQ","59.50","63.00","58.52","59.85","62.56","62.69","61.94","63.00","29.75","2,28,45,353","1,41,50,38,080.73","73,361"
"01-Aug-2024","EQ","60.50","62.82","59.32","59.70","60.01","59.85","61.12","62.82","29.75","1,23,01,956","75,19,37,119.32","37,324"
"31-Jul-2024","EQ","61.19","62.10","59.21","60.71","59.72","59.70","60.63","62.10","29.75","68,51,638","41,54,38,157.21","25,972"
"30-Jul-2024","EQ","59.70","62.10","59.60","59.58","60.51","60.71","61.02","62.10","29.75","1,27,85,540","78,02,01,034.12","37,961"
"29-Jul-2024","EQ","59.00","61.35","58.70","58.22","59.35","59.58","59.91","61.35","29.75","1,17,41,944","70,34,35,797.85","38,474"
