"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","165.02","168.40","162.67","163.77","168.00","166.63","165.44","211.90","126.40","93,661","1,54,95,072.64","3,200"
"23-Aug-2024","EQ","165.94","167.31","163.20","165.43","164.19","163.77","164.93","211.90","126.40","61,998","1,02,25,315.70","2,174"
"22-Aug-2024","EQ","167.00","168.25","164.10","165.97","166.25","165.43","166.45","211.90","126.40","1,36,232","2,26,76,127.76","3,905"
"21-Aug-2024","EQ","165.90","169.48","164.60","165.90","165.80","165.97","167.20","211.90","126.40","1,21,161","2,02,57,920.34","4,040"
"20-Aug-2024","EQ","163.73","166.80","163.73","163.73","166.00","165.90","165.63","211.90","126.40","89,660","1,48,50,622.03","2,715"
"19-Aug-2024","EQ","162.30","166.39","162.30","162.30","164.10","163.73","164.29","211.90","126.40","71,865","1,18,06,485.17","2,594"
"16-Aug-2024","EQ","162.10","163.07","158.56","160.47","162.20","162.30","160.55","211.90","126.40","1,02,523","1,64,59,651.38","4,737"
"14-Aug-2024","EQ","164.45","164.48","158.75","163.65","160.95","160.47","160.71","211.90","126.40","89,176","1,43,31,379.10","7,195"
"13-Aug-2024","EQ","167.10","169.20","161.60","167.38","163.75","163.65","166.23","211.90","126.40","94,595","1,57,24,746.67","4,053"
"12-Aug-2024","EQ","168.54","172.65","166.36","168.73","167.80","167.38","169.52","211.90","126.40","1,88,358","3,19,30,707.30","8,520"
"09-Aug-2024","EQ","171.55","173.58","167.56","171.24","170.00","168.73","169.99","211.90","126.40","77,931","1,32,47,674.51","3,791"
"08-Aug-2024","EQ","168.50","176.99","166.39","168.60","170.60","171.24","173.44","211.90","126.40","3,90,428","6,77,15,801.96","12,133"
"07-Aug-2024","EQ","161.89","169.35","161.20","159.34","168.84","168.60","165.59","211.90","126.40","1,74,111","2,88,31,219.86","7,024"
"06-Aug-2024","EQ","164.95","167.40","156.35","162.15","157.50","159.34","163.87","211.90","126.40","1,58,825","2,60,26,514.83","6,266"
"05-Aug-2024","EQ","172.92","172.93","161.07","177.31","162.75","162.15","165.64","211.90","126.40","3,53,826","5,86,07,251.18","12,256"
"02-Aug-2024","EQ","175.15","178.77","173.25","182.22","177.92","177.31","175.85","211.90","126.40","3,67,190","6,45,70,735.23","10,069"
"01-Aug-2024","EQ","184.75","186.00","179.31","182.94","181.80","182.22","182.68","211.90","126.40","8,40,752","15,35,84,973.98","17,324"
"31-Jul-2024","EQ","167.70","184.85","165.96","165.20","183.90","182.94","179.45","211.90","126.40","38,76,294","69,56,20,116.76","63,998"
"30-Jul-2024","EQ","163.10","168.00","163.10","163.10","165.30","165.20","165.89","211.90","126.40","2,05,185","3,40,38,726.65","7,056"
"29-Jul-2024","EQ","166.00","168.61","161.84","164.42","164.00","163.10","165.40","211.90","126.40","2,29,367","3,79,37,465.73","6,589"
