"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","349.00","349.00","324.65","341.70","324.65","324.65","327.91","372.00","167.30","26,116","85,63,607.25","378"
"23-Aug-2024","BE","339.35","355.00","339.35","339.35","345.95","341.70","344.20","372.00","167.30","36,364","1,25,16,613.55","394"
"22-Aug-2024","BE","349.95","355.00","338.00","344.25","340.90","339.35","343.05","372.00","167.30","28,231","96,84,545.20","573"
"21-Aug-2024","BE","357.80","357.80","340.00","348.45","340.00","344.25","341.12","372.00","167.30","28,769","98,13,700.60","389"
"20-Aug-2024","BE","350.00","361.90","344.20","346.80","350.00","348.45","354.06","372.00","167.30","36,336","1,28,65,248.15","688"
"19-Aug-2024","BE","341.00","346.80","336.50","330.30","346.80","346.80","345.41","372.00","167.30","68,847","2,37,80,378.75","999"
"16-Aug-2024","BE","325.00","330.75","323.00","315.00","330.75","330.30","328.66","372.00","167.30","32,625","1,07,22,634.90","544"
"14-Aug-2024","BE","330.00","337.50","310.10","322.65","312.60","315.00","321.44","372.00","167.30","19,609","63,03,192.90","410"
"13-Aug-2024","EQ","360.00","370.00","318.05","351.05","325.10","322.65","341.13","372.00","167.30","1,51,137","5,15,57,228.60","10,471"
"12-Aug-2024","EQ","346.00","372.00","344.75","335.00","349.00","351.05","357.31","372.00","167.30","4,74,008","16,93,65,762.00","27,373"
"09-Aug-2024","EQ","350.00","359.80","331.50","329.15","334.05","335.00","340.79","359.80","167.30","1,59,151","5,42,36,299.35","9,212"
"08-Aug-2024","EQ","309.55","337.00","304.45","308.00","330.00","329.15","325.86","337.00","167.30","1,63,625","5,33,18,376.00","14,900"
"07-Aug-2024","EQ","319.95","319.95","305.25","310.85","306.00","308.00","312.33","334.89","167.30","43,635","1,36,28,634.30","3,766"
"06-Aug-2024","EQ","294.60","321.75","294.60","292.50","308.10","310.85","313.99","334.89","167.30","1,41,078","4,42,96,755.80","3,969"
"05-Aug-2024","EQ","301.50","301.50","285.05","306.45","290.50","292.50","294.42","334.89","167.30","60,408","1,77,85,315.20","3,103"
"02-Aug-2024","EQ","307.80","317.95","305.10","315.05","305.25","306.45","310.25","334.89","167.30","37,317","1,15,77,617.10","2,610"
"01-Aug-2024","EQ","324.95","324.95","309.00","323.43","313.30","315.05","317.09","334.89","167.30","63,501","2,01,35,797.40","2,032"
"31-Jul-2024","EQ","329.45","334.79","322.00","325.36","323.85","323.43","327.26","334.89","167.30","75,951","2,48,55,804.69","2,894"
"30-Jul-2024","EQ","305.50","327.00","301.83","305.56","326.80","325.36","317.39","334.89","167.30","1,50,489","4,77,62,955.56","5,949"
"29-Jul-2024","EQ","299.20","311.70","297.63","299.12","302.25","305.56","305.11","334.89","167.30","69,784","2,12,91,988.09","2,194"
