"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","320.00","325.85","317.00","319.10","318.00","318.55","321.09","384.50","225.00","36,674","1,17,75,537.30","4,556"
"23-Aug-2024","EQ","328.85","332.05","315.25","326.55","323.25","319.10","324.05","384.50","225.00","64,554","2,09,18,460.60","4,825"
"22-Aug-2024","EQ","324.00","333.05","323.95","322.70","326.45","326.55","327.86","384.50","225.00","72,802","2,38,69,152.65","5,755"
"21-Aug-2024","EQ","325.00","327.90","317.15","322.80","324.00","322.70","322.57","384.50","225.00","86,726","2,79,74,976.05","7,203"
"20-Aug-2024","EQ","327.60","329.75","321.00","326.80","323.85","322.80","325.90","384.50","225.00","46,713","1,52,23,564.60","4,581"
"19-Aug-2024","EQ","320.55","329.70","320.15","317.40","325.60","326.80","325.77","384.50","225.00","56,291","1,83,37,926.65","4,785"
"16-Aug-2024","EQ","318.50","320.10","314.75","315.30","317.95","317.40","317.80","384.50","225.00","51,469","1,63,56,994.05","4,420"
"14-Aug-2024","EQ","317.40","325.00","312.15","316.00","315.00","315.30","319.05","384.50","225.00","71,344","2,27,62,458.25","7,403"
"13-Aug-2024","EQ","349.95","353.65","303.30","323.55","314.95","316.00","336.00","384.50","225.00","3,90,107","13,10,74,550.25","20,565"
"12-Aug-2024","EQ","326.00","339.90","318.35","328.55","322.00","323.55","331.04","384.50","225.00","1,41,702","4,69,09,396.40","9,482"
"09-Aug-2024","EQ","342.10","349.05","321.55","341.30","329.10","328.55","332.34","384.50","225.00","1,79,621","5,96,95,155.30","11,094"
"08-Aug-2024","EQ","347.20","352.00","337.70","347.80","340.00","341.30","345.07","384.50","225.00","1,17,110","4,04,11,414.45","9,297"
"07-Aug-2024","EQ","360.50","363.95","344.90","354.85","349.20","347.80","354.32","384.50","225.00","1,54,943","5,48,99,077.05","12,034"
"06-Aug-2024","EQ","327.40","373.00","327.00","322.55","359.90","354.85","358.52","384.50","225.00","7,24,225","25,96,46,715.00","43,220"
"05-Aug-2024","EQ","345.70","345.70","316.90","353.50","323.00","322.55","326.92","384.50","225.00","1,97,875","6,46,88,843.40","15,577"
"02-Aug-2024","EQ","349.00","361.05","345.05","353.20","355.45","353.50","353.98","384.50","225.00","1,20,608","4,26,92,893.30","9,061"
"01-Aug-2024","EQ","373.90","379.95","348.00","372.40","354.10","353.20","360.70","384.50","225.00","1,61,457","5,82,37,458.75","13,497"
"31-Jul-2024","EQ","379.50","384.50","368.40","377.55","372.70","372.40","378.40","384.50","225.00","1,86,119","7,04,26,616.25","10,952"
"30-Jul-2024","EQ","354.85","383.90","347.80","352.35","379.95","377.55","368.72","383.90","225.00","5,80,894","21,41,85,385.70","26,338"
"29-Jul-2024","EQ","339.00","356.00","335.10","330.70","355.50","352.35","348.50","359.60","225.00","4,69,925","16,37,67,901.15","20,485"
