"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","713.80","718.80","696.70","707.40","700.10","699.90","704.47","739.45","309.40","5,77,046","40,65,12,945.65","29,110"
"23-Aug-2024","EQ","715.00","723.80","704.00","716.80","710.00","707.40","708.69","739.45","308.50","5,17,378","36,66,59,249.85","23,524"
"22-Aug-2024","EQ","736.90","739.45","712.05","731.05","715.00","716.80","718.49","739.45","308.50","6,65,807","47,83,73,055.25","30,323"
"21-Aug-2024","EQ","706.90","735.30","706.90","704.00","729.00","731.05","721.47","735.30","308.50","10,37,157","74,82,77,912.80","37,811"
"20-Aug-2024","EQ","721.05","723.40","693.60","715.15","703.00","704.00","709.47","726.50","308.50","13,20,879","93,71,19,167.00","48,430"
"19-Aug-2024","EQ","703.20","726.50","692.15","686.85","716.40","715.15","712.83","726.50","308.50","39,08,264","2,78,59,36,158.00","1,32,373"
"16-Aug-2024","EQ","645.90","691.20","645.90","639.00","690.30","686.85","672.17","691.20","308.50","35,70,929","2,40,02,60,768.75","71,548"
"14-Aug-2024","EQ","645.50","664.35","635.00","645.45","638.10","639.00","643.07","685.90","308.50","8,21,265","52,81,32,813.65","33,256"
"13-Aug-2024","EQ","644.90","668.90","643.00","639.85","644.05","645.45","658.51","685.90","308.50","15,62,368","1,02,88,30,964.50","39,627"
"12-Aug-2024","EQ","655.00","656.00","638.10","659.75","640.25","639.85","642.78","685.90","308.50","6,17,906","39,71,77,269.15","26,589"
"09-Aug-2024","EQ","645.10","661.50","632.00","643.05","656.80","659.75","649.63","685.90","306.05","11,97,134","77,76,93,402.35","33,865"
"08-Aug-2024","EQ","638.55","650.00","629.00","635.30","639.00","643.05","644.68","685.90","306.05","7,56,314","48,75,82,470.25","42,511"
"07-Aug-2024","EQ","619.00","636.50","604.30","601.25","635.00","635.30","626.45","685.90","306.05","7,81,581","48,96,17,797.05","25,115"
"06-Aug-2024","EQ","612.00","624.00","597.00","601.80","602.00","601.25","610.82","685.90","306.05","6,35,508","38,81,83,940.35","33,609"
"05-Aug-2024","EQ","635.00","637.95","599.05","640.35","604.90","601.80","607.42","685.90","306.05","10,75,043","65,29,97,873.75","54,021"
"02-Aug-2024","EQ","658.80","665.65","638.20","658.25","641.95","640.35","646.64","685.90","306.05","5,99,317","38,75,45,229.30","33,925"
"01-Aug-2024","EQ","648.40","673.35","647.05","645.00","659.00","658.25","665.41","685.90","306.05","15,68,574","1,04,37,49,876.25","52,270"
"31-Jul-2024","EQ","646.80","659.95","642.40","646.70","643.00","645.00","649.58","685.90","306.05","7,02,769","45,65,07,568.80","30,681"
"30-Jul-2024","EQ","653.30","659.95","640.65","650.85","645.00","646.70","649.96","685.90","306.05","13,98,029","90,86,63,297.20","45,539"
"29-Jul-2024","EQ","672.00","672.00","647.70","652.25","652.00","650.85","657.37","685.90","306.05","12,09,618","79,51,63,816.15","51,082"
