"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","227.99","230.90","225.50","227.99","226.25","226.22","228.40","264.31","167.15","18,313","41,82,747.99","257"
"23-Aug-2024","BE","230.00","230.00","224.11","229.64","228.00","227.99","227.18","264.31","167.15","19,861","45,12,014.57","229"
"22-Aug-2024","BE","235.68","235.68","226.00","231.68","228.60","229.64","230.03","264.31","167.15","39,982","91,96,909.59","381"
"21-Aug-2024","BE","237.50","238.00","222.65","230.64","230.00","231.68","232.00","264.31","167.15","26,098","60,54,667.44","354"
"20-Aug-2024","BE","229.00","238.00","228.10","228.28","234.78","230.64","234.00","264.31","167.15","50,192","1,17,44,788.94","552"
"19-Aug-2024","BE","221.80","228.63","218.60","217.75","228.59","228.28","225.19","264.31","167.15","38,543","86,79,635.26","379"
"16-Aug-2024","BE","220.71","220.71","211.15","216.38","218.00","217.75","215.50","264.31","167.15","26,669","57,47,091.40","409"
"14-Aug-2024","BE","217.05","222.60","211.50","216.74","218.00","216.38","218.73","264.31","167.15","17,187","37,59,317.82","278"
"13-Aug-2024","BE","229.95","229.95","215.54","226.89","215.54","216.74","221.62","264.31","167.15","33,217","73,61,566.35","439"
"12-Aug-2024","BE","229.00","233.95","225.00","226.86","228.95","226.89","227.89","264.31","167.15","15,674","35,71,958.77","225"
"09-Aug-2024","BE","223.00","232.00","222.70","226.24","227.00","226.86","228.07","264.31","167.15","38,197","87,11,636.42","334"
"08-Aug-2024","BE","230.00","238.00","224.00","230.67","225.01","226.24","229.09","264.31","167.15","47,492","1,08,79,994.76","514"
"07-Aug-2024","BE","227.10","231.85","225.10","226.92","231.00","230.67","229.60","264.31","167.15","15,185","34,86,477.93","248"
"06-Aug-2024","BE","226.89","234.00","224.63","224.63","227.05","226.92","228.71","264.31","167.15","37,403","85,54,568.73","417"
"05-Aug-2024","BE","230.30","235.90","223.33","235.09","223.35","224.63","226.39","264.31","167.15","42,594","96,42,774.71","740"
"02-Aug-2024","BE","237.90","238.55","232.15","239.90","236.00","235.09","235.40","264.31","167.15","22,133","52,10,210.29","419"
"01-Aug-2024","BE","240.60","245.00","235.00","240.32","241.90","239.90","240.41","264.31","167.15","33,721","81,06,960.92","433"
"31-Jul-2024","BE","243.85","244.60","237.00","238.35","243.00","240.32","241.72","264.31","167.15","47,409","1,14,59,813.10","458"
"30-Jul-2024","BE","245.40","245.40","235.00","241.85","240.00","238.35","237.79","264.31","167.15","25,647","60,98,686.16","381"
"29-Jul-2024","BE","241.10","245.95","236.00","238.95","243.35","241.85","240.96","264.31","167.15","26,241","63,22,954.03","378"
