"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","3,290.00","3,318.95","3,290.00","3,292.20","3,298.10","3,305.45","3,302.53","4,724.25","2,875.95","1,22,169","40,34,67,004.10","8,974"
"23-Aug-2024","EQ","3,340.00","3,340.00","3,276.60","3,334.60","3,296.00","3,292.20","3,294.64","4,724.25","2,875.95","1,16,336","38,32,85,043.20","14,245"
"22-Aug-2024","EQ","3,312.15","3,384.40","3,312.15","3,302.65","3,336.05","3,334.60","3,345.44","4,724.25","2,875.95","2,05,883","68,87,68,428.80","28,494"
"21-Aug-2024","EQ","3,299.90","3,355.40","3,295.95","3,289.25","3,305.10","3,302.65","3,316.64","4,724.25","2,875.95","2,76,233","91,61,65,336.95","34,943"
"20-Aug-2024","EQ","3,299.90","3,308.65","3,262.20","3,281.25","3,292.00","3,289.25","3,286.50","4,724.25","2,875.95","91,501","30,07,17,783.60","9,197"
"19-Aug-2024","EQ","3,325.00","3,350.85","3,272.25","3,324.90","3,292.00","3,281.25","3,302.07","4,724.25","2,875.95","2,37,931","78,56,63,771.60","16,146"
"16-Aug-2024","EQ","3,250.00","3,332.85","3,246.85","3,237.60","3,330.00","3,324.90","3,291.39","4,724.25","2,875.95","1,56,142","51,39,23,605.05","19,583"
"14-Aug-2024","EQ","3,277.05","3,309.15","3,226.40","3,277.05","3,249.00","3,237.60","3,251.95","4,724.25","2,875.95","3,40,278","1,10,65,67,850.80","29,987"
"13-Aug-2024","EQ","3,450.00","3,466.90","3,262.15","3,466.90","3,277.85","3,277.05","3,328.16","4,724.25","2,875.95","4,49,800","1,49,70,07,810.15","46,788"
"12-Aug-2024","EQ","3,532.15","3,550.00","3,452.00","3,550.20","3,455.00","3,466.90","3,493.11","4,724.25","2,875.95","1,55,475","54,30,91,770.80","11,504"
"09-Aug-2024","EQ","3,592.00","3,630.00","3,535.00","3,549.45","3,548.00","3,550.20","3,565.23","4,724.25","2,875.95","86,254","30,75,15,551.80","13,658"
"08-Aug-2024","EQ","3,585.00","3,644.00","3,537.25","3,601.85","3,559.05","3,549.45","3,603.74","4,724.25","2,875.95","94,435","34,03,19,103.80","16,169"
"07-Aug-2024","EQ","3,515.00","3,620.00","3,502.00","3,466.00","3,620.00","3,601.85","3,571.72","4,724.25","2,875.95","2,46,049","87,88,18,691.80","21,800"
"06-Aug-2024","EQ","3,476.50","3,591.95","3,451.60","3,455.95","3,469.00","3,466.00","3,520.49","4,724.25","2,875.95","2,85,809","1,00,61,87,583.15","29,521"
"05-Aug-2024","EQ","3,515.00","3,584.85","3,450.60","3,606.20","3,465.80","3,455.95","3,507.29","4,724.25","2,875.95","1,86,557","65,43,09,386.40","28,465"
"02-Aug-2024","EQ","3,641.00","3,699.00","3,588.00","3,686.20","3,594.55","3,606.20","3,660.30","4,724.25","2,875.95","2,66,577","97,57,50,577.85","24,068"
"01-Aug-2024","EQ","3,790.00","3,790.00","3,660.35","3,800.95","3,687.65","3,686.20","3,704.23","4,724.25","2,875.95","3,55,652","1,31,74,16,593.65","32,669"
"31-Jul-2024","EQ","3,759.95","3,820.95","3,627.00","3,771.15","3,793.00","3,800.95","3,746.71","4,724.25","2,875.95","9,83,055","3,68,32,19,530.30","72,981"
"30-Jul-2024","EQ","3,588.80","3,799.00","3,588.80","3,570.80","3,790.65","3,771.15","3,724.52","4,724.25","2,875.95","7,41,208","2,76,06,41,715.70","74,992"
"29-Jul-2024","EQ","3,553.00","3,605.95","3,515.00","3,530.55","3,577.00","3,570.80","3,565.45","4,724.25","2,875.95","2,55,792","91,20,14,030.30","27,586"
