"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","160.00","161.25","156.10","159.54","157.61","158.80","158.91","179.09","129.00","2,94,740","4,68,38,408.12","6,849"
"23-Aug-2024","EQ","160.69","162.60","158.50","160.69","159.73","159.54","160.69","179.09","129.00","4,07,631","6,55,03,606.69","10,590"
"22-Aug-2024","EQ","159.00","161.19","157.73","157.22","160.64","160.69","159.62","179.09","129.00","2,38,710","3,81,02,193.67","4,388"
"21-Aug-2024","EQ","159.50","161.50","156.15","158.76","157.25","157.22","158.55","179.09","129.00","4,79,937","7,60,94,281.71","10,211"
"20-Aug-2024","EQ","155.55","159.70","155.08","155.37","158.32","158.76","157.59","179.09","129.00","4,13,280","6,51,27,837.19","9,417"
"19-Aug-2024","EQ","159.07","160.55","154.57","158.32","155.20","155.37","157.62","179.09","129.00","5,56,813","8,77,64,224.46","9,151"
"16-Aug-2024","EQ","156.40","159.00","153.60","156.14","157.80","158.32","156.07","179.09","129.00","3,47,832","5,42,87,557.24","11,259"
"14-Aug-2024","EQ","155.60","158.70","152.65","159.14","155.70","156.14","155.17","179.09","129.00","9,56,687","14,84,48,480.65","18,611"
"13-Aug-2024","EQ","173.78","174.04","158.00","173.04","159.50","159.14","165.25","179.09","129.00","11,01,519","18,20,30,741.53","22,079"
"12-Aug-2024","EQ","165.50","179.09","162.27","163.40","173.60","173.04","172.40","179.09","129.00","65,38,555","1,12,72,47,627.82","68,812"
"09-Aug-2024","EQ","165.97","166.70","162.80","162.79","163.00","163.40","163.65","175.90","129.00","9,03,104","14,77,92,776.18","12,854"
"08-Aug-2024","EQ","167.99","169.36","162.30","167.22","163.00","162.79","164.92","175.90","129.00","8,31,814","13,71,82,035.34","14,196"
"07-Aug-2024","EQ","163.00","170.90","162.61","161.77","167.30","167.22","166.57","175.90","129.00","13,30,505","22,16,24,726.20","21,804"
"06-Aug-2024","EQ","163.30","164.29","159.50","160.99","161.17","161.77","161.97","175.90","129.00","12,91,612","20,91,99,533.51","18,920"
"05-Aug-2024","EQ","164.00","166.95","159.01","166.62","161.49","160.99","162.21","175.90","129.00","16,17,344","26,23,45,882.87","24,962"
"02-Aug-2024","EQ","164.00","170.00","164.00","163.80","166.50","166.62","167.22","175.90","129.00","14,27,370","23,86,91,852.72","23,171"
"01-Aug-2024","EQ","164.00","171.00","162.01","161.59","164.55","163.80","166.62","175.90","129.00","25,81,919","43,01,93,196.83","44,002"
"31-Jul-2024","EQ","164.35","165.96","161.01","163.85","161.78","161.59","163.54","175.90","129.00","7,23,190","11,82,69,227.08","13,394"
"30-Jul-2024","EQ","162.80","165.00","160.00","162.74","163.96","163.85","162.86","175.90","129.00","6,87,140","11,19,05,046.85","16,760"
"29-Jul-2024","EQ","155.98","164.70","155.98","155.43","162.10","162.74","161.55","175.90","129.00","16,31,990","26,36,44,184.87","19,551"
