"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","35.99","35.99","34.00","35.35","34.18","34.47","34.92","44.44","19.10","1,85,249","64,69,798.49","885"
"23-Aug-2024","BE","35.00","36.15","34.52","35.11","35.50","35.35","35.55","44.44","19.10","1,27,190","45,21,501.79","688"
"22-Aug-2024","BE","36.15","36.19","35.00","35.39","35.05","35.11","35.42","44.44","19.10","1,39,555","49,43,511.66","847"
"21-Aug-2024","BE","35.62","36.00","35.11","35.62","35.68","35.39","35.46","44.44","19.10","1,43,748","50,96,623.44","604"
"20-Aug-2024","BE","36.75","37.40","35.20","36.19","35.90","35.62","35.85","44.44","19.10","1,49,948","53,75,753.17","659"
"19-Aug-2024","BE","36.00","37.00","35.11","35.91","36.30","36.19","35.95","44.44","19.10","1,78,818","64,28,073.90","823"
"16-Aug-2024","BE","36.15","36.99","34.35","36.16","35.21","35.91","35.56","44.44","18.85","2,49,079","88,56,270.37","918"
"14-Aug-2024","BE","37.88","37.90","35.22","37.08","36.35","36.16","36.37","44.44","18.85","3,35,020","1,21,85,085.89","1,208"
"13-Aug-2024","BE","36.29","37.08","35.32","35.32","37.08","37.08","36.91","44.44","18.85","4,30,974","1,59,05,995.01","1,406"
"12-Aug-2024","BE","33.80","35.32","33.40","33.64","35.32","35.32","34.66","44.44","18.85","2,16,746","75,11,843.44","850"
"09-Aug-2024","BE","34.99","34.99","33.12","34.46","33.80","33.64","33.95","44.44","18.60","1,64,689","55,91,019.92","1,130"
"08-Aug-2024","BE","33.75","35.40","33.75","34.44","34.62","34.46","34.37","44.44","18.60","1,66,202","57,12,399.78","790"
"07-Aug-2024","BE","33.70","35.20","32.30","33.66","34.90","34.44","33.53","44.44","18.60","3,24,021","1,08,63,415.73","1,491"
"06-Aug-2024","BE","35.99","36.60","33.51","35.28","33.51","33.66","35.02","44.44","18.60","2,93,033","1,02,62,941.45","1,500"
"05-Aug-2024","BE","36.93","37.00","35.28","37.14","35.28","35.28","35.75","44.44","18.60","3,96,654","1,41,79,290.95","1,532"
"02-Aug-2024","BE","35.17","38.00","35.17","36.75","37.03","37.14","37.33","44.44","18.05","2,52,932","94,41,497.49","1,222"
"01-Aug-2024","BE","38.17","38.90","36.45","38.17","36.90","36.75","37.31","44.44","18.05","4,08,704","1,52,50,774.13","1,979"
"31-Jul-2024","BE","39.60","39.60","37.00","38.51","38.45","38.17","38.30","44.44","18.05","4,36,719","1,67,25,644.95","1,750"
"30-Jul-2024","BE","34.85","38.51","34.84","36.68","38.51","38.51","36.19","44.44","18.05","7,09,081","2,56,59,475.50","2,866"
"29-Jul-2024","BE","39.89","39.89","36.68","38.62","36.68","36.68","37.24","44.44","18.05","5,60,464","2,08,72,785.55","2,643"
