"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","944.55","954.00","934.00","943.80","938.70","941.35","943.88","1,003.00","616.05","63,094","5,95,52,853.15","4,916"
"23-Aug-2024","EQ","973.00","982.00","935.50","965.85","942.40","943.80","959.61","1,003.00","616.05","2,06,755","19,84,03,494.70","15,351"
"22-Aug-2024","EQ","925.90","974.50","924.00","919.10","968.90","965.85","956.30","1,003.00","616.05","3,96,953","37,96,08,043.65","27,998"
"21-Aug-2024","EQ","923.00","925.75","908.80","922.15","921.95","919.10","916.69","1,003.00","616.05","40,433","3,70,64,564.70","4,854"
"20-Aug-2024","EQ","930.00","931.70","915.55","923.95","920.45","922.15","921.96","1,003.00","616.05","52,556","4,84,54,426.35","5,369"
"19-Aug-2024","EQ","908.00","926.85","900.00","889.55","922.90","923.95","913.09","1,003.00","616.05","1,43,239","13,07,90,770.50","11,166"
"16-Aug-2024","EQ","898.00","900.85","883.70","883.60","888.95","889.55","890.11","1,003.00","616.05","52,722","4,69,28,284.30","5,665"
"14-Aug-2024","EQ","900.00","904.20","877.50","899.95","888.00","883.60","889.16","1,003.00","616.05","64,321","5,71,91,438.90","5,046"
"13-Aug-2024","EQ","915.00","918.90","895.75","914.30","900.00","899.95","903.91","1,003.00","616.05","49,179","4,44,53,147.80","4,412"
"12-Aug-2024","EQ","904.50","919.95","898.60","904.50","912.80","914.30","912.00","1,003.00","616.05","53,206","4,85,24,068.85","5,832"
"09-Aug-2024","EQ","884.05","941.90","878.15","877.05","908.00","904.50","904.59","1,003.00","616.05","1,48,762","13,45,68,108.55","10,253"
"08-Aug-2024","EQ","893.05","893.05","869.95","884.75","875.00","877.05","878.52","1,003.00","616.05","44,384","3,89,92,241.25","5,377"
"07-Aug-2024","EQ","870.40","899.70","857.25","863.95","886.00","884.75","878.18","1,003.00","616.05","65,463","5,74,88,542.30","7,415"
"06-Aug-2024","EQ","849.10","867.15","847.70","836.45","864.00","863.95","860.07","1,003.00","616.05","99,482","8,55,61,210.95","9,089"
"05-Aug-2024","EQ","867.05","877.05","833.85","883.70","847.00","836.45","846.51","1,003.00","616.05","1,50,748","12,76,09,161.75","13,326"
"02-Aug-2024","EQ","925.00","925.00","882.00","917.40","884.00","883.70","897.77","1,003.00","616.05","1,69,573","15,22,37,631.25","16,718"
"01-Aug-2024","EQ","932.35","939.95","915.15","928.40","918.00","917.40","922.59","1,003.00","616.05","40,593","3,74,50,610.50","4,362"
"31-Jul-2024","EQ","940.35","946.00","925.25","943.50","928.00","928.40","938.71","1,003.00","616.05","75,627","7,09,91,667.80","5,770"
"30-Jul-2024","EQ","930.00","948.35","924.75","924.30","944.45","943.50","940.64","1,003.00","616.05","78,471","7,38,12,940.30","6,517"
"29-Jul-2024","EQ","922.75","935.10","918.00","915.60","922.20","924.30","925.56","1,003.00","616.05","42,917","3,97,22,045.50","3,936"
