"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","478.00","508.90","478.00","472.25","489.90","488.50","493.37","576.90","342.30","4,00,892","19,77,86,219.75","21,178"
"23-Aug-2024","EQ","469.00","476.30","468.25","468.10","472.40","472.25","472.23","576.90","342.30","73,231","3,45,82,093.75","6,805"
"22-Aug-2024","EQ","473.00","480.00","465.50","471.20","469.00","468.10","474.59","576.90","342.30","81,280","3,85,74,743.45","4,737"
"21-Aug-2024","EQ","460.00","474.00","460.00","463.85","471.00","471.20","468.62","576.90","342.30","1,04,642","4,90,37,658.20","5,151"
"20-Aug-2024","EQ","471.05","472.05","461.05","464.10","462.55","463.85","465.83","576.90","342.30","51,566","2,40,20,762.75","4,041"
"19-Aug-2024","EQ","462.00","466.05","458.65","462.45","464.00","464.10","462.53","576.90","342.30","72,589","3,35,74,415.50","5,458"
"16-Aug-2024","EQ","460.50","468.45","456.00","457.90","462.00","462.45","460.99","576.90","342.30","36,979","1,70,46,927.70","3,059"
"14-Aug-2024","EQ","459.45","463.90","450.10","452.65","458.75","457.90","457.14","576.90","342.30","7,56,266","34,57,20,687.65","8,942"
"13-Aug-2024","EQ","473.00","473.00","446.05","466.10","452.00","452.65","450.85","576.90","342.30","2,29,386","10,34,19,255.95","6,247"
"12-Aug-2024","EQ","478.90","478.90","459.00","471.10","466.00","466.10","464.62","576.90","342.30","51,482","2,39,19,628.75","5,329"
"09-Aug-2024","EQ","470.10","478.20","469.60","470.55","470.00","471.10","472.18","576.90","342.30","60,552","2,85,91,598.30","5,467"
"08-Aug-2024","EQ","466.70","476.45","466.70","473.45","470.00","470.55","472.08","576.90","342.30","37,629","1,77,64,075.65","3,919"
"07-Aug-2024","EQ","465.00","476.60","458.15","460.90","476.25","473.45","469.85","576.90","342.30","61,396","2,88,46,692.05","3,972"
"06-Aug-2024","EQ","456.10","465.70","454.05","460.00","460.00","460.90","459.53","576.90","342.30","90,903","4,17,72,596.00","7,755"
"05-Aug-2024","EQ","468.10","473.00","449.10","476.70","460.05","460.00","458.00","576.90","342.30","1,21,980","5,58,66,897.85","10,001"
"02-Aug-2024","EQ","474.00","479.25","468.50","476.25","478.50","476.70","474.41","576.90","342.30","1,21,788","5,77,77,328.80","6,297"
"01-Aug-2024","EQ","473.60","491.95","466.00","468.95","479.25","476.25","477.44","576.90","342.30","1,88,519","9,00,06,469.00","14,685"
"31-Jul-2024","EQ","476.70","478.65","466.05","474.00","470.00","468.95","471.07","576.90","342.30","2,04,744","9,64,48,829.40","11,134"
"30-Jul-2024","EQ","485.35","494.70","471.05","488.35","474.50","474.00","480.42","576.90","342.30","2,49,620","11,99,22,260.00","6,855"
"29-Jul-2024","EQ","489.70","496.90","484.60","484.60","489.80","488.35","492.01","576.90","342.30","1,04,718","5,15,22,583.85","9,986"
