"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","481.10","504.95","476.75","485.05","488.00","490.70","489.27","649.15","308.00","7,999","39,13,638.55","653"
"23-Aug-2024","EQ","487.80","488.05","480.00","484.75","486.00","485.05","483.78","649.15","308.00","2,669","12,91,212.60","315"
"22-Aug-2024","EQ","488.50","489.30","481.15","477.30","486.00","484.75","485.39","649.15","308.00","4,721","22,91,506.30","664"
"21-Aug-2024","EQ","499.95","507.95","473.05","497.50","478.00","477.30","486.79","649.15","308.00","13,115","63,84,193.35","1,457"
"20-Aug-2024","EQ","498.95","502.35","489.05","493.55","493.50","497.50","496.90","649.15","308.00","5,449","27,07,611.95","518"
"19-Aug-2024","EQ","471.05","495.00","471.05","479.75","494.25","493.55","489.77","649.15","308.00","4,064","19,90,443.10","433"
"16-Aug-2024","EQ","503.00","508.90","474.00","483.35","483.50","479.75","487.93","649.15","308.00","7,716","37,64,901.05","708"
"14-Aug-2024","EQ","524.30","540.00","475.00","506.75","491.00","483.35","503.35","649.15","308.00","28,195","1,41,92,092.35","1,249"
"13-Aug-2024","EQ","528.00","528.00","480.00","492.10","501.00","506.75","500.78","649.15","308.00","12,962","64,91,174.00","1,231"
"12-Aug-2024","EQ","461.00","519.70","461.00","481.70","514.00","492.10","485.71","649.15","308.00","10,676","51,85,391.50","722"
"09-Aug-2024","EQ","472.50","490.00","461.05","472.50","483.00","481.70","481.25","649.15","308.00","4,131","19,88,025.00","353"
"08-Aug-2024","EQ","468.95","475.00","460.00","460.95","472.00","472.50","467.80","649.15","308.00","3,607","16,87,355.65","210"
"07-Aug-2024","EQ","458.65","468.80","455.05","454.55","460.30","460.95","459.89","649.15","308.00","2,572","11,82,834.95","300"
"06-Aug-2024","EQ","471.00","471.00","453.75","454.90","456.25","454.55","460.80","649.15","308.00","4,834","22,27,497.85","434"
"05-Aug-2024","EQ","455.80","473.55","450.35","486.30","456.00","454.90","458.78","649.15","308.00","12,186","55,90,732.25","1,340"
"02-Aug-2024","EQ","478.75","486.90","455.50","476.90","486.85","486.30","476.14","649.15","308.00","6,990","33,28,230.80","628"
"01-Aug-2024","EQ","476.70","483.30","463.65","476.70","478.75","476.90","476.90","649.15","308.00","2,803","13,36,760.75","250"
"31-Jul-2024","EQ","481.85","483.90","475.20","481.85","475.20","476.70","478.22","649.15","308.00","2,022","9,66,954.80","253"
"30-Jul-2024","EQ","479.20","484.95","474.00","478.65","484.90","481.85","480.82","649.15","308.00","3,890","18,70,391.60","266"
"29-Jul-2024","EQ","476.10","487.95","476.10","483.60","479.20","478.65","480.70","649.15","308.00","3,153","15,15,652.60","349"
