"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","314.20","326.00","314.20","313.80","322.80","321.65","321.77","401.55","245.15","1,63,170","5,25,03,937.60","9,287"
"23-Aug-2024","EQ","315.90","318.65","313.00","315.90","314.20","313.80","314.76","401.55","221.95","72,569","2,28,41,738.45","4,291"
"22-Aug-2024","EQ","320.60","321.50","315.00","318.40","315.00","315.90","316.88","401.55","221.95","84,841","2,68,84,015.40","6,193"
"21-Aug-2024","EQ","317.20","322.00","315.40","317.70","319.00","318.40","319.07","401.55","221.95","71,050","2,26,70,056.70","3,795"
"20-Aug-2024","EQ","313.20","318.50","313.05","313.50","318.45","317.70","315.64","401.55","221.95","87,646","2,76,64,337.75","4,026"
"19-Aug-2024","EQ","316.60","317.00","308.40","312.10","314.00","313.50","312.01","401.55","221.95","98,119","3,06,13,875.05","5,943"
"16-Aug-2024","EQ","302.10","314.00","301.15","299.00","312.90","312.10","308.17","401.55","213.00","1,01,217","3,11,91,918.05","7,444"
"14-Aug-2024","EQ","303.80","305.70","297.10","302.75","302.95","299.00","300.25","401.55","213.00","92,143","2,76,66,209.30","6,823"
"13-Aug-2024","EQ","310.00","313.05","302.00","312.45","303.00","302.75","306.85","401.55","213.00","1,48,745","4,56,42,770.90","9,778"
"12-Aug-2024","EQ","312.00","314.60","309.00","314.85","310.70","312.45","312.38","401.55","213.00","75,057","2,34,45,994.90","5,008"
"09-Aug-2024","EQ","315.05","316.20","312.00","311.45","315.00","314.85","314.09","401.55","213.00","57,860","1,81,73,181.90","4,149"
"08-Aug-2024","EQ","315.80","318.95","309.45","315.80","312.15","311.45","314.57","401.55","213.00","69,674","2,19,17,158.25","7,392"
"07-Aug-2024","EQ","314.00","317.00","311.80","310.30","316.40","315.80","314.92","401.55","213.00","62,205","1,95,89,432.30","5,654"
"06-Aug-2024","EQ","312.80","320.70","307.00","312.80","312.90","310.30","314.26","401.55","213.00","1,00,462","3,15,71,120.20","8,730"
"05-Aug-2024","EQ","320.00","320.00","310.10","325.95","313.65","312.80","313.90","401.55","213.00","1,69,766","5,32,88,869.10","14,624"
"02-Aug-2024","EQ","323.00","332.05","321.60","325.65","326.90","325.95","327.20","401.55","213.00","99,396","3,25,22,184.10","8,111"
"01-Aug-2024","EQ","327.40","335.60","324.35","327.10","325.95","325.65","329.75","401.55","213.00","1,17,793","3,88,41,941.85","7,757"
"31-Jul-2024","EQ","327.00","330.00","325.05","326.90","328.00","327.10","327.53","401.55","213.00","67,974","2,22,63,381.55","5,411"
"30-Jul-2024","EQ","330.00","330.00","326.25","329.35","326.80","326.90","328.60","401.55","213.00","96,786","3,18,03,750.50","4,959"
"29-Jul-2024","EQ","330.50","339.00","327.15","328.85","330.00","329.35","330.78","401.55","213.00","87,442","2,89,24,436.85","5,282"
