"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","4,667.00","4,707.90","4,621.00","4,667.45","4,696.00","4,679.00","4,668.11","4,845.00","2,350.50","5,318","2,48,25,030.95","2,143"
"23-Aug-2024","EQ","4,756.25","4,756.25","4,650.05","4,708.20","4,685.00","4,667.45","4,690.93","4,845.00","2,350.50","7,527","3,53,08,646.50","2,042"
"22-Aug-2024","EQ","4,699.00","4,784.00","4,644.00","4,671.90","4,710.00","4,708.20","4,695.51","4,845.00","2,350.50","11,011","5,17,02,220.10","2,731"
"21-Aug-2024","EQ","4,431.80","4,845.00","4,430.45","4,418.30","4,700.05","4,671.90","4,682.02","4,845.00","2,350.50","65,862","30,83,66,921.10","15,751"
"20-Aug-2024","EQ","4,380.05","4,465.00","4,380.05","4,399.60","4,406.15","4,418.30","4,422.43","4,775.00","2,350.50","6,157","2,72,28,892.10","1,869"
"19-Aug-2024","EQ","4,299.95","4,480.00","4,280.45","4,280.45","4,382.15","4,399.60","4,414.11","4,775.00","2,350.50","10,484","4,62,77,575.00","3,069"
"16-Aug-2024","EQ","4,270.15","4,309.00","4,185.00","4,253.60","4,251.10","4,280.45","4,252.73","4,775.00","2,350.50","5,468","2,32,53,940.75","1,343"
"14-Aug-2024","EQ","4,270.00","4,300.05","4,188.65","4,200.65","4,280.00","4,253.60","4,255.58","4,775.00","2,350.50","7,574","3,22,31,791.10","2,219"
"13-Aug-2024","EQ","4,350.00","4,380.00","4,160.05","4,334.90","4,199.50","4,200.65","4,260.14","4,775.00","2,350.50","15,964","6,80,08,917.85","3,547"
"12-Aug-2024","EQ","4,328.00","4,347.25","4,254.05","4,295.45","4,336.00","4,334.90","4,317.18","4,775.00","2,350.50","3,151","1,36,03,422.35","923"
"09-Aug-2024","EQ","4,302.80","4,340.00","4,263.15","4,251.75","4,300.00","4,295.45","4,301.44","4,775.00","2,350.50","2,616","1,12,52,569.65","920"
"08-Aug-2024","EQ","4,298.25","4,375.00","4,236.35","4,295.10","4,266.00","4,251.75","4,303.77","4,775.00","2,350.50","4,766","2,05,11,759.85","1,603"
"07-Aug-2024","EQ","4,199.85","4,300.00","4,173.00","4,168.10","4,287.00","4,295.10","4,226.22","4,775.00","2,350.50","6,435","2,71,95,757.30","1,468"
"06-Aug-2024","EQ","4,280.00","4,281.20","4,141.10","4,158.75","4,171.35","4,168.10","4,219.38","4,775.00","2,350.50","4,520","1,90,71,580.15","1,523"
"05-Aug-2024","EQ","4,313.00","4,323.25","4,135.00","4,389.25","4,180.00","4,158.75","4,196.36","4,775.00","2,350.50","9,365","3,92,98,934.50","3,498"
"02-Aug-2024","EQ","4,320.00","4,404.50","4,320.00","4,423.25","4,390.00","4,389.25","4,375.33","4,775.00","2,350.50","2,103","92,01,309.15","850"
"01-Aug-2024","EQ","4,567.00","4,567.25","4,400.00","4,527.40","4,410.00","4,423.25","4,470.37","4,775.00","2,350.50","5,455","2,43,85,885.85","1,401"
"31-Jul-2024","EQ","4,600.00","4,600.00","4,506.40","4,518.75","4,549.00","4,527.40","4,535.63","4,775.00","2,350.50","3,981","1,80,56,330.90","1,381"
"30-Jul-2024","EQ","4,437.65","4,627.95","4,417.25","4,413.90","4,513.00","4,518.75","4,520.20","4,775.00","2,350.50","10,931","4,94,10,303.85","2,934"
"29-Jul-2024","EQ","4,481.45","4,522.00","4,394.75","4,468.90","4,419.00","4,413.90","4,459.39","4,775.00","2,350.50","7,527","3,35,65,792.35","2,063"
