"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","159.60","163.00","156.70","161.54","162.63","162.95","162.63","166.15","112.20","21,806","35,46,201.19","407"
"23-Aug-2024","EQ","162.01","162.51","159.58","161.37","161.79","161.54","160.92","166.15","112.20","20,637","33,20,913.07","384"
"22-Aug-2024","EQ","156.45","162.49","156.45","161.29","161.49","161.37","161.40","166.15","112.20","13,136","21,20,195.65","277"
"21-Aug-2024","EQ","164.00","164.00","160.56","160.79","161.70","161.29","161.16","166.15","112.20","13,049","21,02,926.76","259"
"20-Aug-2024","EQ","162.70","164.00","160.21","159.85","160.55","160.79","161.25","166.15","112.20","44,151","71,19,152.52","309"
"19-Aug-2024","EQ","162.70","162.70","157.20","159.51","160.50","159.85","160.00","166.15","112.20","23,930","38,28,765.25","413"
"16-Aug-2024","EQ","159.80","159.80","157.20","156.65","159.19","159.51","158.63","166.15","111.60","12,299","19,51,045.67","354"
"14-Aug-2024","EQ","159.25","159.25","155.01","156.08","156.71","156.65","156.63","166.15","111.60","11,222","17,57,709.99","290"
"13-Aug-2024","EQ","157.99","157.99","154.31","157.09","156.21","156.08","156.94","166.15","111.60","10,431","16,37,043.89","307"
"12-Aug-2024","EQ","158.95","158.95","155.93","157.63","157.20","157.09","156.93","166.15","111.60","15,689","24,62,065.50","403"
"09-Aug-2024","EQ","156.21","158.90","155.00","155.75","158.00","157.63","156.79","166.15","111.60","1,20,284","1,88,58,874.01","321"
"08-Aug-2024","EQ","156.01","158.86","154.35","157.25","156.84","155.75","155.97","166.15","111.60","35,917","56,02,057.10","491"
"07-Aug-2024","EQ","157.57","157.60","156.08","154.80","157.60","157.25","156.52","166.15","111.60","24,377","38,15,582.81","252"
"06-Aug-2024","EQ","156.28","158.99","154.50","156.41","155.25","154.80","156.09","166.15","111.60","27,114","42,32,137.66","469"
"05-Aug-2024","EQ","160.15","160.15","153.55","159.64","159.20","156.41","155.81","166.15","111.60","62,528","97,42,769.65","1,291"
"02-Aug-2024","EQ","161.94","163.19","159.40","162.32","160.89","159.64","160.23","166.15","110.59","55,764","89,34,837.62","806"
"01-Aug-2024","EQ","163.98","163.98","161.90","162.34","161.96","162.32","162.61","166.15","110.59","9,884","16,07,201.48","343"
"31-Jul-2024","EQ","161.57","162.46","161.21","161.57","162.00","162.34","162.19","166.15","110.59","20,532","33,30,020.38","266"
"30-Jul-2024","EQ","163.50","163.50","160.95","161.56","162.00","161.57","161.77","166.15","110.59","16,467","26,63,853.09","267"
"29-Jul-2024","EQ","166.15","166.15","160.86","161.32","162.00","161.56","161.88","166.15","110.59","19,713","31,91,140.07","421"
