"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","123.43","132.70","118.60","126.26","125.19","125.30","125.02","157.40","76.00","16,24,19,382","20,30,50,15,425.73","7,30,157"
"23-Aug-2024","EQ","131.00","132.47","125.55","131.32","125.93","126.26","128.21","157.40","76.00","5,89,41,772","7,55,69,95,281.13","3,79,085"
"22-Aug-2024","EQ","139.00","139.00","126.05","138.05","131.55","131.32","131.80","157.40","76.00","10,72,14,397","14,13,05,91,655.37","5,71,752"
"21-Aug-2024","EQ","143.00","143.50","135.22","137.79","137.91","138.05","138.83","157.40","76.00","11,30,15,397","15,69,04,34,929.45","6,49,075"
"20-Aug-2024","EQ","153.80","157.40","132.65","146.38","137.38","137.79","143.87","157.40","76.00","30,91,36,273","44,47,48,57,224.87","15,75,307"
"19-Aug-2024","EQ","139.39","146.38","136.00","133.08","146.38","146.38","144.34","146.38","76.00","19,23,59,284","27,76,49,03,615.66","6,19,386"
"16-Aug-2024","EQ","121.00","133.08","117.00","110.90","133.08","133.08","127.40","133.08","76.00","33,87,63,140","43,15,91,06,504.94","10,87,794"
"14-Aug-2024","EQ","110.00","113.40","100.36","108.17","110.99","110.90","107.38","129.40","76.00","16,05,39,788","17,23,84,55,708.28","7,50,763"
"13-Aug-2024","EQ","120.98","129.40","105.21","109.44","108.85","108.17","116.07","129.40","76.00","36,50,44,065","42,37,02,43,646.01","17,28,004"
"12-Aug-2024","EQ","97.00","109.44","95.00","91.20","109.44","109.44","103.94","109.44","76.00","21,02,95,560","21,85,75,38,577.33","7,63,872"
"09-Aug-2024","EQ","76.00","91.20","76.00","76.00","91.20","91.20","84.29","91.20","76.00","52,51,79,173","44,26,56,59,143.37","9,87,697"
