"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","382.55","387.20","369.35","382.55","379.85","376.10","377.82","499.95","302.00","19,736","74,56,745.80","1,958"
"23-Aug-2024","EQ","393.85","393.85","380.00","389.25","384.00","382.55","384.61","499.95","302.00","22,203","85,39,498.40","2,149"
"22-Aug-2024","EQ","399.80","400.00","385.55","389.75","390.00","389.25","391.98","499.95","302.00","10,325","40,47,146.50","606"
"21-Aug-2024","EQ","387.30","400.45","382.15","385.30","391.40","389.75","393.86","499.95","302.00","19,490","76,76,331.75","1,553"
"20-Aug-2024","EQ","389.00","394.00","384.20","380.85","385.60","385.30","387.83","499.95","302.00","10,500","40,72,264.85","1,190"
"19-Aug-2024","EQ","372.20","385.00","372.20","372.20","381.25","380.85","380.67","499.95","302.00","8,346","31,77,038.20","733"
"16-Aug-2024","EQ","375.50","379.00","368.05","373.55","372.25","372.20","372.73","499.95","302.00","10,534","39,26,357.85","1,070"
"14-Aug-2024","EQ","379.95","383.00","370.00","381.65","370.55","373.55","375.70","499.95","302.00","8,987","33,76,408.10","1,040"
"13-Aug-2024","EQ","381.15","391.45","377.75","375.50","380.10","381.65","384.72","499.95","302.00","18,166","69,88,843.10","1,897"
"12-Aug-2024","EQ","380.00","384.60","374.00","383.25","374.00","375.50","378.06","499.95","302.00","11,296","42,70,577.35","1,186"
"09-Aug-2024","EQ","390.85","393.95","382.10","390.60","384.00","383.25","385.63","499.95","302.00","10,080","38,87,145.80","996"
"08-Aug-2024","EQ","390.10","398.65","387.55","388.05","388.00","390.60","392.61","499.95","302.00","14,385","56,47,723.30","1,627"
"07-Aug-2024","EQ","391.00","398.70","381.30","395.55","387.15","388.05","389.28","499.95","302.00","31,209","1,21,49,115.80","2,765"
"06-Aug-2024","EQ","399.50","409.45","392.30","399.50","393.15","395.55","401.12","499.95","302.00","19,627","78,72,820.50","976"
"05-Aug-2024","EQ","399.00","403.05","384.05","399.90","402.00","399.50","396.36","499.95","302.00","32,568","1,29,08,506.50","2,123"
"02-Aug-2024","EQ","400.00","414.80","391.05","398.50","400.10","399.90","404.52","499.95","302.00","57,103","2,30,99,354.05","4,146"
"01-Aug-2024","EQ","402.10","403.65","396.00","400.00","400.00","398.50","398.48","499.95","302.00","7,575","30,18,474.50","924"
"31-Jul-2024","EQ","405.00","405.00","398.30","404.65","404.00","400.00","401.60","499.95","302.00","10,381","41,68,967.25","668"
"30-Jul-2024","EQ","403.95","409.60","400.10","402.70","402.30","404.65","405.10","499.95","302.00","14,344","58,10,757.30","1,212"
"29-Jul-2024","EQ","410.00","411.80","400.30","403.00","408.00","402.70","404.80","499.95","302.00","32,873","1,33,07,092.65","2,474"
