"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","1,272.80","1,302.00","1,248.40","1,282.80","1,279.95","1,272.05","1,269.35","1,592.70","610.00","68,086","8,64,24,694.45","5,709"
"23-Aug-2024","BE","1,315.00","1,315.00","1,276.20","1,294.55","1,287.00","1,282.80","1,295.35","1,592.70","610.00","1,10,500","14,31,36,566.30","6,902"
"22-Aug-2024","BE","1,282.00","1,294.55","1,266.60","1,232.95","1,294.55","1,294.55","1,287.09","1,592.70","610.00","1,59,965","20,58,89,271.60","9,244"
"21-Aug-2024","BE","1,241.00","1,248.95","1,179.00","1,241.05","1,235.00","1,232.95","1,223.05","1,592.70","610.00","76,034","9,29,93,252.20","5,800"
"20-Aug-2024","BE","1,288.00","1,317.00","1,232.00","1,268.75","1,241.00","1,241.05","1,275.11","1,592.70","610.00","1,78,211","22,72,38,886.65","11,810"
"19-Aug-2024","BE","1,240.00","1,268.75","1,232.55","1,208.35","1,268.75","1,268.75","1,261.01","1,592.70","610.00","1,25,873","15,87,26,543.45","6,238"
"16-Aug-2024","BE","1,200.00","1,208.35","1,190.85","1,150.85","1,208.35","1,208.35","1,207.04","1,592.70","610.00","59,322","7,16,03,815.65","3,190"
"14-Aug-2024","BE","1,194.00","1,199.90","1,132.20","1,173.40","1,153.90","1,150.85","1,151.17","1,592.70","610.00","67,554","7,77,66,124.90","7,938"
"13-Aug-2024","BE","1,203.00","1,218.00","1,165.00","1,200.15","1,177.00","1,173.40","1,179.88","1,592.70","610.00","90,179","10,64,00,799.15","8,251"
"12-Aug-2024","BE","1,200.00","1,220.00","1,165.35","1,221.40","1,203.00","1,200.15","1,196.89","1,592.70","610.00","66,368","7,94,35,319.80","5,315"
"09-Aug-2024","BE","1,240.00","1,250.00","1,212.00","1,216.25","1,229.00","1,221.40","1,230.04","1,592.70","604.45","64,807","7,97,15,424.35","4,718"
"08-Aug-2024","BE","1,255.00","1,255.00","1,205.00","1,244.60","1,222.00","1,216.25","1,222.54","1,592.70","604.45","57,190","6,99,16,997.60","4,399"
"07-Aug-2024","BE","1,250.00","1,255.95","1,183.00","1,232.30","1,254.00","1,244.60","1,221.58","1,592.70","604.45","1,01,425","12,38,98,977.50","8,286"
"06-Aug-2024","BE","1,291.85","1,309.70","1,228.05","1,291.85","1,232.75","1,232.30","1,266.81","1,592.70","604.45","1,65,574","20,97,50,261.60","12,319"
"05-Aug-2024","BE","1,201.10","1,312.70","1,187.70","1,250.20","1,290.00","1,291.85","1,237.78","1,592.70","604.45","2,45,267","30,35,85,831.30","15,700"
"02-Aug-2024","BE","1,240.00","1,270.00","1,205.80","1,266.70","1,250.00","1,250.20","1,241.87","1,592.70","604.45","96,977","12,04,32,356.15","8,189"
"01-Aug-2024","BE","1,298.00","1,307.70","1,260.00","1,286.30","1,267.00","1,266.70","1,281.11","1,592.70","604.45","68,470","8,77,17,589.55","5,831"
"31-Jul-2024","BE","1,306.05","1,324.95","1,282.00","1,306.05","1,290.00","1,286.30","1,295.63","1,592.70","604.45","83,749","10,85,07,927.70","7,433"
"30-Jul-2024","BE","1,328.95","1,328.95","1,274.00","1,328.90","1,309.90","1,306.05","1,309.84","1,592.70","604.45","81,178","10,63,30,486.10","6,320"
"29-Jul-2024","BE","1,304.55","1,338.00","1,300.00","1,304.55","1,338.00","1,328.90","1,318.68","1,592.70","604.45","95,479","12,59,06,193.30","5,850"
