"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","244.00","244.00","225.00","236.60","232.75","231.39","226.34","325.00","190.15","1,20,398","2,72,50,322.58","1,084"
"23-Aug-2024","EQ","239.80","239.80","235.50","238.57","235.50","236.60","237.85","325.00","190.15","5,588","13,29,108.58","319"
"22-Aug-2024","EQ","238.40","243.00","236.16","239.79","238.28","238.57","239.15","325.00","190.15","14,029","33,54,973.35","645"
"21-Aug-2024","EQ","242.10","246.85","239.00","240.79","240.00","239.79","241.84","325.00","190.15","12,973","31,37,392.54","568"
"20-Aug-2024","EQ","239.30","244.88","239.23","238.08","242.95","240.79","241.21","325.00","190.15","8,036","19,38,348.83","498"
"19-Aug-2024","EQ","235.15","241.00","234.01","237.65","240.95","238.08","237.41","325.00","190.15","15,559","36,93,832.18","630"
"16-Aug-2024","EQ","239.98","249.90","233.89","231.60","236.00","237.65","241.37","325.00","190.15","34,514","83,30,744.07","1,348"
"14-Aug-2024","EQ","232.57","235.59","230.50","232.87","234.00","231.60","232.46","325.00","190.15","9,389","21,82,558.06","276"
"13-Aug-2024","EQ","240.00","240.00","230.50","235.22","230.65","232.87","232.71","325.00","190.15","23,740","55,24,552.59","486"
"12-Aug-2024","EQ","229.00","238.00","220.00","229.85","238.00","235.22","229.71","325.00","190.15","17,023","39,10,329.31","935"
"09-Aug-2024","EQ","231.00","235.99","228.99","232.60","230.81","229.85","231.28","325.00","190.15","11,893","27,50,581.11","494"
"08-Aug-2024","EQ","235.20","239.91","228.81","233.98","235.20","232.60","233.27","325.00","190.15","7,736","18,04,540.92","469"
"07-Aug-2024","EQ","229.70","238.79","229.34","228.53","237.00","233.98","232.15","325.00","190.15","5,960","13,83,603.06","403"
"06-Aug-2024","EQ","223.10","234.99","223.10","228.55","228.00","228.53","229.42","325.00","190.15","46,028","1,05,59,773.84","1,124"
"05-Aug-2024","EQ","222.20","240.00","222.20","236.73","225.10","228.55","228.01","325.00","190.15","59,884","1,36,54,211.28","1,809"
"02-Aug-2024","EQ","237.90","241.00","229.51","236.66","234.01","236.73","235.67","325.00","190.15","9,625","22,68,291.35","735"
"01-Aug-2024","EQ","237.00","244.97","235.00","237.19","235.01","236.66","238.93","325.00","190.15","14,302","34,17,160.56","888"
"31-Jul-2024","EQ","246.20","246.20","235.45","242.54","239.70","237.19","240.58","325.00","190.15","15,062","36,23,545.21","751"
"30-Jul-2024","EQ","240.00","247.84","240.00","242.86","244.00","242.54","242.94","325.00","190.15","10,507","25,52,582.46","835"
"29-Jul-2024","EQ","246.00","248.83","241.50","251.63","244.98","242.86","244.79","325.00","190.15","16,573","40,56,851.98","912"
