"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","54.81","54.93","54.01","54.53","54.18","54.08","54.37","79.00","42.05","28,99,716","15,76,65,469.51","16,851"
"23-Aug-2024","EQ","54.43","55.18","54.06","54.21","54.60","54.53","54.60","79.00","42.05","38,58,885","21,06,87,256.35","18,203"
"22-Aug-2024","EQ","54.30","55.34","54.01","54.38","54.10","54.21","54.65","79.00","42.05","43,23,570","23,62,68,562.80","19,870"
"21-Aug-2024","EQ","53.83","54.90","52.81","53.83","54.30","54.38","53.82","79.00","42.05","1,03,02,758","55,44,83,219.52","34,464"
"20-Aug-2024","EQ","56.00","56.00","53.41","55.67","53.84","53.83","54.08","79.00","42.05","1,02,59,137","55,48,58,528.68","38,541"
"19-Aug-2024","EQ","55.20","56.66","54.62","54.67","55.70","55.67","55.50","79.00","42.05","78,01,428","43,29,49,296.19","38,322"
"16-Aug-2024","EQ","52.98","56.10","51.57","51.13","54.40","54.67","53.93","79.00","42.05","1,21,63,984","65,60,61,139.11","49,465"
"14-Aug-2024","EQ","53.50","53.64","50.96","52.95","51.30","51.13","51.43","79.00","42.05","70,05,356","36,02,86,136.36","36,529"
"13-Aug-2024","EQ","55.51","55.73","52.78","55.48","53.08","52.95","53.84","79.00","42.05","1,00,03,934","53,86,38,112.61","46,609"
"12-Aug-2024","EQ","54.00","56.13","53.16","53.83","55.84","55.48","55.21","79.00","42.05","86,59,104","47,80,52,832.11","41,893"
"09-Aug-2024","EQ","55.50","56.00","53.76","54.56","54.00","53.83","54.26","79.00","42.05","57,86,118","31,39,31,827.98","29,703"
"08-Aug-2024","EQ","55.71","56.00","54.25","55.61","54.59","54.56","54.81","79.00","42.05","52,15,154","28,58,30,578.12","25,142"
"07-Aug-2024","EQ","54.85","55.79","53.90","53.47","55.74","55.61","55.08","79.00","42.05","59,68,033","32,86,95,275.70","28,180"
"06-Aug-2024","EQ","55.75","57.26","53.21","53.49","53.25","53.47","54.92","79.00","42.05","91,23,180","50,10,41,638.42","40,138"
"05-Aug-2024","EQ","55.00","55.79","52.80","56.93","53.60","53.49","54.03","79.00","42.05","1,21,61,458","65,70,49,949.19","61,432"
"02-Aug-2024","EQ","57.45","58.50","56.80","57.99","56.92","56.93","57.29","79.00","42.05","72,54,876","41,56,45,644.26","34,033"
"01-Aug-2024","EQ","59.70","59.98","57.70","59.64","58.30","57.99","58.66","79.00","42.05","66,36,801","38,92,90,928.80","31,113"
"31-Jul-2024","EQ","60.74","60.74","59.50","60.39","59.77","59.64","59.94","79.00","42.05","53,45,587","32,04,26,228.51","24,800"
"30-Jul-2024","EQ","60.17","61.15","60.17","60.25","60.60","60.39","60.54","79.00","42.05","38,43,721","23,26,95,137.96","16,944"
"29-Jul-2024","EQ","60.76","61.75","60.15","60.42","60.34","60.25","60.96","79.00","42.05","46,19,406","28,15,78,896.11","24,500"
