"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,046.00","1,070.00","1,017.20","1,052.50","1,058.40","1,064.10","1,045.26","1,139.95","736.60","25,99,486","2,71,71,33,021.90","59,720"
"23-Aug-2024","EQ","1,040.25","1,068.80","1,036.55","1,037.45","1,045.10","1,052.50","1,054.97","1,139.95","736.60","20,48,794","2,16,14,06,378.20","41,339"
"22-Aug-2024","EQ","1,004.65","1,040.05","997.50","1,004.65","1,038.40","1,037.45","1,026.72","1,139.95","736.60","20,52,435","2,10,72,82,413.05","36,372"
"21-Aug-2024","EQ","998.00","1,010.05","990.70","1,004.60","1,003.60","1,004.65","1,001.95","1,139.95","736.60","8,53,315","85,49,78,299.70","20,435"
"20-Aug-2024","EQ","981.00","1,010.70","972.65","983.55","1,001.00","1,004.60","992.75","1,139.95","736.60","14,53,538","1,44,30,02,201.25","29,234"
"19-Aug-2024","EQ","951.00","987.60","949.40","947.35","983.25","983.55","971.87","1,139.95","736.60","22,92,886","2,22,83,76,698.35","44,949"
"16-Aug-2024","EQ","885.00","951.75","880.85","882.40","944.00","947.35","922.32","1,139.95","736.60","41,37,386","3,81,59,74,020.75","76,319"
"14-Aug-2024","EQ","950.00","960.00","875.10","985.40","883.00","882.40","900.22","1,139.95","736.60","83,04,956","7,47,62,73,374.65","1,57,657"
"13-Aug-2024","EQ","990.90","1,010.05","971.65","989.00","981.30","985.40","989.93","1,139.95","736.60","19,99,595","1,97,94,64,567.70","60,552"
"12-Aug-2024","EQ","961.05","1,012.60","961.05","969.00","988.00","989.00","994.30","1,139.95","736.60","22,91,071","2,27,80,21,569.40","68,518"
"09-Aug-2024","EQ","950.00","977.10","949.00","939.95","966.85","969.00","964.43","1,139.95","736.60","24,04,776","2,31,92,46,538.10","48,651"
"08-Aug-2024","EQ","979.75","979.75","937.30","982.25","941.90","939.95","950.06","1,139.95","736.60","32,57,284","3,09,46,11,127.20","80,939"
"07-Aug-2024","EQ","995.00","1,013.50","974.00","981.70","978.00","982.25","998.01","1,139.95","736.60","11,39,329","1,13,70,62,786.50","39,837"
"06-Aug-2024","EQ","990.05","1,005.00","974.20","983.10","980.00","981.70","993.76","1,139.95","736.60","10,03,727","99,74,60,669.40","48,283"
"05-Aug-2024","EQ","1,007.00","1,026.85","971.05","1,037.65","982.95","983.10","994.91","1,139.95","736.60","12,63,837","1,25,74,00,107.50","51,272"
"02-Aug-2024","EQ","1,002.60","1,064.00","1,002.00","1,023.10","1,040.00","1,037.65","1,042.91","1,139.95","736.60","22,75,720","2,37,33,61,445.60","58,720"
"01-Aug-2024","EQ","1,041.50","1,048.90","1,010.05","1,041.50","1,023.00","1,023.10","1,033.82","1,139.95","736.60","21,58,517","2,23,15,07,870.90","33,656"
"31-Jul-2024","EQ","1,028.00","1,045.00","1,020.05","1,026.10","1,038.00","1,041.50","1,037.13","1,139.95","736.60","11,44,003","1,18,64,77,647.15","39,899"
"30-Jul-2024","EQ","1,029.50","1,040.70","1,013.30","1,029.75","1,017.55","1,026.10","1,024.40","1,139.95","736.60","10,38,592","1,06,39,29,841.10","38,518"
"29-Jul-2024","EQ","1,005.00","1,042.70","996.60","992.10","1,029.05","1,029.75","1,025.39","1,139.95","736.60","30,17,172","3,09,37,90,765.85","1,07,604"
