"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","372.80","372.80","369.15","370.80","370.00","370.10","370.19","384.20","191.70","18,49,999","68,48,56,085.35","26,726"
"23-Aug-2024","EQ","379.55","381.00","370.10","381.20","371.00","370.80","374.06","384.20","191.70","15,35,734","57,44,54,352.75","29,861"
"22-Aug-2024","EQ","379.60","382.50","377.70","377.60","381.00","381.20","380.88","384.20","191.70","22,49,643","85,68,51,178.80","36,642"
"21-Aug-2024","EQ","384.00","384.20","375.05","378.40","377.00","377.60","379.63","384.20","191.70","55,47,414","2,10,59,39,288.40","64,790"
"20-Aug-2024","EQ","375.85","381.80","375.85","375.45","378.35","378.40","378.99","381.80","191.70","34,74,677","1,31,68,67,250.25","43,943"
"19-Aug-2024","EQ","370.00","380.45","370.00","370.90","375.60","375.45","377.09","380.45","191.70","29,19,118","1,10,07,77,467.95","32,108"
"16-Aug-2024","EQ","367.50","373.00","366.10","364.35","370.25","370.90","369.85","377.95","191.70","20,90,736","77,32,64,633.65","40,289"
"14-Aug-2024","EQ","368.00","370.30","363.00","368.10","365.00","364.35","365.90","377.95","191.70","29,64,921","1,08,48,65,701.55","62,224"
"13-Aug-2024","EQ","375.00","375.30","367.05","373.70","368.05","368.10","370.84","377.95","191.70","27,00,343","1,00,13,89,370.85","32,740"
"12-Aug-2024","EQ","364.35","375.60","361.85","366.70","373.15","373.70","371.66","377.95","191.70","35,82,898","1,33,16,34,985.05","42,014"
"09-Aug-2024","EQ","366.00","370.75","364.85","364.00","366.65","366.70","367.85","377.95","191.70","28,46,077","1,04,69,30,330.40","56,055"
"08-Aug-2024","EQ","367.00","367.70","361.80","363.35","363.05","364.00","365.04","377.95","191.70","35,17,242","1,28,39,20,939.55","40,207"
"07-Aug-2024","EQ","360.00","366.35","358.65","356.85","364.05","363.35","362.56","377.95","191.70","61,62,061","2,23,41,13,912.60","52,495"
"06-Aug-2024","EQ","356.95","365.70","355.20","355.60","356.25","356.85","361.02","377.95","191.70","45,17,463","1,63,08,93,918.50","62,942"
"05-Aug-2024","EQ","354.00","363.10","350.50","362.40","356.50","355.60","357.14","377.95","191.70","38,80,220","1,38,57,81,198.35","51,367"
"02-Aug-2024","EQ","364.65","366.60","360.25","367.75","362.05","362.40","363.54","377.95","191.70","16,77,139","60,97,12,283.40","35,471"
"01-Aug-2024","EQ","371.90","372.90","364.30","368.50","366.50","367.75","368.62","377.95","191.70","60,67,337","2,23,65,54,122.05","65,188"
"31-Jul-2024","EQ","364.90","373.20","364.05","363.05","368.50","368.50","369.32","377.95","191.70","53,00,221","1,95,74,85,508.10","87,445"
"30-Jul-2024","EQ","370.90","376.45","362.20","370.85","363.30","363.05","368.01","377.95","191.70","50,03,531","1,84,13,32,692.85","54,418"
"29-Jul-2024","EQ","370.95","374.40","367.65","372.40","370.45","370.85","371.44","377.95","191.70","43,86,843","1,62,94,58,225.75","47,861"
