"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","157.93","157.93","154.00","150.41","157.93","157.84","157.60","158.00","79.20","2,89,959","4,56,96,148.67","1,695"
"23-Aug-2024","BE","143.00","150.41","141.10","143.25","150.41","150.41","147.78","158.00","79.20","2,04,170","3,01,72,428.64","927"
"22-Aug-2024","BE","145.00","149.30","141.00","144.34","143.00","143.25","143.82","158.00","79.20","41,102","59,11,226.62","247"
"21-Aug-2024","BE","136.00","144.70","136.00","137.81","144.70","144.34","140.51","158.00","79.20","1,80,012","2,52,92,619.04","336"
"20-Aug-2024","BE","137.40","140.00","137.25","137.37","137.25","137.81","138.65","158.00","79.20","22,846","31,67,657.62","140"
"19-Aug-2024","BE","137.51","142.00","134.00","139.05","139.50","137.37","137.90","158.00","79.20","54,779","75,54,110.99","206"
"16-Aug-2024","BE","137.66","142.00","135.50","137.66","140.00","139.05","139.58","158.00","79.20","46,158","64,42,730.29","201"
"14-Aug-2024","BE","140.00","140.95","137.15","139.88","137.30","137.66","138.98","158.00","79.20","22,486","31,25,076.32","116"
"13-Aug-2024","BE","141.69","141.99","137.50","141.69","140.00","139.88","139.53","158.00","79.20","40,361","56,31,571.43","210"
"12-Aug-2024","BE","140.05","143.00","137.50","144.72","142.50","141.69","139.53","158.00","79.20","96,362","1,34,45,787.39","327"
"09-Aug-2024","BE","142.00","146.90","140.11","140.05","145.00","144.72","145.13","158.00","79.20","1,11,028","1,61,13,321.26","369"
"08-Aug-2024","BE","147.49","147.49","139.00","143.99","141.20","140.05","140.39","158.00","79.20","96,464","1,35,42,290.70","335"
"07-Aug-2024","BE","141.78","147.00","141.78","141.78","143.00","143.99","145.55","158.00","79.20","63,830","92,90,459.81","405"
"06-Aug-2024","BE","141.00","146.80","140.01","139.90","140.01","141.78","144.63","158.00","79.20","71,459","1,03,35,132.62","516"
"05-Aug-2024","BE","144.30","147.00","138.10","142.72","143.00","139.90","142.65","158.00","79.20","1,89,931","2,70,93,434.41","761"
"02-Aug-2024","BE","143.99","148.00","136.50","142.55","144.00","142.72","144.53","158.00","79.20","52,903","76,45,809.83","270"
"01-Aug-2024","BE","142.06","147.00","140.50","144.33","144.00","142.55","144.96","158.00","79.20","86,447","1,25,30,994.31","282"
"31-Jul-2024","BE","146.00","148.00","140.00","145.47","144.90","144.33","145.54","158.00","79.20","95,026","1,38,29,643.58","319"
"30-Jul-2024","BE","148.80","148.80","143.00","145.88","146.85","145.47","146.41","158.00","79.20","1,09,708","1,60,62,430.38","345"
"29-Jul-2024","BE","143.55","147.63","143.50","142.89","147.50","145.88","145.51","158.00","79.20","1,30,810","1,90,33,530.29","462"
